FROM,TO,YEAR,VALUE
KEN,TZA,2021,0.018810122895076
KEN,TZA,2022,0.018810122895076
KEN,TZA,2023,0.018810122895076
KEN,TZA,2024,2.018810122895076
KEN,TZA,2025,2.018810122895076
KEN,TZA,2026,2.018810122895076
KEN,TZA,2027,2.018810122895076
KEN,TZA,2028,2.018810122895076
KEN,TZA,2029,2.018810122895076
KEN,TZA,2030,2.018810122895076
KEN,TZA,2031,2.018810122895076
KEN,TZA,2032,2.018810122895076
KEN,TZA,2033,2.018810122895076
KEN,TZA,2034,2.018810122895076
KEN,TZA,2035,2.018810122895076
KEN,TZA,2036,2.018810122895076
KEN,TZA,2037,2.018810122895076
KEN,TZA,2038,2.018810122895076
KEN,TZA,2039,2.018810122895076
KEN,TZA,2040,2.018810122895076
KEN,TZA,2041,2.018810122895076
KEN,TZA,2042,2.018810122895076
KEN,TZA,2043,2.018810122895076
KEN,TZA,2044,2.018810122895076
KEN,TZA,2045,2.018810122895076
KEN,TZA,2046,2.018810122895076
KEN,TZA,2047,2.018810122895076
KEN,TZA,2048,2.018810122895076
KEN,TZA,2049,2.018810122895076
KEN,TZA,2050,2.018810122895076
TZA,KEN,2024,2.0
TZA,KEN,2025,2.0
TZA,KEN,2026,2.0
TZA,KEN,2027,2.0
TZA,KEN,2028,2.0
TZA,KEN,2029,2.0
TZA,KEN,2030,2.0
TZA,KEN,2031,2.0
TZA,KEN,2032,2.0
TZA,KEN,2033,2.0
TZA,KEN,2034,2.0
TZA,KEN,2035,2.0
TZA,KEN,2036,2.0
TZA,KEN,2037,2.0
TZA,KEN,2038,2.0
TZA,KEN,2039,2.0
TZA,KEN,2040,2.0
TZA,KEN,2041,2.0
TZA,KEN,2042,2.0
TZA,KEN,2043,2.0
TZA,KEN,2044,2.0
TZA,KEN,2045,2.0
TZA,KEN,2046,2.0
TZA,KEN,2047,2.0
TZA,KEN,2048,2.0
TZA,KEN,2049,2.0
TZA,KEN,2050,2.0
