FROM,TO,YEAR,VALUE
KENXX,TZAXX,2021,0.1315971664347616
KENXX,TZAXX,2022,0.1315971664347616
KENXX,TZAXX,2023,0.1315971664347616
KENXX,TZAXX,2024,2.1315971664347617
KENXX,TZAXX,2025,2.1315971664347617
KENXX,TZAXX,2026,2.1315971664347617
KENXX,TZAXX,2027,2.1315971664347617
KENXX,TZAXX,2028,2.1315971664347617
KENXX,TZAXX,2029,2.1315971664347617
KENXX,TZAXX,2030,2.1315971664347617
KENXX,TZAXX,2031,2.1315971664347617
KENXX,TZAXX,2032,2.1315971664347617
KENXX,TZAXX,2033,2.1315971664347617
KENXX,TZAXX,2034,2.1315971664347617
KENXX,TZAXX,2035,2.1315971664347617
KENXX,TZAXX,2036,2.1315971664347617
KENXX,TZAXX,2037,2.1315971664347617
KENXX,TZAXX,2038,2.1315971664347617
KENXX,TZAXX,2039,2.1315971664347617
KENXX,TZAXX,2040,2.1315971664347617
KENXX,TZAXX,2041,2.1315971664347617
KENXX,TZAXX,2042,2.1315971664347617
KENXX,TZAXX,2043,2.1315971664347617
KENXX,TZAXX,2044,2.1315971664347617
KENXX,TZAXX,2045,2.1315971664347617
KENXX,TZAXX,2046,2.1315971664347617
KENXX,TZAXX,2047,2.1315971664347617
KENXX,TZAXX,2048,2.1315971664347617
KENXX,TZAXX,2049,2.1315971664347617
KENXX,TZAXX,2050,2.1315971664347617
