REGION,EMISSION,YEAR,VALUE
GLOBAL,CO2KEN,2021,0.0
GLOBAL,CO2KEN,2022,0.0
GLOBAL,CO2KEN,2023,0.0
GLOBAL,CO2KEN,2024,0.0
GLOBAL,CO2KEN,2025,0.0
GLOBAL,CO2KEN,2026,0.0
GLOBAL,CO2KEN,2027,0.0
GLOBAL,CO2KEN,2028,0.0
GLOBAL,CO2KEN,2029,0.0
GLOBAL,CO2KEN,2030,0.0
GLOBAL,CO2KEN,2031,0.0
GLOBAL,CO2KEN,2032,0.003671768387223778
GLOBAL,CO2KEN,2033,0.006474602324396333
GLOBAL,CO2KEN,2034,0.009277436261569067
GLOBAL,CO2KEN,2035,0.012074561779317674
GLOBAL,CO2KEN,2036,0.015316944012136515
GLOBAL,CO2KEN,2037,0.018553617825531766
GLOBAL,CO2KEN,2038,0.02179600005835061
GLOBAL,CO2KEN,2039,0.025032673871745504
GLOBAL,CO2KEN,2040,0.028275056104564166
GLOBAL,CO2KEN,2041,0.03229949179846794
GLOBAL,CO2KEN,2042,0.0363182190729474
GLOBAL,CO2KEN,2043,0.040342654766851706
GLOBAL,CO2KEN,2044,0.04436709046075529
GLOBAL,CO2KEN,2045,0.06954846939683422
GLOBAL,CO2KEN,2046,0.06969515603034708
GLOBAL,CO2KEN,2047,0.07474710722056659
GLOBAL,CO2KEN,2048,0.08074009399957696
GLOBAL,CO2KEN,2049,0.08578633677037271
GLOBAL,CO2KEN,2050,0.09083257954116704
GLOBAL,CO2TZA,2021,0.012311161584790417
GLOBAL,CO2TZA,2022,0.01471208730313193
GLOBAL,CO2TZA,2023,0.05472346776253129
GLOBAL,CO2TZA,2024,0.026397009073787173
GLOBAL,CO2TZA,2025,0.03313631109987727
GLOBAL,CO2TZA,2026,0.040115960778551174
GLOBAL,CO2TZA,2027,0.04708848076983987
GLOBAL,CO2TZA,2028,0.05406813044851341
GLOBAL,CO2TZA,2029,0.06105370405925996
GLOBAL,CO2TZA,2030,0.06803335373793404
GLOBAL,CO2TZA,2031,0.07631899442932476
GLOBAL,CO2TZA,2032,0.11009905183922963
GLOBAL,CO2TZA,2033,0.11548909550234089
GLOBAL,CO2TZA,2034,0.12087200947806691
GLOBAL,CO2TZA,2035,0.12626205314117886
GLOBAL,CO2TZA,2036,0.13266451241296962
GLOBAL,CO2TZA,2037,0.13905984199737587
GLOBAL,CO2TZA,2038,0.14546230126916698
GLOBAL,CO2TZA,2039,0.15186476054095807
GLOBAL,CO2TZA,2040,0.1582672198127485
GLOBAL,CO2TZA,2041,0.16583181812830572
GLOBAL,CO2TZA,2042,0.17339641644386294
GLOBAL,CO2TZA,2043,0.17217437433798136
GLOBAL,CO2TZA,2044,0.17974610234092342
GLOBAL,CO2TZA,2045,0.18731070065648028
GLOBAL,CO2TZA,2046,0.19670049894261546
GLOBAL,CO2TZA,2047,0.2060902972287503
GLOBAL,CO2TZA,2048,0.21548009551488476
GLOBAL,CO2TZA,2049,0.22486276411363476
GLOBAL,CO2TZA,2050,0.2342525623997688
