REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOKENXX01,2021,6.75
GLOBAL,PWRBIOKENXX01,2022,6.75
GLOBAL,PWRBIOKENXX01,2023,6.75
GLOBAL,PWRBIOKENXX01,2024,6.75
GLOBAL,PWRBIOKENXX01,2025,6.75
GLOBAL,PWRBIOKENXX01,2026,6.75
GLOBAL,PWRBIOKENXX01,2027,6.75
GLOBAL,PWRBIOKENXX01,2028,6.75
GLOBAL,PWRBIOKENXX01,2029,6.75
GLOBAL,PWRBIOKENXX01,2030,6.75
GLOBAL,PWRBIOKENXX01,2031,6.705
GLOBAL,PWRBIOTZAXX01,2021,5.250000000000001
GLOBAL,PWRBIOTZAXX01,2022,5.250000000000001
GLOBAL,PWRBIOTZAXX01,2023,5.250000000000001
GLOBAL,PWRBIOTZAXX01,2024,5.250000000000001
GLOBAL,PWRBIOTZAXX01,2025,5.250000000000001
GLOBAL,PWRBIOTZAXX01,2026,5.250000000000001
GLOBAL,PWRBIOTZAXX01,2027,5.250000000000001
GLOBAL,PWRBIOTZAXX01,2028,5.250000000000001
GLOBAL,PWRBIOTZAXX01,2029,5.250000000000001
GLOBAL,PWRBIOTZAXX01,2030,5.250000000000001
GLOBAL,PWRBIOTZAXX01,2031,5.215000000000001
GLOBAL,PWRCCGKENXX01,2032,1.6909801714960433
GLOBAL,PWRCCGKENXX01,2033,2.960274513559311
GLOBAL,PWRCCGKENXX01,2034,11.086061989237981
GLOBAL,PWRCCGKENXX01,2035,14.545055326736803
GLOBAL,PWRCCGKENXX01,2036,18.554663930204804
GLOBAL,PWRCCGKENXX01,2037,22.5572133635963
GLOBAL,PWRCCGKENXX01,2038,26.56682196706428
GLOBAL,PWRCCGKENXX01,2039,30.56937140045578
GLOBAL,PWRCCGKENXX01,2040,34.578980003923796
GLOBAL,PWRCCGKENXX01,2041,39.55569490787615
GLOBAL,PWRCCGKENXX01,2042,44.53240981182853
GLOBAL,PWRCCGKENXX01,2043,49.50206554570436
GLOBAL,PWRCCGKENXX01,2044,54.47878044965672
GLOBAL,PWRCCGKENXX01,2045,62.95549535360912
GLOBAL,PWRCCGKENXX01,2046,76.17080170125999
GLOBAL,PWRCCGKENXX01,2047,82.41816721898742
GLOBAL,PWRCCGKENXX01,2048,90.35184856663835
GLOBAL,PWRCCGKENXX01,2049,96.59215491428927
GLOBAL,PWRCCGKENXX01,2050,102.83952043201671
GLOBAL,PWRCCGTZAXX00,2021,5.2
GLOBAL,PWRCCGTZAXX00,2022,5.2
GLOBAL,PWRCCGTZAXX00,2023,5.2
GLOBAL,PWRCCGTZAXX00,2024,5.2
GLOBAL,PWRCCGTZAXX01,2021,8.489269403954202
GLOBAL,PWRCCGTZAXX01,2022,12.221135665588271
GLOBAL,PWRCCGTZAXX01,2023,13.038986446479479
GLOBAL,PWRCCGTZAXX01,2024,13.038986446479479
GLOBAL,PWRCCGTZAXX01,2025,14.41626794592887
GLOBAL,PWRCCGTZAXX01,2026,16.393375568730498
GLOBAL,PWRCCGTZAXX01,2027,18.36674177579539
GLOBAL,PWRCCGTZAXX01,2028,20.343849398597005
GLOBAL,PWRCCGTZAXX01,2029,22.320108952824445
GLOBAL,PWRCCGTZAXX01,2030,23.4215225804381
GLOBAL,PWRCCGTZAXX01,2031,24.81227829218653
GLOBAL,PWRCCGTZAXX01,2032,30.100558519376257
GLOBAL,PWRCCGTZAXX01,2033,32.844793467715306
GLOBAL,PWRCCGTZAXX01,2034,36.42246508613427
GLOBAL,PWRCCGTZAXX01,2035,40.13998776971373
GLOBAL,PWRCCGTZAXX01,2036,44.86294014340971
GLOBAL,PWRCCGTZAXX01,2037,47.040730176903025
GLOBAL,PWRCCGTZAXX01,2038,49.21239570780084
GLOBAL,PWRCCGTZAXX01,2039,52.5602620560653
GLOBAL,PWRCCGTZAXX01,2040,55.940576241324834
GLOBAL,PWRCCGTZAXX01,2041,57.63990968483981
GLOBAL,PWRCCGTZAXX01,2042,59.34294766827763
GLOBAL,PWRCCGTZAXX01,2043,61.05979095157321
GLOBAL,PWRCCGTZAXX01,2044,64.36737386272283
GLOBAL,PWRCCGTZAXX01,2045,67.37276615743289
GLOBAL,PWRCCGTZAXX01,2046,71.29469199545666
GLOBAL,PWRCCGTZAXX01,2047,76.150048144869
GLOBAL,PWRCCGTZAXX01,2048,81.02892722336173
