REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
GLOBAL,PWRCCGKENXX01,CO2KEN,2024,0.0001280404571857445
GLOBAL,PWRCCGKENXX01,CO2KEN,2025,6.402022859287225e-05
GLOBAL,PWRCCGKENXX01,CO2KEN,2026,6.402022859287225e-05
GLOBAL,PWRCCGKENXX01,CO2KEN,2027,6.402022859287225e-05
GLOBAL,PWRCCGKENXX01,CO2KEN,2028,6.402022859287225e-05
GLOBAL,PWRCCGKENXX01,CO2KEN,2029,6.402022859287225e-05
GLOBAL,PWRCCGKENXX01,CO2KEN,2030,6.402022859287225e-05
GLOBAL,PWRCCGKENXX01,CO2KEN,2031,6.402022859287225e-05
GLOBAL,PWRCCGKENXX01,CO2KEN,2032,6.402022859287225e-05
GLOBAL,PWRCCGKENXX01,CO2KEN,2033,6.402022859287225e-05
GLOBAL,PWRCCGKENXX01,CO2KEN,2034,6.402022859287225e-05
GLOBAL,PWRCCGKENXX01,CO2KEN,2035,6.402022859287225e-05
GLOBAL,PWRCCGKENXX01,CO2KEN,2036,6.402022859287225e-05
GLOBAL,PWRCCGKENXX01,CO2KEN,2037,6.402022859287225e-05
GLOBAL,PWRCCGKENXX01,CO2KEN,2038,6.402022859287225e-05
GLOBAL,PWRCCGKENXX01,CO2KEN,2039,6.402022859287225e-05
GLOBAL,PWRCCGKENXX01,CO2KEN,2040,6.402022859287225e-05
GLOBAL,PWRCCGKENXX01,CO2KEN,2041,6.402022859287225e-05
GLOBAL,PWRCCGKENXX01,CO2KEN,2042,6.402022859287225e-05
GLOBAL,PWRCCGKENXX01,CO2KEN,2043,6.402022859287225e-05
GLOBAL,PWRCCGKENXX01,CO2KEN,2044,6.402022859287225e-05
GLOBAL,PWRCCGKENXX01,CO2KEN,2045,6.402022859287225e-05
GLOBAL,PWRCCGKENXX01,CO2KEN,2046,6.402022859287225e-05
GLOBAL,PWRCCGKENXX01,CO2KEN,2047,6.402022859287225e-05
GLOBAL,PWRCCGKENXX01,CO2KEN,2048,6.402022859287225e-05
GLOBAL,PWRCCGKENXX01,CO2KEN,2049,6.402022859287225e-05
GLOBAL,PWRCCGKENXX01,CO2KEN,2050,6.402022859287225e-05
GLOBAL,PWRCCGTZAXX00,CO2TZA,2021,0.12061827368965966
GLOBAL,PWRCCGTZAXX00,CO2TZA,2022,0.12931092381534864
GLOBAL,PWRCCGTZAXX00,CO2TZA,2023,0.13474705242469862
GLOBAL,PWRCCGTZAXX00,CO2TZA,2024,0.13654177744895998
GLOBAL,PWRCCGTZAXX01,CO2TZA,2024,0.0019303715002396316
GLOBAL,PWRCCGTZAXX01,CO2TZA,2025,0.1561762572490423
GLOBAL,PWRCCGTZAXX01,CO2TZA,2026,0.18062144937704055
GLOBAL,PWRCCGTZAXX01,CO2TZA,2027,0.1962030954937219
GLOBAL,PWRCCGTZAXX01,CO2TZA,2028,0.21180379867115862
