REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2032,0.003671768387223778
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2033,0.006474602324396333
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2034,0.009277436261569067
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2035,0.012074561779317674
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2036,0.015316944012136515
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2037,0.018553617825531766
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2038,0.02179600005835061
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2039,0.025032673871745504
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2040,0.028275056104564166
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2041,0.03229949179846794
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2042,0.0363182190729474
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2043,0.040342654766851706
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2044,0.04436709046075529
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2045,0.0532128263126671
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2046,0.06969515603034708
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2047,0.07474710722056659
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2048,0.08074009399957696
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2049,0.08578633677037271
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2050,0.09083257954116704
GLOBAL,PWRCCGTZAXX00,CO2TZA,2,2021,0.012311161584790417
GLOBAL,PWRCCGTZAXX00,CO2TZA,2,2022,0.01471208730313193
GLOBAL,PWRCCGTZAXX00,CO2TZA,2,2023,0.0547234677625313
GLOBAL,PWRCCGTZAXX00,CO2TZA,2,2024,0.026397009073787173
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2025,0.0020842795853172652
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2026,0.009063929263991168
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2027,0.016036449255279864
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2028,0.02301609893395341
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2029,0.030001672544699952
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2030,0.03698132222337403
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2031,0.04526696291476475
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2032,0.07904702032466963
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2033,0.08443706398778089
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2034,0.08981997796350691
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2035,0.09521002162661886
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2036,0.10161248089840962
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2037,0.10800781048281585
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2038,0.11441026975460698
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2039,0.12081272902639807
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2040,0.12721518829818848
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2041,0.1347797866137457
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2042,0.14234438492930293
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2043,0.17217437433798136
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2044,0.17974610234092342
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2045,0.18731070065648028
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2046,0.19670049894261546
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2047,0.2060902972287503
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2048,0.21548009551488476
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2049,0.22486276411363476
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2050,0.2342525623997688
GLOBAL,PWROCGKENXX01,CO2KEN,2,2045,0.016335643084167118
GLOBAL,PWROCGTZAXX00,CO2TZA,2,2025,0.031052031514560003
GLOBAL,PWROCGTZAXX00,CO2TZA,2,2026,0.031052031514560003
GLOBAL,PWROCGTZAXX00,CO2TZA,2,2027,0.031052031514560003
GLOBAL,PWROCGTZAXX00,CO2TZA,2,2028,0.031052031514560003
GLOBAL,PWROCGTZAXX00,CO2TZA,2,2029,0.031052031514560003
GLOBAL,PWROCGTZAXX00,CO2TZA,2,2030,0.031052031514560003
GLOBAL,PWROCGTZAXX00,CO2TZA,2,2031,0.031052031514560003
GLOBAL,PWROCGTZAXX00,CO2TZA,2,2032,0.031052031514560003
GLOBAL,PWROCGTZAXX00,CO2TZA,2,2033,0.031052031514560003
GLOBAL,PWROCGTZAXX00,CO2TZA,2,2034,0.031052031514560003
GLOBAL,PWROCGTZAXX00,CO2TZA,2,2035,0.031052031514560003
GLOBAL,PWROCGTZAXX00,CO2TZA,2,2036,0.031052031514560003
GLOBAL,PWROCGTZAXX00,CO2TZA,2,2037,0.031052031514560003
GLOBAL,PWROCGTZAXX00,CO2TZA,2,2038,0.031052031514560003
GLOBAL,PWROCGTZAXX00,CO2TZA,2,2039,0.031052031514560003
GLOBAL,PWROCGTZAXX00,CO2TZA,2,2040,0.031052031514560003
GLOBAL,PWROCGTZAXX00,CO2TZA,2,2041,0.031052031514560003
GLOBAL,PWROCGTZAXX00,CO2TZA,2,2042,0.031052031514560003
