REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINGASINT,2021,29.5576342186622
GLOBAL,MINGASINT,2022,33.223641415527695
GLOBAL,MINGASINT,2023,35.00772126002069
GLOBAL,MINGASINT,2024,55.969815934417745
GLOBAL,MINGASINT,2025,57.21558632270357
GLOBAL,MINGASINT,2026,61.78301626293411
GLOBAL,MINGASINT,2027,67.29308484504018
GLOBAL,MINGASINT,2028,72.80893854246852
GLOBAL,MINGASINT,2029,78.20259177683278
GLOBAL,MINGASINT,2030,83.47103524393457
GLOBAL,MINGASINT,2031,89.7891388990717
GLOBAL,MINGASINT,2032,104.47191629406069
GLOBAL,MINGASINT,2033,110.84180183345433
GLOBAL,MINGASINT,2034,117.21227404513249
GLOBAL,MINGASINT,2035,123.72757297654832
GLOBAL,MINGASINT,2036,131.19312730742377
GLOBAL,MINGASINT,2037,138.66444018398994
GLOBAL,MINGASINT,2038,146.14717385259195
GLOBAL,MINGASINT,2039,153.62803855139225
GLOBAL,MINGASINT,2040,161.11077221999417
GLOBAL,MINGASINT,2041,170.10441311268278
GLOBAL,MINGASINT,2042,179.44141630662804
GLOBAL,MINGASINT,2043,188.87207491488303
GLOBAL,MINGASINT,2044,198.21865048940222
GLOBAL,MINGASINT,2045,200.50717902128235
GLOBAL,MINGASINT,2046,212.11848504741502
GLOBAL,MINGASINT,2047,223.73208396173294
GLOBAL,MINGASINT,2048,236.5868510107097
GLOBAL,MINGASINT,2049,248.19087959350836
GLOBAL,MINGASINT,2050,259.8021856196406
GLOBAL,MINOILINT,2021,10.490118080802564
GLOBAL,MINOILINT,2022,13.381777846435757
GLOBAL,MINOILINT,2023,8.607690067619918
GLOBAL,MINOILINT,2024,9.358799913925788
GLOBAL,TRNKENXXTZAXX,2021,0.6259000415090115
GLOBAL,TRNKENXXTZAXX,2022,0.6567599230999904
GLOBAL,TRNKENXXTZAXX,2023,0.6315993297426543
GLOBAL,TRNKENXXTZAXX,2024,0.23376140162401002
GLOBAL,TRNKENXXTZAXX,2025,0.28729635835228384
GLOBAL,TRNKENXXTZAXX,2026,0.24436848427061922
GLOBAL,TRNKENXXTZAXX,2027,0.25229741194368766
GLOBAL,TRNKENXXTZAXX,2028,0.2658486451759031
GLOBAL,TRNKENXXTZAXX,2029,0.28352501795675866
GLOBAL,TRNKENXXTZAXX,2030,0.30115999408004823
GLOBAL,TRNKENXXTZAXX,2031,0.3214443562875899
GLOBAL,TRNKENXXTZAXX,2032,0.2824095130054215
GLOBAL,TRNKENXXTZAXX,2033,0.2689947033898496
GLOBAL,TRNKENXXTZAXX,2034,0.26083923426989697
GLOBAL,TRNKENXXTZAXX,2035,0.2656170500443636
GLOBAL,TRNKENXXTZAXX,2036,0.27115541608496035
GLOBAL,TRNKENXXTZAXX,2037,0.2890502462485244
GLOBAL,TRNKENXXTZAXX,2038,0.30899372029915
GLOBAL,TRNKENXXTZAXX,2039,0.32890208259969284
GLOBAL,TRNKENXXTZAXX,2040,0.34884555665032135
GLOBAL,TRNKENXXTZAXX,2041,0.3735993404631599
GLOBAL,TRNKENXXTZAXX,2042,0.39831801252591176
GLOBAL,TRNKENXXTZAXX,2043,0.42307179633875813
GLOBAL,TRNKENXXTZAXX,2044,0.44782558015159085
GLOBAL,TRNKENXXTZAXX,2045,0.7107856902785834
GLOBAL,TRNKENXXTZAXX,2046,0.74738033556729
GLOBAL,TRNKENXXTZAXX,2047,0.7840163775135565
GLOBAL,TRNKENXXTZAXX,2048,0.8039903640502368
GLOBAL,TRNKENXXTZAXX,2049,0.8405850093389455
GLOBAL,TRNKENXXTZAXX,2050,0.8771796546276541
