REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINGASINT,2021,0.002197805207506305
GLOBAL,MINGASINT,2022,0.002626421712152452
GLOBAL,MINGASINT,2023,0.007643917084490349
GLOBAL,MINGASINT,2024,0.004712429741531
GLOBAL,MINGASINT,2025,0.005915048338375434
GLOBAL,MINGASINT,2026,0.007160653643470162
GLOBAL,MINGASINT,2027,0.008404986567164745
GLOBAL,MINGASINT,2028,0.009650591872259409
GLOBAL,MINGASINT,2029,0.010897254376720351
GLOBAL,MINGASINT,2030,0.012142859681815112
GLOBAL,MINGASINT,2031,0.013621535328365023
GLOBAL,MINGASINT,2032,0.020305279505515528
GLOBAL,MINGASINT,2033,0.021767400424576352
GLOBAL,MINGASINT,2034,0.02322824896223706
GLOBAL,MINGASINT,2035,0.02468935114284472
GLOBAL,MINGASINT,2036,0.026410593081626677
GLOBAL,MINGASINT,2037,0.028129543900555384
GLOBAL,MINGASINT,2038,0.029850785839337406
GLOBAL,MINGASINT,2039,0.031571009039666136
GLOBAL,MINGASINT,2040,0.033292250978448
GLOBAL,MINGASINT,2041,0.035360458253551594
GLOBAL,MINGASINT,2042,0.03742764679020184
GLOBAL,MINGASINT,2043,0.037926307345305735
GLOBAL,MINGASINT,2044,0.03999578700180938
GLOBAL,MINGASINT,2045,0.045839858010424166
GLOBAL,MINGASINT,2046,0.04754161832826426
GLOBAL,MINGASINT,2047,0.05011892816339252
GLOBAL,MINGASINT,2048,0.05286417750489197
GLOBAL,MINGASINT,2049,0.05543919622016688
GLOBAL,MINGASINT,2050,0.05801548731684148
GLOBAL,PWRCCGKENXX01,2032,7.272496818014723
GLOBAL,PWRCCGKENXX01,2033,5.551439726001653
GLOBAL,PWRCCGKENXX01,2034,5.551439726002004
GLOBAL,PWRCCGKENXX01,2035,5.540133331447733
GLOBAL,PWRCCGKENXX01,2036,6.422032106657873
GLOBAL,PWRCCGKENXX01,2037,6.410725712104665
GLOBAL,PWRCCGKENXX01,2038,6.42203210665788
GLOBAL,PWRCCGKENXX01,2039,6.410725712103956
GLOBAL,PWRCCGKENXX01,2040,6.422032106657519
GLOBAL,PWRCCGKENXX01,2041,7.971008160552674
GLOBAL,PWRCCGKENXX01,2042,7.959701765998036
GLOBAL,PWRCCGKENXX01,2043,7.9710081605537395
GLOBAL,PWRCCGKENXX01,2044,7.97100816055231
GLOBAL,PWRCCGKENXX01,2045,17.520327823473547
GLOBAL,PWRCCGKENXX01,2046,32.64576568674286
GLOBAL,PWRCCGKENXX01,2047,10.006159180268034
GLOBAL,PWRCCGKENXX01,2048,11.8700235647791
GLOBAL,PWRCCGKENXX01,2049,9.994852785714478
GLOBAL,PWRCCGKENXX01,2050,9.99485278571164
GLOBAL,PWRCCGTZAXX01,2025,4.128233334329063
GLOBAL,PWRCCGTZAXX01,2026,13.824259791449611
GLOBAL,PWRCCGTZAXX01,2027,13.810138359116689
GLOBAL,PWRCCGTZAXX01,2028,13.8242597914489
GLOBAL,PWRCCGTZAXX01,2029,13.835993041645432
GLOBAL,PWRCCGTZAXX01,2030,13.824259791449965
GLOBAL,PWRCCGTZAXX01,2031,16.410974007244732
GLOBAL,PWRCCGTZAXX01,2032,66.90655131753435
GLOBAL,PWRCCGTZAXX01,2033,10.675802843483632
GLOBAL,PWRCCGTZAXX01,2034,10.661681411150717
GLOBAL,PWRCCGTZAXX01,2035,10.675802843485032
GLOBAL,PWRCCGTZAXX01,2036,12.681046234719757
GLOBAL,PWRCCGTZAXX01,2037,12.66692480238826
GLOBAL,PWRCCGTZAXX01,2038,12.681046234720466
GLOBAL,PWRCCGTZAXX01,2039,12.681046234720426
GLOBAL,PWRCCGTZAXX01,2040,12.681046234719048
GLOBAL,PWRCCGTZAXX01,2041,14.982839704942595
GLOBAL,PWRCCGTZAXX01,2042,14.982839704942636
GLOBAL,PWRCCGTZAXX01,2043,59.0828397049449
GLOBAL,PWRCCGTZAXX01,2044,14.996961137274845
GLOBAL,PWRCCGTZAXX01,2045,14.982839704941888
GLOBAL,PWRCCGTZAXX01,2046,18.59792638210225
GLOBAL,PWRCCGTZAXX01,2047,18.597926382101548
GLOBAL,PWRCCGTZAXX01,2048,18.59792638210092
GLOBAL,PWRCCGTZAXX01,2049,18.58380494976938
GLOBAL,PWRCCGTZAXX01,2050,18.597926382100127
GLOBAL,PWRGEOKENXX01,2021,596.8710598436926
GLOBAL,PWRGEOKENXX01,2022,154.2853652590458
GLOBAL,PWRGEOKENXX01,2024,73.2692765996901
GLOBAL,PWRGEOKENXX01,2026,457.1504499260829
GLOBAL,PWRGEOKENXX01,2027,457.15044992608233
GLOBAL,PWRGEOKENXX01,2028,457.15044992608216
GLOBAL,PWRGEOKENXX01,2029,458.2235730479746
GLOBAL,PWRGEOKENXX01,2030,457.1504499260829
GLOBAL,PWRGEOKENXX01,2031,524.0171216936427
GLOBAL,PWRGEOKENXX01,2032,752.5485061673293
GLOBAL,PWRGEOKENXX01,2033,498.6918245981686
GLOBAL,PWRGEOKENXX01,2034,496.954222421868
GLOBAL,PWRGEOKENXX01,2035,494.20803242429406
GLOBAL,PWRGEOKENXX01,2036,570.8677846503945
GLOBAL,PWRGEOKENXX01,2037,567.8561768051162
GLOBAL,PWRGEOKENXX01,2038,566.8475889838418
GLOBAL,PWRGEOKENXX01,2039,563.843058947838
GLOBAL,PWRGEOKENXX01,2040,562.8273933172911
GLOBAL,PWRGEOKENXX01,2041,698.579775156142
GLOBAL,PWRGEOKENXX01,2042,697.5888818580536
GLOBAL,PWRGEOKENXX01,2043,698.5797751561436
GLOBAL,PWRGEOKENXX01,2044,698.5797751561436
GLOBAL,PWRGEOKENXX01,2045,863.6920449003462
GLOBAL,PWRGEOKENXX01,2046,875.9496755149339
GLOBAL,PWRGEOKENXX01,2047,876.9405688130357
GLOBAL,PWRGEOKENXX01,2048,1054.2009923986775
GLOBAL,PWRGEOKENXX01,2049,875.9496755149386
GLOBAL,PWRGEOKENXX01,2050,875.9496755149418
GLOBAL,PWRGEOTZAXX01,2021,2435.1241769526755
GLOBAL,PWRGEOTZAXX01,2022,305.97949260446524
GLOBAL,PWRGEOTZAXX01,2023,349.7596054176146
GLOBAL,PWRGEOTZAXX01,2024,3032.355607117777
GLOBAL,PWRGEOTZAXX01,2025,651.492075545193
GLOBAL,PWRGEOTZAXX01,2026,613.4300177609133
GLOBAL,PWRGEOTZAXX01,2027,612.4153977158294
GLOBAL,PWRGEOTZAXX01,2028,613.4300177609153
GLOBAL,PWRGEOTZAXX01,2029,613.3814085815291
GLOBAL,PWRGEOTZAXX01,2030,613.430017760912
GLOBAL,PWRGEOTZAXX01,2031,739.6602580858039
GLOBAL,PWRGEOTZAXX01,2032,732.0133699405843
GLOBAL,PWRGEOTZAXX01,2033,759.1177255941186
GLOBAL,PWRGEOTZAXX01,2034,755.4720908114328
GLOBAL,PWRGEOTZAXX01,2035,753.8277066004312
GLOBAL,PWRGEOTZAXX01,2036,892.2778597870683
GLOBAL,PWRGEOTZAXX01,2037,888.1459071207
GLOBAL,PWRGEOTZAXX01,2038,885.9942128871583
GLOBAL,PWRGEOTZAXX01,2039,882.8523894372022
GLOBAL,PWRGEOTZAXX01,2040,879.710565987255
GLOBAL,PWRGEOTZAXX01,2041,1039.390768944846
GLOBAL,PWRGEOTZAXX01,2042,1039.3907689448436
GLOBAL,PWRGEOTZAXX01,2043,1039.3907689448397
GLOBAL,PWRGEOTZAXX01,2044,1040.3704020918244
GLOBAL,PWRGEOTZAXX01,2045,1039.3907689448467
GLOBAL,PWRGEOTZAXX01,2046,1290.1768545715
GLOBAL,PWRGEOTZAXX01,2047,1290.1768545714983
GLOBAL,PWRGEOTZAXX01,2048,1290.1768545715013
GLOBAL,PWRGEOTZAXX01,2049,1289.1972214245204
GLOBAL,PWRGEOTZAXX01,2050,1290.1768545715026
GLOBAL,PWROCGKENXX01,2025,11.725832341710955
GLOBAL,PWROCGKENXX01,2026,17.285094269865546
GLOBAL,PWROCGKENXX01,2027,172.2686479384954
GLOBAL,PWROCGKENXX01,2028,17.285094269865297
GLOBAL,PWROCGKENXX01,2029,17.301540601235573
GLOBAL,PWROCGKENXX01,2030,65.28509426986547
GLOBAL,PWROCGKENXX01,2031,20.475682555644383
GLOBAL,PWROCGKENXX01,2032,50.508575218383925
GLOBAL,PWROCGKENXX01,2033,20.508575218385168
GLOBAL,PWROCGKENXX01,2034,20.49212888701419
GLOBAL,PWROCGKENXX01,2035,20.49212888701489
GLOBAL,PWROCGKENXX01,2036,24.11032178841297
GLOBAL,PWROCGKENXX01,2037,24.07742912567341
GLOBAL,PWROCGKENXX01,2038,24.110321788413763
GLOBAL,PWROCGKENXX01,2039,24.093875457043247
GLOBAL,PWROCGKENXX01,2040,60.11032178841416
GLOBAL,PWROCGKENXX01,2041,29.04422119941249
GLOBAL,PWROCGKENXX01,2042,58.62777486804207
GLOBAL,PWROCGKENXX01,2043,64.24422119941198
GLOBAL,PWROCGKENXX01,2044,29.06066753078237
GLOBAL,PWROCGKENXX01,2046,23.254996544774286
GLOBAL,PWROCGKENXX01,2047,36.21482167672907
GLOBAL,PWROCGKENXX01,2048,23.44015312313747
GLOBAL,PWROCGKENXX01,2049,36.18192901399078
GLOBAL,PWROCGTZAXX01,2050,36.198375345361455
GLOBAL,PWRTRNKENXX,2021,0.0017267046509527133
GLOBAL,PWRTRNKENXX,2022,0.0018007131421176933
GLOBAL,PWRTRNKENXX,2023,0.0017637088965352032
GLOBAL,PWRTRNKENXX,2024,0.0018661241047249757
GLOBAL,PWRTRNKENXX,2025,0.0018661241047249757
GLOBAL,PWRTRNKENXX,2026,0.0020237621909063837
GLOBAL,PWRTRNKENXX,2027,0.0021814002770877907
GLOBAL,PWRTRNKENXX,2028,0.002339038363269199
GLOBAL,PWRTRNKENXX,2029,0.002497046491906431
GLOBAL,PWRTRNKENXX,2030,0.00265468457808784
GLOBAL,PWRTRNKENXX,2031,0.0028360053814420407
GLOBAL,PWRTRNKENXX,2032,0.0030176962272520677
GLOBAL,PWRTRNKENXX,2033,0.003199387073062093
GLOBAL,PWRTRNKENXX,2034,0.00338107791887212
GLOBAL,PWRTRNKENXX,2035,0.0035623987222263213
GLOBAL,PWRTRNKENXX,2036,0.003772582837134865
GLOBAL,PWRTRNKENXX,2037,0.003982396909587584
GLOBAL,PWRTRNKENXX,2038,0.004192581024496127
GLOBAL,PWRTRNKENXX,2039,0.0044023950969488464
GLOBAL,PWRTRNKENXX,2040,0.0046125792118573
GLOBAL,PWRTRNKENXX,2041,0.004873459143213944
GLOBAL,PWRTRNKENXX,2042,0.005133969032114676
GLOBAL,PWRTRNKENXX,2043,0.0053948489634712314
GLOBAL,PWRTRNKENXX,2044,0.005655728894827784
GLOBAL,PWRTRNKENXX,2045,0.005916608826184341
GLOBAL,PWRTRNKENXX,2046,0.0062437263571335526
GLOBAL,PWRTRNKENXX,2047,0.0065712139305385
GLOBAL,PWRTRNKENXX,2048,0.0068983314614878034
GLOBAL,PWRTRNKENXX,2049,0.007225448992437016
GLOBAL,PWRTRNKENXX,2050,0.007552566523386227
GLOBAL,PWRTRNTZAXX,2021,0.001184135858639683
GLOBAL,PWRTRNTZAXX,2022,0.0012951485953871533
GLOBAL,PWRTRNTZAXX,2023,0.0014801698232996038
GLOBAL,PWRTRNTZAXX,2024,0.0025155486146976767
GLOBAL,PWRTRNTZAXX,2025,0.002697609502963528
GLOBAL,PWRTRNTZAXX,2026,0.002928886037854091
GLOBAL,PWRTRNTZAXX,2027,0.0031597925302888287
GLOBAL,PWRTRNTZAXX,2028,0.003391069065179392
GLOBAL,PWRTRNTZAXX,2029,0.003622345600069955
GLOBAL,PWRTRNTZAXX,2030,0.0038536221349605186
GLOBAL,PWRTRNTZAXX,2031,0.004133004189108318
GLOBAL,PWRTRNTZAXX,2032,0.004412756285711944
GLOBAL,PWRTRNTZAXX,2033,0.004692508382315568
GLOBAL,PWRTRNTZAXX,2034,0.0049718904364633686
GLOBAL,PWRTRNTZAXX,2035,0.005251642533066993
GLOBAL,PWRTRNTZAXX,2036,0.005583940658397755
GLOBAL,PWRTRNTZAXX,2037,0.005915868741272691
GLOBAL,PWRTRNTZAXX,2038,0.006248166866603452
GLOBAL,PWRTRNTZAXX,2039,0.006580464991934213
GLOBAL,PWRTRNTZAXX,2040,0.0069127631172649735
GLOBAL,PWRTRNTZAXX,2041,0.007305378162895193
GLOBAL,PWRTRNTZAXX,2042,0.007697993208525414
