REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINGASINT,2021,0.002197805207506305
GLOBAL,MINGASINT,2022,0.0023876561019567743
GLOBAL,MINGASINT,2023,0.006317286846686238
GLOBAL,MINGASINT,2024,0.003540518213021036
GLOBAL,MINGASINT,2025,0.004040057604245224
GLOBAL,MINGASINT,2026,0.004446202534271851
GLOBAL,MINGASINT,2027,0.004744395799616689
GLOBAL,MINGASINT,2028,0.004952279564981189
GLOBAL,MINGASINT,2029,0.005083649590762859
GLOBAL,MINGASINT,2030,0.005149757871289056
GLOBAL,MINGASINT,2031,0.005251691537578423
GLOBAL,MINGASINT,2032,0.007116876593947732
GLOBAL,MINGASINT,2033,0.0069357645967115245
GLOBAL,MINGASINT,2034,0.006728396328015758
GLOBAL,MINGASINT,2035,0.006501477804448543
GLOBAL,MINGASINT,2036,0.006322486002865658
GLOBAL,MINGASINT,2037,0.0061218083292489105
GLOBAL,MINGASINT,2038,0.005905818840792548
GLOBAL,MINGASINT,2039,0.005678323482087195
GLOBAL,MINGASINT,2040,0.0054435490675795355
GLOBAL,MINGASINT,2041,0.0052561068034041765
GLOBAL,MINGASINT,2042,0.005057619279365263
GLOBAL,MINGASINT,2043,0.0046590941498884
GLOBAL,MINGASINT,2044,0.00446665581189318
GLOBAL,MINGASINT,2045,0.004653918996503682
GLOBAL,MINGASINT,2046,0.004387901118560152
GLOBAL,MINGASINT,2047,0.004205251365822617
GLOBAL,MINGASINT,2048,0.004032357050102063
GLOBAL,MINGASINT,2049,0.0038443395591843846
GLOBAL,MINGASINT,2050,0.003657262011909488
GLOBAL,PWRCCGKENXX01,2032,2.548965768711997
GLOBAL,PWRCCGKENXX01,2033,1.7688597793656642
GLOBAL,PWRCCGKENXX01,2034,1.6080543448779778
GLOBAL,PWRCCGKENXX01,2035,1.4588902591930517
GLOBAL,PWRCCGKENXX01,2036,1.5373834271273936
GLOBAL,PWRCCGKENXX01,2037,1.3951606965130225
GLOBAL,PWRCCGKENXX01,2038,1.2705648158077647
GLOBAL,PWRCCGKENXX01,2039,1.153025369018899
GLOBAL,PWRCCGKENXX01,2040,1.0500535667832174
GLOBAL,PWRCCGKENXX01,2041,1.1848395719946034
GLOBAL,PWRCCGKENXX01,2042,1.0755990440801177
GLOBAL,PWRCCGKENXX01,2043,0.9792062578469105
GLOBAL,PWRCCGKENXX01,2044,0.8901875071333953
GLOBAL,PWRCCGKENXX01,2045,1.7787617593425666
GLOBAL,PWRCCGKENXX01,2046,3.0130735303124783
GLOBAL,PWRCCGKENXX01,2047,0.8395713176922098
GLOBAL,PWRCCGKENXX01,2048,0.9054179118153377
GLOBAL,PWRCCGKENXX01,2049,0.6930765698650087
GLOBAL,PWRCCGKENXX01,2050,0.6300696089680108
GLOBAL,PWRCCGTZAXX01,2025,2.8196389142333596
GLOBAL,PWRCCGTZAXX01,2026,8.58377768002037
GLOBAL,PWRCCGTZAXX01,2027,7.795463074157019
GLOBAL,PWRCCGTZAXX01,2028,7.094031140512337
GLOBAL,PWRCCGTZAXX01,2029,6.454592866458107
GLOBAL,PWRCCGTZAXX01,2030,5.862835653316432
GLOBAL,PWRCCGTZAXX01,2031,6.327140901495673
GLOBAL,PWRCCGTZAXX01,2032,23.450338072134493
