REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINGASINT,2021,2.878663843509283
GLOBAL,MINGASINT,2022,3.1273286949919843
GLOBAL,MINGASINT,2023,10.573238255733214
GLOBAL,MINGASINT,2024,4.637336253595431
GLOBAL,MINGASINT,2025,5.291628080284316
GLOBAL,MINGASINT,2026,5.823592751811697
GLOBAL,MINGASINT,2027,6.214163384911671
GLOBAL,MINGASINT,2028,6.486447514989942
GLOBAL,MINGASINT,2029,6.658514694577555
GLOBAL,MINGASINT,2030,6.745102676195478
GLOBAL,MINGASINT,2031,6.878614398972987
GLOBAL,MINGASINT,2032,9.32161560985657
GLOBAL,MINGASINT,2033,9.084396880785864
GLOBAL,MINGASINT,2034,8.812787943220862
GLOBAL,MINGASINT,2035,8.515572272339538
GLOBAL,MINGASINT,2036,8.281130554874565
GLOBAL,MINGASINT,2037,8.018284893545214
GLOBAL,MINGASINT,2038,7.735383966350274
GLOBAL,MINGASINT,2039,7.437412762426191
GLOBAL,MINGASINT,2040,7.129907522145557
GLOBAL,MINGASINT,2041,6.884397471125451
GLOBAL,MINGASINT,2042,6.6244204463704675
GLOBAL,MINGASINT,2043,6.102436115349354
GLOBAL,MINGASINT,2044,5.850382255525988
GLOBAL,MINGASINT,2045,6.0956577498771445
GLOBAL,MINGASINT,2046,5.747230125651076
GLOBAL,MINGASINT,2047,5.507997259409928
GLOBAL,MINGASINT,2048,5.281541969508352
GLOBAL,MINGASINT,2049,5.035278492106655
GLOBAL,MINGASINT,2050,4.790246143728665
GLOBAL,PWRBIOKENXX01,2021,6.435872477407748
GLOBAL,PWRBIOKENXX01,2022,5.8507931612797694
GLOBAL,PWRBIOKENXX01,2023,5.3189028738907
GLOBAL,PWRBIOKENXX01,2024,4.835366248991544
GLOBAL,PWRBIOKENXX01,2025,4.395787499083222
GLOBAL,PWRBIOKENXX01,2026,3.9961704537120197
GLOBAL,PWRBIOKENXX01,2027,3.632882230647291
