REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINGASINT,2021,28.58067482817563
GLOBAL,MINGASINT,2022,28.955921431782205
GLOBAL,MINGASINT,2023,36.27672930575839
GLOBAL,MINGASINT,2024,48.581354083003106
GLOBAL,MINGASINT,2025,47.00360447384983
GLOBAL,MINGASINT,2026,86.0681122487412
GLOBAL,MINGASINT,2027,126.33192367342616
GLOBAL,MINGASINT,2028,153.42665950805224
GLOBAL,MINGASINT,2029,172.36496604704374
GLOBAL,MINGASINT,2030,185.98730490506884
GLOBAL,MINGASINT,2031,180.68682740045267
GLOBAL,MINGASINT,2032,177.52866387239573
GLOBAL,MINGASINT,2033,170.98263600377828
GLOBAL,MINGASINT,2034,164.15961598009537
GLOBAL,MINGASINT,2035,157.16406541523313
GLOBAL,MINGASINT,2036,150.08374209373332
GLOBAL,MINGASINT,2037,142.991873711554
GLOBAL,MINGASINT,2038,135.94907443940932
GLOBAL,MINGASINT,2039,129.00503310342685
GLOBAL,MINGASINT,2040,122.19999866787596
GLOBAL,MINGASINT,2041,117.62624181550078
GLOBAL,MINGASINT,2042,112.87415977374035
GLOBAL,MINGASINT,2043,108.01397494770886
GLOBAL,MINGASINT,2044,103.16363526692454
GLOBAL,MINGASINT,2045,97.7942614359638
GLOBAL,MINGASINT,2046,93.19379665515467
GLOBAL,MINGASINT,2047,88.62156297964981
GLOBAL,MINGASINT,2048,84.219734231939
GLOBAL,MINGASINT,2049,79.7864771172849
GLOBAL,MINGASINT,2050,75.46323588932903
GLOBAL,MINOILINT,2021,9.997641588698059
GLOBAL,MINOILINT,2022,11.565734109695391
GLOBAL,MINOILINT,2023,6.772681203344103
GLOBAL,PWRBIOKENXX01,2021,6.435872477407748
GLOBAL,PWRBIOKENXX01,2022,5.8507931612797694
GLOBAL,PWRBIOKENXX01,2023,5.3189028738907
GLOBAL,PWRBIOKENXX01,2024,4.835366248991544
GLOBAL,PWRBIOKENXX01,2025,4.395787499083222
GLOBAL,PWRBIOKENXX01,2026,3.9961704537120197
GLOBAL,PWRBIOKENXX01,2027,3.632882230647291
GLOBAL,PWRBIOKENXX01,2028,3.302620209679355
GLOBAL,PWRBIOKENXX01,2029,3.002382008799413
GLOBAL,PWRBIOKENXX01,2030,2.7294381898176483
GLOBAL,PWRBIOKENXX01,2031,2.4647653956535125
GLOBAL,PWRBIOTZAXX01,2021,8.002525450795794
GLOBAL,PWRBIOTZAXX01,2022,7.275023137087084
GLOBAL,PWRBIOTZAXX01,2023,6.613657397351894
GLOBAL,PWRBIOTZAXX01,2024,6.012415815774449
GLOBAL,PWRBIOTZAXX01,2025,5.465832559794953
GLOBAL,PWRBIOTZAXX01,2026,4.968938690722684
GLOBAL,PWRBIOTZAXX01,2027,4.517216991566077
GLOBAL,PWRBIOTZAXX01,2028,4.1065609014237054
GLOBAL,PWRBIOTZAXX01,2029,6.038059193825324
GLOBAL,PWRBIOTZAXX01,2030,8.22194001340576
GLOBAL,PWRBIOTZAXX01,2031,8.501040507094897
GLOBAL,PWRBIOTZAXX01,2032,8.6483109505387
GLOBAL,PWRBIOTZAXX01,2033,8.686607881628293
GLOBAL,PWRBIOTZAXX01,2034,8.63561305832403
GLOBAL,PWRBIOTZAXX01,2035,8.512231662569759
GLOBAL,PWRBIOTZAXX01,2036,8.330943444243553
GLOBAL,PWRBIOTZAXX01,2037,8.104112152101695
GLOBAL,PWRBIOTZAXX01,2038,7.842258008035469
GLOBAL,PWRBIOTZAXX01,2039,7.5542974541523265
GLOBAL,PWRBIOTZAXX01,2040,7.247753932500095
GLOBAL,PWRBIOTZAXX01,2041,7.154733019317094
GLOBAL,PWRBIOTZAXX01,2042,7.01872620660968
GLOBAL,PWRBIOTZAXX01,2043,6.84831788035039
GLOBAL,PWRBIOTZAXX01,2044,6.650886884430806
GLOBAL,PWRBIOTZAXX01,2045,6.4327547647913255
GLOBAL,PWRBIOTZAXX01,2046,6.199317023231375
GLOBAL,PWRBIOTZAXX01,2047,5.9551592448908
GLOBAL,PWRBIOTZAXX01,2048,5.704159764899379
GLOBAL,PWRBIOTZAXX01,2049,5.449580361890799
GLOBAL,PWRBIOTZAXX01,2050,5.194146306826717
GLOBAL,PWRCCGTZAXX00,2021,24.313296025762604
GLOBAL,PWRCCGTZAXX00,2022,23.836564731139806
GLOBAL,PWRCCGTZAXX00,2023,22.654586314719644
GLOBAL,PWRCCGTZAXX00,2024,20.595078467926946
GLOBAL,PWRCCGTZAXX00,2025,18.722798607206315
GLOBAL,PWRCCGTZAXX00,2026,17.020726006551193
