REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOKENXX01,2027,1.288320117003949
GLOBAL,PWRBIOKENXX01,2032,1.0200338641975244
GLOBAL,PWRBIOTZAXX01,2032,6.045512350195716
GLOBAL,PWRCCGTZAXX01,2042,0.6380759569625917
GLOBAL,PWRCCGTZAXX01,2043,2.239806421834924
GLOBAL,PWRCCGTZAXX01,2044,2.2704612689386696
GLOBAL,PWRCCGTZAXX01,2045,2.2942478456885125
GLOBAL,PWRCCGTZAXX01,2046,2.877062294706129
GLOBAL,PWRCCGTZAXX01,2047,2.903657001167532
GLOBAL,PWRCCGTZAXX01,2048,2.927834007041947
GLOBAL,PWRCCGTZAXX01,2049,2.947573305946187
GLOBAL,PWRCCGTZAXX01,2050,2.9697940998813155
GLOBAL,PWRGEOKENXX01,2022,0.7995488094476967
GLOBAL,PWRGEOKENXX01,2024,2.4437718452310557
GLOBAL,PWRGEOKENXX01,2025,2.800326170189455
GLOBAL,PWRGEOKENXX01,2026,9.995861527168573
GLOBAL,PWRGEOKENXX01,2027,10.75757730120065
GLOBAL,PWRGEOKENXX01,2028,12.837451251713238
GLOBAL,PWRGEOKENXX01,2029,14.0430663023537
GLOBAL,PWRGEOKENXX01,2030,15.123816149509924
GLOBAL,PWRGEOKENXX01,2031,18.49402225405688
GLOBAL,PWRGEOKENXX01,2032,23.331293740229725
GLOBAL,PWRGEOKENXX01,2033,20.514800255591037
GLOBAL,PWRGEOKENXX01,2034,21.25651422627037
GLOBAL,PWRGEOKENXX01,2035,21.944665749559277
GLOBAL,PWRGEOKENXX01,2036,26.172386320951144
GLOBAL,PWRGEOKENXX01,2037,26.75810760411696
GLOBAL,PWRGEOKENXX01,2038,27.386034494325557
GLOBAL,PWRGEOKENXX01,2039,27.851670341867838
GLOBAL,PWRGEOKENXX01,2040,28.35576681848693
GLOBAL,PWRGEOKENXX01,2041,35.820510573480405
GLOBAL,PWRGEOKENXX01,2042,36.33745185098661
GLOBAL,PWRGEOKENXX01,2043,36.90593752796399
GLOBAL,PWRGEOKENXX01,2044,37.37581932644213
GLOBAL,PWRGEOKENXX01,2045,49.272353888526126
GLOBAL,PWRGEOKENXX01,2046,47.88811904932861
GLOBAL,PWRGEOKENXX01,2047,48.38545538166611
GLOBAL,PWRGEOKENXX01,2048,58.598047493040966
GLOBAL,PWRGEOKENXX01,2049,49.09904152009511
GLOBAL,PWRGEOKENXX01,2050,49.43162116051467
GLOBAL,PWRGEOTZAXX01,2022,1.647126237218703
