REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRCCGKENXX01,2032,1.2079757892231546
GLOBAL,PWRCCGKENXX01,2033,1.9224675412368988
GLOBAL,PWRCCGKENXX01,2034,4.887738414678994
GLOBAL,PWRCCGKENXX01,2035,4.71581830447278
GLOBAL,PWRCCGKENXX01,2036,4.175088514229298
GLOBAL,PWRCCGKENXX01,2037,4.935489422214506
GLOBAL,PWRCCGKENXX01,2038,5.525030226017682
GLOBAL,PWRCCGKENXX01,2039,5.71600214914009
GLOBAL,PWRCCGKENXX01,2040,6.087183532645932
GLOBAL,PWRCCGKENXX01,2041,6.538967503230619
GLOBAL,PWRCCGKENXX01,2042,6.858301631786309
GLOBAL,PWRCCGKENXX01,2043,7.123098523901097
GLOBAL,PWRCCGKENXX01,2044,7.452705843704617
GLOBAL,PWRCCGKENXX01,2045,8.451425552314266
GLOBAL,PWRCCGKENXX01,2046,10.136509826428473
GLOBAL,PWRCCGKENXX01,2047,10.276306595884256
GLOBAL,PWRCCGKENXX01,2048,10.58876045021132
GLOBAL,PWRCCGKENXX01,2049,10.50435118342644
GLOBAL,PWRCCGKENXX01,2050,10.348671977634147
GLOBAL,PWRCCGTZAXX00,2021,5.083224709488127
GLOBAL,PWRCCGTZAXX00,2022,1.8142152549714088
GLOBAL,PWRCCGTZAXX00,2023,3.1229720748565093
GLOBAL,PWRCCGTZAXX01,2021,11.488796603981358
GLOBAL,PWRCCGTZAXX01,2022,15.035681062388797
GLOBAL,PWRCCGTZAXX01,2023,14.583530975328298
GLOBAL,PWRCCGTZAXX01,2024,8.634799182553236
GLOBAL,PWRCCGTZAXX01,2025,9.073246677182023
GLOBAL,PWRCCGTZAXX01,2026,9.379104068078131
GLOBAL,PWRCCGTZAXX01,2027,9.551544956952867
GLOBAL,PWRCCGTZAXX01,2028,9.617683843438726
GLOBAL,PWRCCGTZAXX01,2029,9.591433292960689
GLOBAL,PWRCCGTZAXX01,2030,9.893985270616593
GLOBAL,PWRCCGTZAXX01,2031,10.31374460736602
GLOBAL,PWRCCGTZAXX01,2032,12.031061108052876
GLOBAL,PWRCCGTZAXX01,2033,12.331855718247551
GLOBAL,PWRCCGTZAXX01,2034,12.951344778559264
GLOBAL,PWRCCGTZAXX01,2035,12.849332005933102
GLOBAL,PWRCCGTZAXX01,2036,13.239711098420113
GLOBAL,PWRCCGTZAXX01,2037,12.584496426510158
GLOBAL,PWRCCGTZAXX01,2038,11.937289938526469
GLOBAL,PWRCCGTZAXX01,2039,11.635248445696508
GLOBAL,PWRCCGTZAXX01,2040,11.297786386693138
GLOBAL,PWRCCGTZAXX01,2041,10.509637512113455
GLOBAL,PWRCCGTZAXX01,2042,9.772068537438772
GLOBAL,PWRCCGTZAXX01,2043,9.084527798617367
GLOBAL,PWRCCGTZAXX01,2044,8.719759794988367
GLOBAL,PWRCCGTZAXX01,2045,8.298133374044614
GLOBAL,PWRCCGTZAXX01,2046,7.990191818727761
GLOBAL,PWRCCGTZAXX01,2047,7.792452238499331
GLOBAL,PWRCCGTZAXX01,2048,7.56744378216136
GLOBAL,PWRCCGTZAXX01,2049,7.318945522525336
GLOBAL,PWRCCGTZAXX01,2050,7.053087906937495
