REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINGASINT,2021,16.18583069385233
GLOBAL,MINGASINT,2022,18.419801308441485
GLOBAL,MINGASINT,2023,17.758615085551593
GLOBAL,MINGASINT,2024,31.61374761857972
GLOBAL,MINGASINT,2025,39.022799889233674
GLOBAL,MINGASINT,2026,42.648994130309866
GLOBAL,MINGASINT,2027,46.8915341291075
GLOBAL,MINGASINT,2028,51.13788741246768
GLOBAL,MINGASINT,2029,55.29946736323427
GLOBAL,MINGASINT,2030,59.36728410358761
GLOBAL,MINGASINT,2031,64.1750100918597
GLOBAL,MINGASINT,2032,73.53863595673046
GLOBAL,MINGASINT,2033,78.39898878358997
GLOBAL,MINGASINT,2034,83.2617734568748
GLOBAL,MINGASINT,2035,88.20748644090897
GLOBAL,MINGASINT,2036,93.84241049023757
GLOBAL,MINGASINT,2037,99.48290182299876
GLOBAL,MINGASINT,2038,105.13345329631343
GLOBAL,MINGASINT,2039,110.77969605490937
GLOBAL,MINGASINT,2040,116.4302475282241
GLOBAL,MINGASINT,2041,123.3199511596023
GLOBAL,MINGASINT,2042,130.4659584328435
GLOBAL,MINGASINT,2043,137.74970943625473
GLOBAL,MINGASINT,2044,144.90400984347525
GLOBAL,MINGASINT,2045,149.17571382999685
GLOBAL,MINGASINT,2046,158.09252067404088
GLOBAL,MINGASINT,2047,167.0139574055001
GLOBAL,MINGASINT,2048,177.22492598878128
GLOBAL,MINGASINT,2049,186.1380699730157
GLOBAL,MINGASINT,2050,195.05487681705944
GLOBAL,MINOILINT,2021,10.733640776000303
GLOBAL,MINOILINT,2022,12.652786523122703
GLOBAL,MINOILINT,2023,8.807513164800275
GLOBAL,MINOILINT,2024,9.576059639822144
GLOBAL,PWRBIOTZAXX01,2021,0.04481084869698164
GLOBAL,PWRBIOTZAXX01,2023,0.06148950527319776
GLOBAL,PWRBIOTZAXX01,2032,0.061606063296312685
GLOBAL,PWRCCGKENXX01,2024,0.00018033604729380967
GLOBAL,PWRCCGTZAXX01,2024,0.0027187935267743973
GLOBAL,PWRCCGTZAXX01,2025,0.3041395191951523
GLOBAL,PWRCCGTZAXX01,2026,0.05309390695759556
GLOBAL,PWRCCGTZAXX01,2027,0.02815468628436372
GLOBAL,PWRCCGTZAXX01,2028,0.028189348766080632
GLOBAL,PWRCCGTZAXX01,2029,0.03175656234695587
GLOBAL,PWRCCGTZAXX01,2030,0.03534690063399835
GLOBAL,PWRCCGTZAXX01,2031,0.042699055965870814
GLOBAL,PWRCCGTZAXX01,2032,0.05391709288787092
GLOBAL,PWRCCGTZAXX01,2033,0.04100299984145589
GLOBAL,PWRCCGTZAXX01,2034,0.0406954653623624
