REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINGASINT,2021,29.975664646464505
GLOBAL,MINGASINT,2022,33.406149265030166
GLOBAL,MINGASINT,2023,46.03729916104896
GLOBAL,MINGASINT,2024,67.81784939841154
GLOBAL,MINGASINT,2025,72.17690351607233
GLOBAL,MINGASINT,2026,77.87886469152926
GLOBAL,MINGASINT,2027,73.92602814938127
GLOBAL,MINGASINT,2028,77.10894544480642
GLOBAL,MINGASINT,2029,88.5200823318847
GLOBAL,MINGASINT,2030,100.42647812104718
GLOBAL,MINGASINT,2031,108.0717458245048
GLOBAL,MINGASINT,2032,123.07853499827353
GLOBAL,MINGASINT,2033,130.11152979345448
GLOBAL,MINGASINT,2034,137.75550748405118
GLOBAL,MINGASINT,2035,145.40489614362176
GLOBAL,MINGASINT,2036,154.4648302638092
GLOBAL,MINGASINT,2037,163.5137366704622
GLOBAL,MINGASINT,2038,172.57341871527348
GLOBAL,MINGASINT,2039,181.63123154486797
GLOBAL,MINGASINT,2040,190.69091358967955
GLOBAL,MINGASINT,2041,201.45842505870328
GLOBAL,MINGASINT,2042,211.6933862386417
GLOBAL,MINGASINT,2043,220.62416318383953
GLOBAL,MINGASINT,2044,229.5621154167069
GLOBAL,MINGASINT,2045,229.42323913259992
GLOBAL,MINGASINT,2046,240.52547924500283
GLOBAL,MINGASINT,2047,251.62958857262257
GLOBAL,MINGASINT,2048,263.8992682017096
GLOBAL,MINGASINT,2049,274.9943330264432
GLOBAL,MINGASINT,2050,286.0965731388458
GLOBAL,MINOILINT,2021,10.485614959060436
GLOBAL,MINOILINT,2022,13.343268696815104
GLOBAL,MINOILINT,2023,8.59493004600261
GLOBAL,MINOILINT,2027,10.428383088294574
GLOBAL,MINOILINT,2028,14.66189894288007
GLOBAL,MINOILINT,2029,7.6753547568570015
GLOBAL,PWRBIOKENXX01,2021,6.751419403824
GLOBAL,PWRBIOKENXX01,2022,6.751419403824001
GLOBAL,PWRBIOKENXX01,2023,6.751419403824001
GLOBAL,PWRBIOKENXX01,2024,6.751419403824001
GLOBAL,PWRBIOKENXX01,2025,6.751419403824001
GLOBAL,PWRBIOKENXX01,2026,6.751419403824001
GLOBAL,PWRBIOKENXX01,2027,8.489592552812045
GLOBAL,PWRBIOKENXX01,2028,8.489592552812045
GLOBAL,PWRBIOKENXX01,2029,8.489592552812049
GLOBAL,PWRBIOKENXX01,2030,8.489592552812045
GLOBAL,PWRBIOKENXX01,2031,8.433007168017236
GLOBAL,PWRBIOKENXX01,2032,2.629872532243399
GLOBAL,PWRBIOKENXX01,2033,2.6121069095169545
GLOBAL,PWRBIOKENXX01,2034,2.59434128679051
GLOBAL,PWRBIOKENXX01,2035,2.576575664064066
GLOBAL,PWRBIOKENXX01,2036,2.5588100413376216
GLOBAL,PWRBIOKENXX01,2037,2.5410444186111767
GLOBAL,PWRBIOKENXX01,2038,2.5232787958847327
GLOBAL,PWRBIOKENXX01,2039,2.505513173158288
GLOBAL,PWRBIOKENXX01,2040,2.4877475504318443
GLOBAL,PWRBIOKENXX01,2041,2.4877475504318443
GLOBAL,PWRBIOKENXX01,2042,2.4877475504318447
GLOBAL,PWRBIOKENXX01,2043,2.4877475504318447
GLOBAL,PWRBIOKENXX01,2044,2.4877475504318443
GLOBAL,PWRBIOKENXX01,2045,2.4877475504318443
GLOBAL,PWRBIOKENXX01,2046,2.4877475504318443
GLOBAL,PWRBIOKENXX01,2047,2.4877475504318443
GLOBAL,PWRBIOKENXX01,2048,2.4877475504318447
GLOBAL,PWRBIOKENXX01,2049,2.4877475504318443
GLOBAL,PWRBIOKENXX01,2050,2.4877475504318443
GLOBAL,PWRBIOTZAXX01,2021,8.39488442285914
GLOBAL,PWRBIOTZAXX01,2022,8.39488442285914
GLOBAL,PWRBIOTZAXX01,2023,8.394884422859139
GLOBAL,PWRBIOTZAXX01,2024,8.394884422859139
GLOBAL,PWRBIOTZAXX01,2025,8.39488442285914
GLOBAL,PWRBIOTZAXX01,2026,8.394884422859143
GLOBAL,PWRBIOTZAXX01,2027,8.39488442285914
GLOBAL,PWRBIOTZAXX01,2028,8.394884422859139
GLOBAL,PWRBIOTZAXX01,2029,8.394884422859139
GLOBAL,PWRBIOTZAXX01,2030,8.394884422859137
GLOBAL,PWRBIOTZAXX01,2031,8.338930292855796
GLOBAL,PWRBIOTZAXX01,2032,8.52410275892642
GLOBAL,PWRBIOTZAXX01,2033,8.466519742320155
GLOBAL,PWRBIOTZAXX01,2034,8.40893672571389
GLOBAL,PWRBIOTZAXX01,2035,8.35135370910763
GLOBAL,PWRBIOTZAXX01,2036,8.293770692501361
GLOBAL,PWRBIOTZAXX01,2037,8.2361876758951
GLOBAL,PWRBIOTZAXX01,2038,8.17860465928883
GLOBAL,PWRBIOTZAXX01,2039,8.12102164268257
GLOBAL,PWRBIOTZAXX01,2040,8.063438626076307
GLOBAL,PWRBIOTZAXX01,2041,8.063438626076307
GLOBAL,PWRBIOTZAXX01,2042,8.063438626076305
