REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2022,0.15553555200000002
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2023,0.15553555200000002
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2024,0.15553555200000002
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2025,0.15553555200000002
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2026,0.15553555200000002
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2027,0.1955786457598557
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2028,0.1955786457598557
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2029,0.1955786457598557
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2030,0.1955786457598557
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2031,0.1955786457598557
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2037,0.061404131941805884
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2038,0.061404131941805884
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2039,0.061404131941805884
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2040,0.061404131941805884
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2041,0.061404131941805884
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2044,0.061404131941805884
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2046,0.061404131941805884
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2047,0.061404131941805884
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2048,0.061404131941805884
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2049,0.061404131941805884
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2050,0.061404131941805884
GLOBAL,S1D1,PWRBIOTZAXX01,ELCTZAXX01,2031,0.07392440091238406
GLOBAL,S1D1,PWRBIOTZAXX01,ELCTZAXX01,2035,0.030536293101809154
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2021,1.4913752761357189
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2022,1.4302058808077194
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2023,1.44227915875272
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2024,1.6030685838068486
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2025,1.7199120452969074
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2026,1.8009940392180486
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2027,1.9739509454581923
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2028,2.3321216412522063
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2029,2.400450945458193
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2030,2.613450945458193
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2031,2.858450945458192
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2032,4.0026366831432405
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2033,3.545029591218048
