REGION,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,MINGASINT,GASINT,2021,2.3987692110584486
GLOBAL,MINGASINT,GASINT,2022,2.696286432034386
GLOBAL,MINGASINT,GASINT,2023,2.8410746031505183
GLOBAL,MINGASINT,GASINT,2024,4.542267159098989
GLOBAL,MINGASINT,GASINT,2025,4.6433684728699545
GLOBAL,MINGASINT,GASINT,2026,5.014041248412118
GLOBAL,MINGASINT,GASINT,2027,5.4612144818243955
GLOBAL,MINGASINT,GASINT,2028,5.908857210068863
GLOBAL,MINGASINT,GASINT,2029,6.346582679502742
GLOBAL,MINGASINT,GASINT,2030,6.774146668068055
GLOBAL,MINGASINT,GASINT,2031,7.286896518346998
GLOBAL,MINGASINT,GASINT,2032,8.478486957803986
GLOBAL,MINGASINT,GASINT,2033,8.995439200897122
GLOBAL,MINGASINT,GASINT,2034,9.51243905576469
GLOBAL,MINGASINT,GASINT,2035,10.041192418158442
GLOBAL,MINGASINT,GASINT,2036,10.647064381384821
GLOBAL,MINGASINT,GASINT,2037,11.2534036831675
GLOBAL,MINGASINT,GASINT,2038,11.860669846826163
GLOBAL,MINGASINT,GASINT,2039,12.467784333013494
GLOBAL,MINGASINT,GASINT,2040,13.075050496672148
GLOBAL,MINGASINT,GASINT,2041,13.804935328086577
GLOBAL,MINGASINT,GASINT,2042,14.562685952493755
GLOBAL,MINGASINT,GASINT,2043,15.328037243538635
GLOBAL,MINGASINT,GASINT,2044,16.08656472077603
GLOBAL,MINGASINT,GASINT,2045,16.27229175631248
GLOBAL,MINGASINT,GASINT,2046,17.214614920257674
GLOBAL,MINGASINT,GASINT,2047,18.157124165048934
GLOBAL,MINGASINT,GASINT,2048,19.200361224696454
GLOBAL,MINGASINT,GASINT,2049,20.142093782949875
GLOBAL,MINGASINT,GASINT,2050,21.084416946895036
GLOBAL,MINOILINT,OILINT,2021,0.5978637912232169
GLOBAL,MINOILINT,OILINT,2022,0.7626682917152489
GLOBAL,MINOILINT,OILINT,2023,0.4905784832793753
GLOBAL,MINOILINT,OILINT,2024,0.5333865219380934
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2021,1.4194038240000006
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2022,1.4194038239999993
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2023,1.4194038239999998
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2024,1.4194038239999998
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2025,1.4194038239999998
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2026,1.4194038239999998
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2027,1.4194038239999998
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2028,1.4194038240000002
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2029,1.4194038240000009
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2030,1.4194038239999995
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2031,1.4194038239999998
GLOBAL,PWRBIOTZAXX01,ELCTZAXX01,2021,1.8106995297464574
