REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2023,2.83824
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2027,2.83824
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2021,17.525106061318382
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2022,17.371666832868552
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2023,14.382489958072782
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2024,11.65801587172176
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2025,5.131787216972414
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2026,23.778144
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2027,8.956627253548294
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2028,23.778144
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2029,23.778144
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2030,23.778144
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2031,9.49613143867796
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2032,3.6840876430575182
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2033,23.778144
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2034,13.213584
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2035,13.213584
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2036,13.213584000000004
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2037,13.213584000000004
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2038,1.15859983795622
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2039,13.213584
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2040,1.158599837956216
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2041,1.15859983795622
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2042,1.15859983795622
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2043,13.213584
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2044,13.213584
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2045,8.798544
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2021,14.165204498725462
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2022,17.46006708483953
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2023,20.742390820949165
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2024,18.07021169571984
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2025,31.66415649650308
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2026,23.462747214394
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2027,36.64550884390117
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2028,34.225420094257025
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2029,32.819704896449906
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2030,29.540783476044147
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2031,47.704229021056285
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2032,42.02473134338692
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2033,14.2757652257888
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2034,11.14464647267396
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2035,19.120989691294582
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2036,11.910129273682385
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2037,12.465482136901525
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2038,25.076315928172622
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2039,6.195340013958123
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2040,17.15192174487506
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2041,21.69835930554434
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2042,6.801828988762763
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2043,4.434221127468953
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2044,13.66183622148112
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2045,18.67840212419353
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2046,26.65784953946692
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2047,59.635929550622585
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2048,8.054794359255729
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2049,41.63716544990661
GLOBAL,S1D1,PWRHYDKENXX01,ELCKENXX01,2050,27.11341733324801
GLOBAL,S1D1,PWRHYDTZAXX01,ELCTZAXX01,2021,48.70744536862398
GLOBAL,S1D1,PWRHYDTZAXX01,ELCTZAXX01,2022,52.677034221841645
GLOBAL,S1D1,PWRHYDTZAXX01,ELCTZAXX01,2023,56.645620466525
GLOBAL,S1D1,PWRHYDTZAXX01,ELCTZAXX01,2024,55.73540410236421
GLOBAL,S1D1,PWRHYDTZAXX01,ELCTZAXX01,2025,53.47149335008183
GLOBAL,S1D1,PWRHYDTZAXX01,ELCTZAXX01,2026,50.07384572058879
GLOBAL,S1D1,PWRHYDTZAXX01,ELCTZAXX01,2027,58.08089801720857
GLOBAL,S1D1,PWRHYDTZAXX01,ELCTZAXX01,2028,53.78302891973669
GLOBAL,S1D1,PWRHYDTZAXX01,ELCTZAXX01,2029,62.6934610806901
GLOBAL,S1D1,PWRHYDTZAXX01,ELCTZAXX01,2030,76.2356921142727
GLOBAL,S1D1,PWRHYDTZAXX01,ELCTZAXX01,2031,86.02564393070546
GLOBAL,S1D1,PWRHYDTZAXX01,ELCTZAXX01,2032,108.1715324520426
GLOBAL,S1D1,PWRHYDTZAXX01,ELCTZAXX01,2033,123.1145522879042
GLOBAL,S1D1,PWRHYDTZAXX01,ELCTZAXX01,2034,131.55739949560015
GLOBAL,S1D1,PWRHYDTZAXX01,ELCTZAXX01,2035,134.1306592071061
GLOBAL,S1D1,PWRHYDTZAXX01,ELCTZAXX01,2036,133.6478698337316
GLOBAL,S1D1,PWRHYDTZAXX01,ELCTZAXX01,2037,140.39156242584187
GLOBAL,S1D1,PWRHYDTZAXX01,ELCTZAXX01,2038,147.13705113483144
GLOBAL,S1D1,PWRHYDTZAXX01,ELCTZAXX01,2039,148.9898402267061
GLOBAL,S1D1,PWRHYDTZAXX01,ELCTZAXX01,2040,205.84229645319107
GLOBAL,S1D1,PWRHYDTZAXX01,ELCTZAXX01,2041,219.03438055894927
