REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
GLOBAL,S1D1,PWRBIOKENXX01,1,ELCKENXX01,2023,2.8382400000000003
GLOBAL,S1D1,PWRBIOTZAXX01,1,ELCTZAXX01,2023,3.5291388875708534
GLOBAL,S1D1,PWRBIOTZAXX01,1,ELCTZAXX01,2028,2.017116728210517
GLOBAL,S1D1,PWRBIOTZAXX01,1,ELCTZAXX01,2029,5.707954909154177
GLOBAL,S1D1,PWRBIOTZAXX01,1,ELCTZAXX01,2032,11.028642596434638
GLOBAL,S1D1,PWRBIOTZAXX01,1,ELCTZAXX01,2033,12.268120978130067
GLOBAL,S1D1,PWRBIOTZAXX01,1,ELCTZAXX01,2034,13.507599359826358
GLOBAL,S1D1,PWRBIOTZAXX01,1,ELCTZAXX01,2035,14.747077741521965
GLOBAL,S1D1,PWRBIOTZAXX01,1,ELCTZAXX01,2037,17.226034504914242
GLOBAL,S1D1,PWRBIOTZAXX01,1,ELCTZAXX01,2038,18.46551288661007
GLOBAL,S1D1,PWRBIOTZAXX01,1,ELCTZAXX01,2039,19.70499126830576
GLOBAL,S1D1,PWRBIOTZAXX01,1,ELCTZAXX01,2040,20.94446965000138
GLOBAL,S1D1,PWRBIOTZAXX01,1,ELCTZAXX01,2041,22.74322486246237
GLOBAL,S1D1,PWRBIOTZAXX01,1,ELCTZAXX01,2042,24.541980074923433
GLOBAL,S1D1,PWRBIOTZAXX01,1,ELCTZAXX01,2043,26.340735287384373
GLOBAL,S1D1,PWRBIOTZAXX01,1,ELCTZAXX01,2044,28.139490499845415
GLOBAL,S1D1,PWRBIOTZAXX01,1,ELCTZAXX01,2045,29.93824571230748
GLOBAL,S1D1,PWRBIOTZAXX01,1,ELCTZAXX01,2046,31.737000924767813
GLOBAL,S1D1,PWRBIOTZAXX01,1,ELCTZAXX01,2047,33.53575613722949
GLOBAL,S1D1,PWRBIOTZAXX01,1,ELCTZAXX01,2048,35.334511349690786
