REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2023,8.9688384
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2027,8.9688384
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2021,17.52510606131839
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2022,17.37166683286854
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2023,14.382489958072805
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2024,10.113313606428507
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2025,5.131787216972253
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2026,23.778144
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2027,23.778144
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2028,23.778144
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2029,4.782523471233967
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2030,23.778144
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2031,3.511226719161587
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2032,3.6840876430575262
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2033,2.0849266773722728
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2034,13.213584
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2035,13.213584
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2036,1.158599837956218
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2037,13.213584000000004
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2038,13.213584
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2039,1.15859983795622
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2040,13.213584
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2041,1.15859983795622
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2042,1.15859983795622
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2043,1.15859983795622
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2044,13.213584
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2045,8.798544
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2021,14.165204498725462
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2022,17.460067084839544
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2023,20.742390820949144
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2024,20.223811925268375
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2025,31.664156496503047
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2026,19.714751373788
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2027,21.823992097449445
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2028,34.22542009425702
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2029,52.263790625542725
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2030,36.18140387540254
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2031,45.93189740016741
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2032,42.02473134338716
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2033,35.96898254841627
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2034,11.144646472673928
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2035,10.185588841115102
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2036,21.838201067450377
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2037,12.465482136901564
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2038,13.021331766128814
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2039,18.25032417600201
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2040,5.096937582831411
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2041,9.667589038379598
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2042,6.801828988762496
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2043,6.682994296873915
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2044,16.49101547871669
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2045,4.434221127468879
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2046,26.657849539467207
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2047,4.434221127468936
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2048,8.05479435925581
