REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S1D3,0.9029172449821687
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S2D3,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S2D1,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S2D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S3D1,3.270024895062429
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S3D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S1D3,4.3002961489051135
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S2D3,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S2D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S3D3,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S3D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2023,S1D3,4.4475945897810245
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2023,S1D1,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2023,S2D3,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2023,S2D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2023,S3D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2024,S2D3,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2024,S2D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2024,S3D3,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2024,S3D1,4.230812010053865
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2024,S3D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2025,S1D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2025,S2D3,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2025,S2D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2025,S3D3,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2025,S3D2,4.375730404308801
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2026,S1D2,4.3002961489051135
