REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOKENXX01,2027,22.480415972700783
GLOBAL,PWRBIOKENXX01,2032,17.79898122426931
GLOBAL,PWRBIOTZAXX01,2032,105.49057692008626
GLOBAL,PWRCCGTZAXX01,2042,11.134044051144947
GLOBAL,PWRCCGTZAXX01,2043,39.0832832590328
GLOBAL,PWRCCGTZAXX01,2044,39.61819201763726
GLOBAL,PWRCCGTZAXX01,2045,40.03325356394501
GLOBAL,PWRCCGTZAXX01,2046,50.20301733297281
GLOBAL,PWRCCGTZAXX01,2047,50.6670790642408
GLOBAL,PWRCCGTZAXX01,2048,51.08895336540069
GLOBAL,PWRCCGTZAXX01,2049,51.43339233248657
GLOBAL,PWRCCGTZAXX01,2050,51.82113190459466
GLOBAL,PWRGEOKENXX01,2022,13.951648809662109
GLOBAL,PWRGEOKENXX01,2024,42.64235798081564
GLOBAL,PWRGEOKENXX01,2025,48.864017827726016
GLOBAL,PWRGEOKENXX01,2026,174.42180881165018
GLOBAL,PWRGEOKENXX01,2027,187.71329376729213
GLOBAL,PWRGEOKENXX01,2028,224.00585099836437
GLOBAL,PWRGEOKENXX01,2029,245.04311299841368
GLOBAL,PWRGEOKENXX01,2030,263.9015518334802
GLOBAL,PWRGEOKENXX01,2031,322.70963388077683
GLOBAL,PWRGEOKENXX01,2032,407.1171299268211
GLOBAL,PWRGEOKENXX01,2033,357.9710021256628
GLOBAL,PWRGEOKENXX01,2034,370.9134675684997
GLOBAL,PWRGEOKENXX01,2035,382.9213003203146
GLOBAL,PWRGEOKENXX01,2036,456.692497250978
GLOBAL,PWRGEOKENXX01,2037,466.9129835383866
GLOBAL,PWRGEOKENXX01,2038,477.86993244108726
GLOBAL,PWRGEOKENXX01,2039,485.9949996556664
GLOBAL,PWRGEOKENXX01,2040,494.7911818585214
GLOBAL,PWRGEOKENXX01,2041,625.0464984735605
GLOBAL,PWRGEOKENXX01,2042,634.0668147741583
GLOBAL,PWRGEOKENXX01,2043,643.9865500358368
GLOBAL,PWRGEOKENXX01,2044,652.1857065563098
GLOBAL,PWRGEOKENXX01,2045,859.7731237358246
GLOBAL,PWRGEOKENXX01,2046,835.6190531920597
GLOBAL,PWRGEOKENXX01,2047,844.2972749179495
GLOBAL,PWRGEOKENXX01,2048,1022.500902877386
GLOBAL,PWRGEOKENXX01,2049,856.7489265008984
GLOBAL,PWRGEOKENXX01,2050,862.5522424330208
GLOBAL,PWRGEOTZAXX01,2022,28.741368300866455
GLOBAL,PWRGEOTZAXX01,2023,68.1694498977325
GLOBAL,PWRGEOTZAXX01,2024,749.6614788035535
GLOBAL,PWRGEOTZAXX01,2025,164.3557115449183
GLOBAL,PWRGEOTZAXX01,2026,249.68258033037912
GLOBAL,PWRGEOTZAXX01,2027,286.40303534021234
GLOBAL,PWRGEOTZAXX01,2028,320.66150022999983
GLOBAL,PWRGEOTZAXX01,2029,351.3883053813494
GLOBAL,PWRGEOTZAXX01,2030,379.3217646098505
