REGION,YEAR,VALUE
GLOBAL,2021,6988.514943126591
GLOBAL,2022,1501.646734835064
GLOBAL,2023,1366.7337550772215
GLOBAL,2024,1494.496281534378
GLOBAL,2025,1245.33319760205
GLOBAL,2026,1301.5951874297189
GLOBAL,2027,1285.0510091916321
GLOBAL,2028,1109.9725846566596
GLOBAL,2029,1024.2984461103206
GLOBAL,2030,956.6563548387181
GLOBAL,2031,971.3396760555041
GLOBAL,2032,995.0529645088591
GLOBAL,2033,828.9021422853062
GLOBAL,2034,1097.176548922891
GLOBAL,2035,714.3389189652901
GLOBAL,2036,711.4148751372669
GLOBAL,2037,661.3678709990376
GLOBAL,2038,606.028856115282
GLOBAL,2039,545.0890402232351
GLOBAL,2040,499.45425222392254
GLOBAL,2041,514.4725629245415
GLOBAL,2042,472.3746692128431
GLOBAL,2043,431.42904601683153
GLOBAL,2044,379.9305550108715
GLOBAL,2045,370.8576230222047
GLOBAL,2046,380.12808366443187
GLOBAL,2047,317.8572188050662
GLOBAL,2048,292.37203887025873
GLOBAL,2049,261.1277495912353
GLOBAL,2050,234.35573755348435
