REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2024,0.49149234432000005
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2025,0.49149234432000005
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2026,0.49149234432000005
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2027,0.49149234432000005
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2028,0.49149234432000005
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2029,0.49149234432000005
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2030,0.49149234432000005
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2031,0.49149234432000005
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2021,0.3715656438904546
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2030,1.014575996284248
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2034,0.8903221955488088
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2046,0.4653525304743185
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2047,0.4653776548703715
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2021,1.5857303679002355
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2022,1.6800965245722357
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2023,1.5972756431334956
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2024,1.6030685838068486
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2025,1.6745685838068485
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2026,1.8875685838068486
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2027,2.100568583806848
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2028,2.3135685838068487
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2029,2.5270685838068485
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2030,2.7400685838068486
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2031,2.8984940392180483
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2032,3.386104135806848
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2033,3.631604135806849
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2034,3.7905295912180477
