REGION,TECHNOLOGY,VALUE
GLOBAL,PWRCCGTZAXX01,30.0
GLOBAL,PWRCSPKENXX01,30.0
GLOBAL,PWRGEOKENXX01,30.0
GLOBAL,PWRCSPTZAXX01,30.0
GLOBAL,PWRCCGTZAXX00,30.0
GLOBAL,PWRWONTZAXX01,30.0
GLOBAL,PWROCGKENXX01,30.0
GLOBAL,PWROILTZAXX01,30.0
GLOBAL,PWROTHTZAXX01,30.0
GLOBAL,PWRURNTZAXX01,60.0
GLOBAL,PWROILKENXX01,30.0
GLOBAL,PWRWONKENXX01,30.0
GLOBAL,PWRSPVKENXX01,30.0
GLOBAL,PWRCCSKENXX01,30.0
GLOBAL,PWRCOGTZAXX01,30.0
GLOBAL,PWRPETKENXX01,30.0
GLOBAL,PWRCOAKENXX01,30.0
GLOBAL,PWROCGTZAXX00,30.0
GLOBAL,PWRWAVKENXX01,20.0
GLOBAL,PWROCGTZAXX01,30.0
GLOBAL,PWRBIOTZAXX01,30.0
GLOBAL,PWRWASTZAXX01,30.0
GLOBAL,PWRCCGKENXX01,30.0
GLOBAL,PWRCOATZAXX01,30.0
GLOBAL,PWRHYDTZAXX01,100.0
GLOBAL,PWRWOFTZAXX01,30.0
GLOBAL,PWRURNKENXX01,60.0
GLOBAL,PWROTHKENXX01,30.0
GLOBAL,PWRCCSTZAXX01,30.0
GLOBAL,PWRCOGKENXX01,30.0
GLOBAL,PWRWAVTZAXX01,20.0
GLOBAL,PWRBIOKENXX01,30.0
GLOBAL,PWRPETTZAXX01,30.0
GLOBAL,PWROCGKENXX00,30.0
GLOBAL,PWRWOFKENXX01,30.0
GLOBAL,PWRHYDKENXX01,100.0
GLOBAL,PWRGEOTZAXX01,30.0
GLOBAL,PWRCCGKENXX00,30.0
GLOBAL,PWRSPVTZAXX01,30.0
GLOBAL,PWRWASKENXX01,30.0
GLOBAL,TRNKENXXTZAXX,60.0
GLOBAL,TRNTZAXXKENXX,60.0
GLOBAL,PWRSDSKENXX01,30.0
GLOBAL,PWRSDSTZAXX01,30.0
GLOBAL,PWRLDSKENXX01,60.0
GLOBAL,PWRLDSTZAXX01,60.0
