REGION,STORAGE,YEAR,VALUE
GLOBAL,SDSKENXX01,2021.0,1e-05
GLOBAL,SDSTZAXX01,2021.0,0.0
GLOBAL,SDSKENXX01,2046.0,1e-05
GLOBAL,SDSKENXX01,2047.0,0.0
GLOBAL,SDSTZAXX01,2047.0,0.0
GLOBAL,SDSKENXX01,2022.0,1e-05
GLOBAL,SDSKENXX01,2023.0,1e-05
GLOBAL,SDSKENXX01,2024.0,1e-05
GLOBAL,SDSKENXX01,2025.0,1e-05
GLOBAL,SDSKENXX01,2026.0,1e-05
GLOBAL,SDSKENXX01,2027.0,1e-05
GLOBAL,SDSKENXX01,2028.0,1e-05
GLOBAL,SDSKENXX01,2029.0,1e-05
GLOBAL,SDSKENXX01,2030.0,1e-05
GLOBAL,SDSKENXX01,2031.0,1e-05
GLOBAL,SDSKENXX01,2032.0,1e-05
GLOBAL,SDSKENXX01,2033.0,1e-05
GLOBAL,SDSKENXX01,2034.0,1e-05
GLOBAL,SDSKENXX01,2035.0,1e-05
GLOBAL,SDSKENXX01,2036.0,1e-05
GLOBAL,SDSKENXX01,2037.0,1e-05
GLOBAL,SDSKENXX01,2038.0,1e-05
GLOBAL,SDSKENXX01,2039.0,1e-05
GLOBAL,SDSKENXX01,2040.0,1e-05
GLOBAL,SDSKENXX01,2041.0,1e-05
GLOBAL,SDSKENXX01,2042.0,1e-05
GLOBAL,SDSKENXX01,2043.0,1e-05
GLOBAL,SDSKENXX01,2044.0,1e-05
GLOBAL,SDSKENXX01,2045.0,1e-05
GLOBAL,SDSKENXX01,2048.0,0.0
GLOBAL,SDSKENXX01,2049.0,0.0
GLOBAL,SDSKENXX01,2050.0,0.0
GLOBAL,SDSTZAXX01,2022.0,0.0
GLOBAL,SDSTZAXX01,2023.0,0.0
GLOBAL,SDSTZAXX01,2024.0,0.0
GLOBAL,SDSTZAXX01,2025.0,0.0
GLOBAL,SDSTZAXX01,2026.0,0.0
GLOBAL,SDSTZAXX01,2027.0,0.0
GLOBAL,SDSTZAXX01,2028.0,0.0
GLOBAL,SDSTZAXX01,2029.0,0.0
GLOBAL,SDSTZAXX01,2030.0,0.0
GLOBAL,SDSTZAXX01,2031.0,0.0
GLOBAL,SDSTZAXX01,2032.0,0.0
GLOBAL,SDSTZAXX01,2033.0,0.0
GLOBAL,SDSTZAXX01,2034.0,0.0
GLOBAL,SDSTZAXX01,2035.0,0.0
GLOBAL,SDSTZAXX01,2036.0,0.0
GLOBAL,SDSTZAXX01,2037.0,0.0
GLOBAL,SDSTZAXX01,2038.0,0.0
GLOBAL,SDSTZAXX01,2039.0,0.0
GLOBAL,SDSTZAXX01,2040.0,0.0
GLOBAL,SDSTZAXX01,2041.0,0.0
GLOBAL,SDSTZAXX01,2042.0,0.0
GLOBAL,SDSTZAXX01,2043.0,0.0
GLOBAL,SDSTZAXX01,2044.0,0.0
GLOBAL,SDSTZAXX01,2045.0,0.0
GLOBAL,SDSTZAXX01,2046.0,0.0
GLOBAL,SDSTZAXX01,2048.0,0.0
GLOBAL,SDSTZAXX01,2049.0,0.0
GLOBAL,SDSTZAXX01,2050.0,0.0
