YEAR,NODE_1,NODE_2,VALUE
2021,KENXX,TZAXX,0.32
2022,KENXX,TZAXX,0.32
2023,KENXX,TZAXX,4.24
2024,KENXX,TZAXX,5.64
2025,KENXX,TZAXX,3.56
2026,KENXX,TZAXX,4.24
2027,KENXX,TZAXX,4.56
2028,KENXX,TZAXX,5.24
2029,KENXX,TZAXX,5.5600000000000005
2030,KENXX,TZAXX,6.239999999999999
2031,KENXX,TZAXX,6.72
2032,KENXX,TZAXX,7.56
2033,KENXX,TZAXX,8.04
2034,KENXX,TZAXX,8.56
2035,KENXX,TZAXX,8.88
2036,KENXX,TZAXX,9.719999999999999
2037,KENXX,TZAXX,10.4
2038,KENXX,TZAXX,11.040000000000001
2039,KENXX,TZAXX,11.719999999999999
2040,KENXX,TZAXX,12.56
2041,KENXX,TZAXX,13.4
2042,KENXX,TZAXX,14.04
2043,KENXX,TZAXX,14.879999999999999
2044,KENXX,TZAXX,15.72
2045,KENXX,TZAXX,16.72
2046,KENXX,TZAXX,17.72
2047,KENXX,TZAXX,18.720000000000002
2048,KENXX,TZAXX,20.2
2049,KENXX,TZAXX,21.2
2050,KENXX,TZAXX,22.200000000000003
