REGION,YEAR,CLEAN,RENEWABLE,FOSSIL
GLOBAL,2021,98.8,98.8,1.2
GLOBAL,2022,98.8,98.8,1.2
GLOBAL,2023,98.6,98.6,1.4
GLOBAL,2024,98.9,98.9,1.1
GLOBAL,2025,99.0,99.0,1.0
GLOBAL,2026,99.0,99.0,1.0
GLOBAL,2027,99.0,99.0,1.0
GLOBAL,2028,99.0,99.0,1.0
GLOBAL,2029,99.0,99.0,1.0
GLOBAL,2030,99.0,99.0,1.0
GLOBAL,2031,99.0,99.0,1.0
GLOBAL,2032,98.9,98.9,1.1
GLOBAL,2033,98.9,98.9,1.1
GLOBAL,2034,98.9,98.9,1.1
GLOBAL,2035,98.9,98.9,1.1
GLOBAL,2036,98.9,98.9,1.1
GLOBAL,2037,98.9,98.9,1.1
GLOBAL,2038,98.9,98.9,1.1
GLOBAL,2039,98.9,98.9,1.1
GLOBAL,2040,98.9,98.9,1.1
GLOBAL,2041,98.9,98.9,1.1
GLOBAL,2042,98.9,98.9,1.1
GLOBAL,2043,98.9,98.9,1.1
GLOBAL,2044,98.9,98.9,1.1
GLOBAL,2045,99.0,99.0,1.0
GLOBAL,2046,99.0,99.0,1.0
GLOBAL,2047,99.0,99.0,1.0
GLOBAL,2048,99.0,99.0,1.0
GLOBAL,2049,99.0,99.0,1.0
GLOBAL,2050,99.0,99.0,1.0
