REGION,NODE,YEAR,CLEAN,RENEWABLE,FOSSIL
GLOBAL,KENXX,2021,99.6,99.6,0.4
GLOBAL,KENXX,2022,99.5,99.5,0.5
GLOBAL,KENXX,2023,99.7,99.7,0.3
GLOBAL,KENXX,2024,100.0,100.0,0.0
GLOBAL,KENXX,2025,100.0,100.0,0.0
GLOBAL,KENXX,2026,100.0,100.0,0.0
GLOBAL,KENXX,2027,100.0,100.0,0.0
GLOBAL,KENXX,2028,100.0,100.0,0.0
GLOBAL,KENXX,2029,100.0,100.0,0.0
GLOBAL,KENXX,2030,100.0,100.0,0.0
GLOBAL,KENXX,2031,100.0,100.0,0.0
GLOBAL,KENXX,2032,100.0,100.0,0.0
GLOBAL,KENXX,2033,100.0,100.0,0.0
GLOBAL,KENXX,2034,100.0,100.0,0.0
GLOBAL,KENXX,2035,100.0,100.0,0.0
GLOBAL,KENXX,2036,100.0,100.0,0.0
GLOBAL,KENXX,2037,100.0,100.0,0.0
GLOBAL,KENXX,2038,100.0,100.0,0.0
GLOBAL,KENXX,2039,100.0,100.0,0.0
GLOBAL,KENXX,2040,100.0,100.0,0.0
GLOBAL,KENXX,2041,100.0,100.0,0.0
GLOBAL,KENXX,2042,100.0,100.0,0.0
GLOBAL,KENXX,2043,100.0,100.0,0.0
GLOBAL,KENXX,2044,100.0,100.0,0.0
GLOBAL,KENXX,2045,100.0,100.0,0.0
GLOBAL,KENXX,2046,100.0,100.0,0.0
GLOBAL,KENXX,2047,100.0,100.0,0.0
GLOBAL,KENXX,2048,100.0,100.0,0.0
GLOBAL,KENXX,2049,100.0,100.0,0.0
GLOBAL,KENXX,2050,100.0,100.0,0.0
GLOBAL,TZAXX,2021,97.7,97.7,2.3
GLOBAL,TZAXX,2022,97.9,97.9,2.1
GLOBAL,TZAXX,2023,97.3,97.3,2.7
GLOBAL,TZAXX,2024,98.1,98.1,1.9
GLOBAL,TZAXX,2025,98.2,98.2,1.8
GLOBAL,TZAXX,2026,98.2,98.2,1.8
GLOBAL,TZAXX,2027,98.2,98.2,1.8
GLOBAL,TZAXX,2028,98.3,98.3,1.7
GLOBAL,TZAXX,2029,98.3,98.3,1.7
GLOBAL,TZAXX,2030,98.3,98.3,1.7
GLOBAL,TZAXX,2031,98.3,98.3,1.7
GLOBAL,TZAXX,2032,98.1,98.1,1.9
GLOBAL,TZAXX,2033,98.1,98.1,1.9
GLOBAL,TZAXX,2034,98.1,98.1,1.9
GLOBAL,TZAXX,2035,98.1,98.1,1.9
GLOBAL,TZAXX,2036,98.2,98.2,1.8
GLOBAL,TZAXX,2037,98.2,98.2,1.8
GLOBAL,TZAXX,2038,98.2,98.2,1.8
GLOBAL,TZAXX,2039,98.2,98.2,1.8
GLOBAL,TZAXX,2040,98.2,98.2,1.8
GLOBAL,TZAXX,2041,98.2,98.2,1.8
GLOBAL,TZAXX,2042,98.2,98.2,1.8
GLOBAL,TZAXX,2043,98.2,98.2,1.8
GLOBAL,TZAXX,2044,98.2,98.2,1.8
GLOBAL,TZAXX,2045,98.2,98.2,1.8
GLOBAL,TZAXX,2046,98.3,98.3,1.7
GLOBAL,TZAXX,2047,98.3,98.3,1.7
GLOBAL,TZAXX,2048,98.3,98.3,1.7
GLOBAL,TZAXX,2049,98.3,98.3,1.7
GLOBAL,TZAXX,2050,98.3,98.3,1.7
