TECH,NODE,YEAR,VALUE
BIO,KENXX,2021,0.09
BIO,KENXX,2022,0.09
BIO,KENXX,2023,0.09
BIO,KENXX,2024,0.2585320578443538
BIO,KENXX,2025,0.295452382949537
BIO,KENXX,2026,0.3328148376888855
BIO,KENXX,2027,0.3701772924282351
BIO,KENXX,2028,0.4075397471675836
BIO,KENXX,2029,0.4449899071997487
BIO,KENXX,2030,0.4823523619390963
BIO,KENXX,2031,0.5253279554186308
BIO,KENXX,2032,0.5653146504713393
BIO,KENXX,2033,0.609266688845356
BIO,KENXX,2034,0.6532175516378915
BIO,KENXX,2035,0.697081884719096
BIO,KENXX,2036,0.7473100515343438
BIO,KENXX,2037,0.7970389525606604
BIO,KENXX,2038,0.8468555588797928
BIO,KENXX,2039,0.896584459906109
BIO,KENXX,2040,0.9464010662252436
BIO,KENXX,2041,1.0082332976600776
BIO,KENXX,2042,1.0699778238021025
BIO,KENXX,2043,1.1318100552369383
BIO,KENXX,2044,1.1936422866717775
BIO,KENXX,2045,1.2540410535444555
BIO,KENXX,2046,1.3315725323932457
BIO,KENXX,2047,1.41043122319973
BIO,KENXX,2048,1.508742721569618
BIO,KENXX,2049,1.5862742004184085
BIO,KENXX,2050,1.6638056792672005
BIO,TZAXX,2021,0.1460772038541109
BIO,TZAXX,2022,0.1706316647501548
BIO,TZAXX,2023,0.1758762855274893
BIO,TZAXX,2024,0.1758762855274893
BIO,TZAXX,2025,0.1758762855274893
BIO,TZAXX,2026,0.1758762855274893
BIO,TZAXX,2027,0.1758762855274893
BIO,TZAXX,2028,0.1758762855274893
BIO,TZAXX,2029,0.1758762855274893
BIO,TZAXX,2030,0.1758762855274893
BIO,TZAXX,2031,0.1758762855274893
BIO,TZAXX,2032,0.1058762855274892
BIO,TZAXX,2033,0.1058762855274892
BIO,TZAXX,2034,0.1058762855274892
BIO,TZAXX,2035,0.1058762855274892
BIO,TZAXX,2036,0.1058762855274892
BIO,TZAXX,2037,0.1058762855274892
BIO,TZAXX,2038,0.1058762855274892
BIO,TZAXX,2039,0.1058762855274892
BIO,TZAXX,2040,0.1058762855274892
BIO,TZAXX,2041,0.1058762855274892
BIO,TZAXX,2042,0.1058762855274892
BIO,TZAXX,2043,0.1058762855274892
BIO,TZAXX,2044,0.1058762855274892
BIO,TZAXX,2045,0.1058762855274892
BIO,TZAXX,2046,0.1058762855274892
BIO,TZAXX,2047,0.1058762855274892
BIO,TZAXX,2048,0.1058762855274892
BIO,TZAXX,2049,0.1058762855274892
BIO,TZAXX,2050,0.1058762855274892
CCG,TZAXX,2021,0.208
CCG,TZAXX,2022,0.208
CCG,TZAXX,2023,0.22569246963533518
CCG,TZAXX,2024,0.3177384726329094
CCG,TZAXX,2025,0.2439569829854026
CCG,TZAXX,2026,0.2524707654743162
CCG,TZAXX,2027,0.2609315383604718
CCG,TZAXX,2028,0.2694453208493865
CCG,TZAXX,2029,0.2779013164386897
CCG,TZAXX,2030,0.2864150989276025
CCG,TZAXX,2031,0.298121768199837
CCG,TZAXX,2032,0.3496714691853976
CCG,TZAXX,2033,0.3609056560438422
CCG,TZAXX,2034,0.3720874519570924
CCG,TZAXX,2035,0.3833794257151461
CCG,TZAXX,2036,0.3979425035679921
CCG,TZAXX,2037,0.4127269451616908
CCG,TZAXX,2038,0.4275066094585355
CCG,TZAXX,2039,0.4423440606549912
CCG,TZAXX,2040,0.4571237249518329
CCG,TZAXX,2041,0.4726271492513832
CCG,TZAXX,2042,0.4881883604505388
CCG,TZAXX,2043,0.5036917847500934
CCG,TZAXX,2044,0.5192482186523942
CCG,TZAXX,2045,0.5338602944519406
CCG,TZAXX,2046,0.5525903220269428
CCG,TZAXX,2047,0.5700379473173377
CCG,TZAXX,2048,0.5700379473173377
CCG,TZAXX,2049,0.588714965289516
CCG,TZAXX,2050,0.6074449928645764
GEO,KENXX,2021,1.0719809557387063
GEO,KENXX,2022,1.1318860702756302
GEO,KENXX,2023,1.1318860702756302
GEO,KENXX,2024,1.1318860702756302
GEO,KENXX,2025,1.1519522833674818
GEO,KENXX,2026,1.28435392143888
GEO,KENXX,2027,1.4167555595102772
GEO,KENXX,2028,1.5491571975816751
GEO,KENXX,2029,1.6818696376203763
GEO,KENXX,2030,1.814271275691776
