YEAR,VALUE
2021,151.9745008094423
2022,30.490097535101125
2023,23.072063312024323
2024,98.83382125684338
2025,24.50227738909013
2026,25.11852208310506
2027,23.43487616745709
2028,18.265281322065093
2029,15.680412434652435
2030,13.867161977618647
2031,12.90267054355547
2032,12.878207135910863
2033,9.42014029857874
2034,8.0710882892877
2035,6.928664317946351
2036,6.564456229444519
2037,5.594321109466474
2038,4.779455548902984
2039,4.0788136399543236
2040,3.529076302398695
2041,3.3030096782188356
2042,2.8230799178084163
2043,2.408822636351279
2044,1.998005137842064
2045,1.7054416975282016
2046,1.539865970949347
2047,1.260367712143157
2048,1.0427655433156509
2049,0.8126085222075827
2050,0.638361958926412
