REGION,COUNTRY,YEAR,VALUE
GLOBAL,KEN,2021,748.9844949597608
GLOBAL,KEN,2022,288.1021828098561
GLOBAL,KEN,2023,119.86737918819937
GLOBAL,KEN,2024,632.0980486838165
GLOBAL,KEN,2025,208.7937231930587
GLOBAL,KEN,2026,390.7802254145461
GLOBAL,KEN,2027,355.2596766184953
GLOBAL,KEN,2028,325.689500346948
GLOBAL,KEN,2029,298.8098214963657
GLOBAL,KEN,2030,272.0074288006934
GLOBAL,KEN,2031,272.39195569228
GLOBAL,KEN,2032,306.8716117915912
GLOBAL,KEN,2033,224.76793843823899
GLOBAL,KEN,2034,203.90869810619338
GLOBAL,KEN,2035,184.44984650929916
GLOBAL,KEN,2036,183.30692019143265
GLOBAL,KEN,2037,165.27586432208054
GLOBAL,KEN,2038,148.96605803940318
GLOBAL,KEN,2039,133.6464294535724
GLOBAL,KEN,2040,119.52444776238531
GLOBAL,KEN,2041,121.63309413223392
GLOBAL,KEN,2042,108.315197997259
GLOBAL,KEN,2043,96.1674825619496
GLOBAL,KEN,2044,85.0864837998256
GLOBAL,KEN,2045,78.38639598975061
GLOBAL,KEN,2046,72.37261553600551
GLOBAL,KEN,2047,62.36567439345317
GLOBAL,KEN,2048,56.28595870205091
GLOBAL,KEN,2049,43.87163716385802
GLOBAL,KEN,2050,35.99388837179086
GLOBAL,TZA,2021,2543.7963559114887
GLOBAL,TZA,2022,414.86395480497544
GLOBAL,TZA,2023,437.70748418572185
GLOBAL,TZA,2024,2579.4520653788327
GLOBAL,TZA,2025,630.6134630281874
GLOBAL,TZA,2026,543.0706066973374
GLOBAL,TZA,2027,584.3486639400483
GLOBAL,TZA,2028,459.97128096465735
GLOBAL,TZA,2029,421.4873463698769
GLOBAL,TZA,2030,405.4804735947421
GLOBAL,TZA,2031,402.59691749322025
GLOBAL,TZA,2032,411.44616401143696
GLOBAL,TZA,2033,333.2968730833966
GLOBAL,TZA,2034,302.1709573218378
GLOBAL,TZA,2035,273.9775295717123
GLOBAL,TZA,2036,277.7549569238581
GLOBAL,TZA,2037,250.3977338921381
GLOBAL,TZA,2038,225.62377060586815
GLOBAL,TZA,2039,202.62909508488406
GLOBAL,TZA,2040,185.7994703334751
GLOBAL,TZA,2041,180.33539067203915
GLOBAL,TZA,2042,163.61797508563666
GLOBAL,TZA,2043,147.67897115068834
GLOBAL,TZA,2044,126.97956152502238
GLOBAL,TZA,2045,110.9934298446588
GLOBAL,TZA,2046,108.03551517713507
GLOBAL,TZA,2047,93.00615532099448
GLOBAL,TZA,2048,78.6363163191797
GLOBAL,TZA,2049,66.23681759526944
GLOBAL,TZA,2050,54.407031150507486
