YEAR,VALUE
2021,3292.7808508712496
2022,702.9661376148315
2023,557.5748633739212
2024,3211.5501140626493
2025,839.4071862212461
2026,933.8508321118836
2027,939.6083405585435
2028,785.6607813116054
2029,720.2971678662426
2030,677.4879023954354
2031,674.9888731855003
2032,718.3177758030281
2033,558.0648115216355
2034,506.0796554280312
2035,458.42737608101146
2036,461.06187711529077
2037,415.6735982142186
2038,374.5898286452713
2039,336.27552453845647
2040,305.32391809586045
2041,301.9684848042731
2042,271.9331730828957
2043,243.84645371263792
2044,212.06604532484798
2045,189.37982583440942
2046,180.40813071314057
2047,155.37182971444764
2048,134.9222750212306
2049,110.10845475912745
2050,90.40091952229835
