REGION,NODE,YEAR,VALUE
GLOBAL,KENXX,2021,748.9844949597608
GLOBAL,KENXX,2022,288.1021828098561
GLOBAL,KENXX,2023,119.86737918819937
GLOBAL,KENXX,2024,632.0980486838165
GLOBAL,KENXX,2025,208.7937231930587
GLOBAL,KENXX,2026,390.7802254145461
GLOBAL,KENXX,2027,355.2596766184953
GLOBAL,KENXX,2028,325.689500346948
GLOBAL,KENXX,2029,298.8098214963657
GLOBAL,KENXX,2030,272.0074288006934
GLOBAL,KENXX,2031,272.39195569228
GLOBAL,KENXX,2032,306.8716117915912
GLOBAL,KENXX,2033,224.76793843823899
GLOBAL,KENXX,2034,203.90869810619338
GLOBAL,KENXX,2035,184.44984650929916
GLOBAL,KENXX,2036,183.30692019143265
GLOBAL,KENXX,2037,165.27586432208054
GLOBAL,KENXX,2038,148.96605803940318
GLOBAL,KENXX,2039,133.6464294535724
GLOBAL,KENXX,2040,119.52444776238531
GLOBAL,KENXX,2041,121.63309413223392
GLOBAL,KENXX,2042,108.315197997259
GLOBAL,KENXX,2043,96.1674825619496
GLOBAL,KENXX,2044,85.0864837998256
GLOBAL,KENXX,2045,78.38639598975061
GLOBAL,KENXX,2046,72.37261553600551
GLOBAL,KENXX,2047,62.36567439345317
GLOBAL,KENXX,2048,56.28595870205091
GLOBAL,KENXX,2049,43.87163716385802
GLOBAL,KENXX,2050,35.99388837179086
GLOBAL,TZAXX,2021,2543.7963559114887
GLOBAL,TZAXX,2022,414.86395480497544
GLOBAL,TZAXX,2023,437.70748418572185
GLOBAL,TZAXX,2024,2579.4520653788327
GLOBAL,TZAXX,2025,630.6134630281874
GLOBAL,TZAXX,2026,543.0706066973374
GLOBAL,TZAXX,2027,584.3486639400483
GLOBAL,TZAXX,2028,459.97128096465735
GLOBAL,TZAXX,2029,421.4873463698769
GLOBAL,TZAXX,2030,405.4804735947421
GLOBAL,TZAXX,2031,402.59691749322025
GLOBAL,TZAXX,2032,411.44616401143696
GLOBAL,TZAXX,2033,333.2968730833966
GLOBAL,TZAXX,2034,302.1709573218378
GLOBAL,TZAXX,2035,273.9775295717123
GLOBAL,TZAXX,2036,277.7549569238581
GLOBAL,TZAXX,2037,250.3977338921381
GLOBAL,TZAXX,2038,225.62377060586815
GLOBAL,TZAXX,2039,202.62909508488406
GLOBAL,TZAXX,2040,185.7994703334751
GLOBAL,TZAXX,2041,180.33539067203915
GLOBAL,TZAXX,2042,163.61797508563666
GLOBAL,TZAXX,2043,147.67897115068834
GLOBAL,TZAXX,2044,126.97956152502238
GLOBAL,TZAXX,2045,110.9934298446588
GLOBAL,TZAXX,2046,108.03551517713507
GLOBAL,TZAXX,2047,93.00615532099448
GLOBAL,TZAXX,2048,78.6363163191797
GLOBAL,TZAXX,2049,66.23681759526944
GLOBAL,TZAXX,2050,54.407031150507486
