REGION,EMISSION,YEAR,VALUE
GLOBAL,CO2KEN,2021,0.03970889859603545
GLOBAL,CO2KEN,2022,0.04378606718408569
GLOBAL,CO2KEN,2023,0.02859067358936573
GLOBAL,CO2KEN,2024,0.0
GLOBAL,CO2KEN,2025,0.0
GLOBAL,CO2KEN,2026,0.0
GLOBAL,CO2KEN,2027,0.0
GLOBAL,CO2KEN,2028,0.0
GLOBAL,CO2KEN,2029,0.0
GLOBAL,CO2KEN,2030,0.0
GLOBAL,CO2KEN,2031,0.0
GLOBAL,CO2KEN,2032,0.0
GLOBAL,CO2KEN,2033,0.0
GLOBAL,CO2KEN,2034,0.0
GLOBAL,CO2KEN,2035,0.0
GLOBAL,CO2KEN,2036,0.0
GLOBAL,CO2KEN,2037,0.0
GLOBAL,CO2KEN,2038,0.0
GLOBAL,CO2KEN,2039,0.0
GLOBAL,CO2KEN,2040,0.0
GLOBAL,CO2KEN,2041,0.0
GLOBAL,CO2KEN,2042,0.0
GLOBAL,CO2KEN,2043,0.0
GLOBAL,CO2KEN,2044,0.0
GLOBAL,CO2KEN,2045,0.0
GLOBAL,CO2KEN,2046,0.0
GLOBAL,CO2KEN,2047,0.0
GLOBAL,CO2KEN,2048,0.0
GLOBAL,CO2KEN,2049,0.0
GLOBAL,CO2KEN,2050,0.0
GLOBAL,CO2TZA,2021,0.0928243427100177
GLOBAL,CO2TZA,2022,0.09320777470558661
GLOBAL,CO2TZA,2023,0.13227141709787105
GLOBAL,CO2TZA,2024,0.14134673235789327
GLOBAL,CO2TZA,2025,0.1386888332927603
GLOBAL,CO2TZA,2026,0.15060088492697185
GLOBAL,CO2TZA,2027,0.16248322913910704
GLOBAL,CO2TZA,2028,0.17439528077331945
GLOBAL,CO2TZA,2029,0.1862917101371946
GLOBAL,CO2TZA,2030,0.19820376177140636
GLOBAL,CO2TZA,2031,0.21297795297397032
GLOBAL,CO2TZA,2032,0.2489538919603293
GLOBAL,CO2TZA,2033,0.26349348266603445
GLOBAL,CO2TZA,2034,0.2780036948989336
GLOBAL,CO2TZA,2035,0.29255890787497396
GLOBAL,CO2TZA,2036,0.3102475611693693
GLOBAL,CO2TZA,2037,0.32803729149082456
GLOBAL,CO2TZA,2038,0.34584110696401854
GLOBAL,CO2TZA,2039,0.36366054470755005
GLOBAL,CO2TZA,2040,0.38146436018074503
GLOBAL,CO2TZA,2041,0.4019702344162487
GLOBAL,CO2TZA,2042,0.42249173092208686
GLOBAL,CO2TZA,2043,0.44337385928143025
GLOBAL,CO2TZA,2044,0.4639094409390095
GLOBAL,CO2TZA,2045,0.48015572951039154
GLOBAL,CO2TZA,2046,0.5054703174071425
GLOBAL,CO2TZA,2047,0.5309555404929973
GLOBAL,CO2TZA,2048,0.5540367603307081
GLOBAL,CO2TZA,2049,0.579321640805375
GLOBAL,CO2TZA,2050,0.6046362287021334
