REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINGASINT,2021,22.74670234022472
GLOBAL,MINGASINT,2022,22.840662752076714
GLOBAL,MINGASINT,2023,32.412488457160286
GLOBAL,MINGASINT,2024,34.632296931895524
GLOBAL,MINGASINT,2025,33.97582380837732
GLOBAL,MINGASINT,2026,36.89400320794916
GLOBAL,MINGASINT,2027,39.80490516418764
GLOBAL,MINGASINT,2028,42.72308456375968
GLOBAL,MINGASINT,2029,45.63743714951997
GLOBAL,MINGASINT,2030,48.55561654909185
GLOBAL,MINGASINT,2031,52.17494749804909
GLOBAL,MINGASINT,2032,60.98807458253572
GLOBAL,MINGASINT,2033,64.54993559318108
GLOBAL,MINGASINT,2034,68.10459974325468
GLOBAL,MINGASINT,2035,71.6702875677113
GLOBAL,MINGASINT,2036,76.00359013647851
GLOBAL,MINGASINT,2037,80.36165337527008
GLOBAL,MINGASINT,2038,84.72316724358318
GLOBAL,MINGASINT,2039,89.08850792570806
GLOBAL,MINGASINT,2040,93.45002179402141
GLOBAL,MINGASINT,2041,98.47348543347539
GLOBAL,MINGASINT,2042,103.50077588674044
GLOBAL,MINGASINT,2043,108.6156000032635
GLOBAL,MINGASINT,2044,113.64634108605061
GLOBAL,MINGASINT,2045,117.6263359864208
GLOBAL,MINGASINT,2046,123.82782544692363
GLOBAL,MINGASINT,2047,130.0711231331473
GLOBAL,MINGASINT,2048,135.7255574687958
GLOBAL,MINGASINT,2049,141.91976948596337
GLOBAL,MINGASINT,2050,148.12125894646803
GLOBAL,MINOILINT,2021,9.827071997207435
GLOBAL,MINOILINT,2022,10.83608082586134
GLOBAL,MINOILINT,2023,7.075557815632929
GLOBAL,PWRLDSTZAXX01,2049,2.0238505316072515e-15
GLOBAL,TRNKENXXTZAXX,2021,0.4971126241981136
GLOBAL,TRNKENXXTZAXX,2022,0.5642625568502804
GLOBAL,TRNKENXXTZAXX,2023,0.5642625568502804
GLOBAL,TRNKENXXTZAXX,2024,1.1360249278895502
GLOBAL,TRNKENXXTZAXX,2025,0.827047251154179
GLOBAL,TRNKENXXTZAXX,2026,0.9246872083175536
GLOBAL,TRNKENXXTZAXX,2027,1.0223271654809285
GLOBAL,TRNKENXXTZAXX,2028,1.1199671226443009
GLOBAL,TRNKENXXTZAXX,2029,1.2178362815850574
GLOBAL,TRNKENXXTZAXX,2030,1.3154762387484298
GLOBAL,TRNKENXXTZAXX,2031,1.4277851096640517
GLOBAL,TRNKENXXTZAXX,2032,1.5834530531240705
GLOBAL,TRNKENXXTZAXX,2033,1.683532184835867
GLOBAL,TRNKENXXTZAXX,2034,1.7836277966283136
GLOBAL,TRNKENXXTZAXX,2035,1.883477726562731
GLOBAL,TRNKENXXTZAXX,2036,2.007894808209837
GLOBAL,TRNKENXXTZAXX,2037,2.1378522159836244
GLOBAL,TRNKENXXTZAXX,2038,2.2680388255347905
GLOBAL,TRNKENXXTZAXX,2039,2.397996233308577
GLOBAL,TRNKENXXTZAXX,2040,2.528182842859743
GLOBAL,TRNKENXXTZAXX,2041,2.6897700959117987
GLOBAL,TRNKENXXTZAXX,2042,2.851128147186489
GLOBAL,TRNKENXXTZAXX,2043,3.012715400238545
GLOBAL,TRNKENXXTZAXX,2044,3.174302653290616
GLOBAL,TRNKENXXTZAXX,2045,3.385485492484955
GLOBAL,TRNKENXXTZAXX,2046,3.5880998636878267
GLOBAL,TRNKENXXTZAXX,2047,3.7909434366680426
GLOBAL,TRNKENXXTZAXX,2048,4.034336587663108
GLOBAL,TRNKENXXTZAXX,2049,4.236950958865968
GLOBAL,TRNKENXXTZAXX,2050,4.439565330068847
