REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINGASINT,2021,0.012784295910206708
GLOBAL,MINGASINT,2022,0.01277472479771828
GLOBAL,MINGASINT,2023,0.017317834804839866
GLOBAL,MINGASINT,2024,0.026398102872843273
GLOBAL,MINGASINT,2025,0.02660580764548009
GLOBAL,MINGASINT,2026,0.029560408658514288
GLOBAL,MINGASINT,2027,0.03251134681173928
GLOBAL,MINGASINT,2028,0.035465947824773573
GLOBAL,MINGASINT,2029,0.03842211060689767
GLOBAL,MINGASINT,2030,0.04137671161993189
GLOBAL,MINGASINT,2031,0.044907437629913664
GLOBAL,MINGASINT,2032,0.050956669278684474
GLOBAL,MINGASINT,2033,0.054463120820429846
GLOBAL,MINGASINT,2034,0.057965948522335754
GLOBAL,MINGASINT,2035,0.06147083829499125
GLOBAL,MINGASINT,2036,0.06563351070650285
GLOBAL,MINGASINT,2037,0.06980461902931079
GLOBAL,MINGASINT,2038,0.07398095198101769
GLOBAL,MINGASINT,2039,0.07815572316363478
GLOBAL,MINGASINT,2040,0.08233205611534188
GLOBAL,MINGASINT,2041,0.08731939758126053
GLOBAL,MINGASINT,2042,0.09230517727808944
GLOBAL,MINGASINT,2043,0.09742563220000809
GLOBAL,MINGASINT,2044,0.10241663652573628
GLOBAL,MINGASINT,2045,0.10742806788997072
GLOBAL,MINGASINT,2046,0.1136326581341312
GLOBAL,MINGASINT,2047,0.11987190703384132
GLOBAL,MINGASINT,2048,0.12658270159621354
GLOBAL,MINGASINT,2049,0.1327836289805662
GLOBAL,MINGASINT,2050,0.1389882192247255
GLOBAL,MINOILINT,2021,0.01005520241864108
GLOBAL,MINOILINT,2022,0.011087634868224646
GLOBAL,MINOILINT,2023,0.007239813250702213
GLOBAL,PWRBIOKENXX01,2024,353.91732147314315
GLOBAL,PWRBIOKENXX01,2025,77.5326827208847
GLOBAL,PWRBIOKENXX01,2026,78.4611549526318
GLOBAL,PWRBIOKENXX01,2027,78.4611549526339
GLOBAL,PWRBIOKENXX01,2028,78.46115495263204
GLOBAL,PWRBIOKENXX01,2029,78.64533606754665
GLOBAL,PWRBIOKENXX01,2030,78.46115495263
GLOBAL,PWRBIOKENXX01,2031,90.03386833962453
GLOBAL,PWRBIOKENXX01,2032,271.6721926601613
GLOBAL,PWRBIOKENXX01,2033,91.64000000982456
GLOBAL,PWRBIOKENXX01,2034,91.41779460847387
GLOBAL,PWRBIOKENXX01,2035,91.01849114349939
GLOBAL,PWRBIOKENXX01,2036,103.97230530756318
GLOBAL,PWRBIOKENXX01,2037,102.69018061934352
GLOBAL,PWRBIOKENXX01,2038,102.62220901741271
GLOBAL,PWRBIOKENXX01,2039,102.19289160907977
GLOBAL,PWRBIOKENXX01,2040,102.12404295422624
GLOBAL,PWRBIOKENXX01,2041,126.7560744414091
GLOBAL,PWRBIOKENXX01,2042,126.57627859115055
GLOBAL,PWRBIOKENXX01,2043,126.75607444141414
GLOBAL,PWRBIOKENXX01,2044,126.75607444142072
GLOBAL,PWRBIOKENXX01,2045,123.81747208898976
GLOBAL,PWRBIOKENXX01,2046,158.93953164001897
GLOBAL,PWRBIOKENXX01,2047,161.6603161532935
GLOBAL,PWRBIOKENXX01,2048,201.5385716582704
GLOBAL,PWRBIOKENXX01,2049,158.93953164001985
GLOBAL,PWRBIOKENXX01,2050,158.93953164002406
GLOBAL,PWRBIOTZAXX01,2021,159.76212809363298
GLOBAL,PWRBIOTZAXX01,2022,51.56436788169204
GLOBAL,PWRBIOTZAXX01,2023,11.013703632402487
GLOBAL,PWRCCGTZAXX01,2023,12.384728744734677
GLOBAL,PWRCCGTZAXX01,2024,64.43220209830196
GLOBAL,PWRCCGTZAXX01,2025,93.95295724674519
GLOBAL,PWRCCGTZAXX01,2026,5.95964774223953
GLOBAL,PWRCCGTZAXX01,2027,5.9225410203088735
GLOBAL,PWRCCGTZAXX01,2028,5.959647742240287
GLOBAL,PWRCCGTZAXX01,2029,5.919196912512243
GLOBAL,PWRCCGTZAXX01,2030,5.959647742238948
GLOBAL,PWRCCGTZAXX01,2031,8.194668490564185
GLOBAL,PWRCCGTZAXX01,2032,36.08479068989247
GLOBAL,PWRCCGTZAXX01,2033,7.863930800911203
GLOBAL,PWRCCGTZAXX01,2034,7.827257139275126
GLOBAL,PWRCCGTZAXX01,2035,7.904381630637562
GLOBAL,PWRCCGTZAXX01,2036,10.19415449699224
GLOBAL,PWRCCGTZAXX01,2037,10.349109115589007
GLOBAL,PWRCCGTZAXX01,2038,10.345765007791318
GLOBAL,PWRCCGTZAXX01,2039,10.386215837519028
GLOBAL,PWRCCGTZAXX01,2040,10.345765007789188
GLOBAL,PWRCCGTZAXX01,2041,10.85239700968524
GLOBAL,PWRCCGTZAXX01,2042,10.892847839408846
GLOBAL,PWRCCGTZAXX01,2043,10.852397009688294
GLOBAL,PWRCCGTZAXX01,2044,10.889503731610615
GLOBAL,PWRCCGTZAXX01,2045,10.228453059682469
GLOBAL,PWRCCGTZAXX01,2046,13.111019302501548
GLOBAL,PWRCCGTZAXX01,2047,12.213337703276457
GLOBAL,PWRCCGTZAXX01,2049,13.073912580524764
GLOBAL,PWRCCGTZAXX01,2050,13.111019302542395
GLOBAL,PWRGEOKENXX01,2021,606.0447716422483
GLOBAL,PWRGEOKENXX01,2022,173.72483215707936
GLOBAL,PWRGEOKENXX01,2025,58.192017966369285
GLOBAL,PWRGEOKENXX01,2026,383.9647504070553
GLOBAL,PWRGEOKENXX01,2027,383.964750407052
GLOBAL,PWRGEOKENXX01,2028,383.96475040705405
GLOBAL,PWRGEOKENXX01,2029,384.86607611223326
GLOBAL,PWRGEOKENXX01,2030,383.96475040705695
GLOBAL,PWRGEOKENXX01,2031,440.1266658988379
GLOBAL,PWRGEOKENXX01,2032,448.35946463745023
GLOBAL,PWRGEOKENXX01,2033,435.422125608637
GLOBAL,PWRGEOKENXX01,2034,433.9083375082304
GLOBAL,PWRGEOKENXX01,2035,431.50203947492554
GLOBAL,PWRGEOKENXX01,2036,500.19203768805846
GLOBAL,PWRGEOKENXX01,2037,498.715944755272
GLOBAL,PWRGEOKENXX01,2038,497.8301591484538
GLOBAL,PWRGEOKENXX01,2039,495.1914504460472
GLOBAL,PWRGEOKENXX01,2040,494.2994487998767
GLOBAL,PWRGEOKENXX01,2041,613.5230834576089
GLOBAL,PWRGEOKENXX01,2042,612.6528379491538
GLOBAL,PWRGEOKENXX01,2043,613.523083457603
GLOBAL,PWRGEOKENXX01,2044,613.5230834576035
GLOBAL,PWRGEOKENXX01,2045,700.6239842316587
GLOBAL,PWRGEOKENXX01,2046,769.297029470241
GLOBAL,PWRGEOKENXX01,2047,768.2060424154598
GLOBAL,PWRGEOKENXX01,2048,919.7801748111797
GLOBAL,PWRGEOKENXX01,2049,769.2970294702368
GLOBAL,PWRGEOKENXX01,2050,769.2970294702435
GLOBAL,PWRGEOTZAXX01,2021,2228.318386146943
GLOBAL,PWRGEOTZAXX01,2022,272.76518208911585
GLOBAL,PWRGEOTZAXX01,2023,378.58161851421977
GLOBAL,PWRGEOTZAXX01,2024,2791.6144108298854
GLOBAL,PWRGEOTZAXX01,2025,525.1024855077977
GLOBAL,PWRGEOTZAXX01,2026,619.788397127316
GLOBAL,PWRGEOTZAXX01,2027,618.7967356919153
GLOBAL,PWRGEOTZAXX01,2028,619.7883971273125
GLOBAL,PWRGEOTZAXX01,2029,619.7883971273161
GLOBAL,PWRGEOTZAXX01,2030,619.7883971273177
GLOBAL,PWRGEOTZAXX01,2031,746.1226444755555
GLOBAL,PWRGEOTZAXX01,2032,831.3640376630193
GLOBAL,PWRGEOTZAXX01,2033,743.2828825215091
GLOBAL,PWRGEOTZAXX01,2034,739.7132939866462
GLOBAL,PWRGEOTZAXX01,2035,738.1032108663115
GLOBAL,PWRGEOTZAXX01,2036,872.7026889281074
GLOBAL,PWRGEOTZAXX01,2037,868.0491277195354
GLOBAL,PWRGEOTZAXX01,2038,865.9461215720476
GLOBAL,PWRGEOTZAXX01,2039,862.8753906444833
GLOBAL,PWRGEOTZAXX01,2040,859.8046597169232
GLOBAL,PWRGEOTZAXX01,2041,1015.8716525163206
GLOBAL,PWRGEOTZAXX01,2042,1015.8716525163206
GLOBAL,PWRGEOTZAXX01,2043,1015.8716525163215
GLOBAL,PWRGEOTZAXX01,2044,1016.8291187298156
GLOBAL,PWRGEOTZAXX01,2045,1015.871652516321
GLOBAL,PWRGEOTZAXX01,2046,1260.983003170588
GLOBAL,PWRGEOTZAXX01,2047,1260.98300317058
GLOBAL,PWRGEOTZAXX01,2048,1260.9830031705878
GLOBAL,PWRGEOTZAXX01,2049,1260.0255369571084
GLOBAL,PWRGEOTZAXX01,2050,1260.9830031705778
GLOBAL,PWROCGTZAXX01,2021,56.911419679581975
GLOBAL,PWROCGTZAXX01,2022,30.43413034304811
GLOBAL,PWROCGTZAXX01,2023,20.068966253564007
GLOBAL,PWROCGTZAXX01,2024,122.51117019502112
GLOBAL,PWROCGTZAXX01,2025,123.427796745515
GLOBAL,PWROCGTZAXX01,2026,57.27003952305618
GLOBAL,PWROCGTZAXX01,2027,212.22434276329568
GLOBAL,PWROCGTZAXX01,2028,57.270039523056234
GLOBAL,PWROCGTZAXX01,2029,57.33743286735822
GLOBAL,PWROCGTZAXX01,2030,105.27003952305608
GLOBAL,PWROCGTZAXX01,2031,67.52379232726634
GLOBAL,PWROCGTZAXX01,2032,97.63688243132941
GLOBAL,PWROCGTZAXX01,2033,67.63688243132991
GLOBAL,PWROCGTZAXX01,2034,67.59118567156807
GLOBAL,PWROCGTZAXX01,2035,67.5694890870268
GLOBAL,PWROCGTZAXX01,2036,79.31510982859501
GLOBAL,PWROCGTZAXX01,2037,79.20201972453171
GLOBAL,PWROCGTZAXX01,2038,79.31510982859251
GLOBAL,PWROCGTZAXX01,2039,79.24771648429083
GLOBAL,PWROCGTZAXX01,2040,115.3151098285952
GLOBAL,PWROCGTZAXX01,2041,95.99656983895352
GLOBAL,PWROCGTZAXX01,2042,125.52917649465356
GLOBAL,PWROCGTZAXX01,2043,156.39656983895213
GLOBAL,PWROCGTZAXX01,2044,96.04226659871863
GLOBAL,PWROCGTZAXX01,2045,84.48350923896324
GLOBAL,PWROCGTZAXX01,2046,119.75834896773613
GLOBAL,PWROCGTZAXX01,2047,120.28662854721364
GLOBAL,PWROCGTZAXX01,2048,111.21853777551004
GLOBAL,PWROCGTZAXX01,2049,119.71265220800449
GLOBAL,PWROCGTZAXX01,2050,119.75834896771842
GLOBAL,PWRTRNKENXX,2021,0.0018331333965479707
GLOBAL,PWRTRNKENXX,2022,0.0019128348485717957
GLOBAL,PWRTRNKENXX,2023,0.001872984122559883
GLOBAL,PWRTRNKENXX,2024,0.001952685574583708
GLOBAL,PWRTRNKENXX,2025,0.0020096721127807428
GLOBAL,PWRTRNKENXX,2026,0.002179436205591489
GLOBAL,PWRTRNKENXX,2027,0.0023492002984022366
GLOBAL,PWRTRNKENXX,2028,0.0025189643912129837
GLOBAL,PWRTRNKENXX,2029,0.0026891269912838493
GLOBAL,PWRTRNKENXX,2030,0.002858891084094596
GLOBAL,PWRTRNKENXX,2031,0.003054159641552967
GLOBAL,PWRTRNKENXX,2032,0.0032498267062714566
GLOBAL,PWRTRNKENXX,2033,0.003445493770989947
GLOBAL,PWRTRNKENXX,2034,0.003641160835708437
GLOBAL,PWRTRNKENXX,2035,0.003836429393166808
GLOBAL,PWRTRNKENXX,2036,0.004062781516914468
GLOBAL,PWRTRNKENXX,2037,0.004288735133402013
GLOBAL,PWRTRNKENXX,2038,0.004515087257149676
GLOBAL,PWRTRNKENXX,2039,0.004741040873637219
GLOBAL,PWRTRNKENXX,2040,0.0049673929973848814
GLOBAL,PWRTRNKENXX,2041,0.005248340615768864
GLOBAL,PWRTRNKENXX,2042,0.005528889726892728
GLOBAL,PWRTRNKENXX,2043,0.0058098373452767
GLOBAL,PWRTRNKENXX,2044,0.006090784963660693
GLOBAL,PWRTRNKENXX,2045,0.0063717325820446735
GLOBAL,PWRTRNKENXX,2046,0.0067240129999899
GLOBAL,PWRTRNKENXX,2047,0.007076691925195406
GLOBAL,PWRTRNKENXX,2048,0.00742897234314071
