REGION,TIMESLICE,FUEL,YEAR,VALUE
GLOBAL,S1D1,ELCKENXX02,2021,2.3000000000000003
GLOBAL,S1D2,ELCKENXX02,2021,2.76
GLOBAL,S1D3,ELCKENXX02,2021,2.76
GLOBAL,S1D4,ELCKENXX02,2021,2.76
GLOBAL,S1D5,ELCKENXX02,2021,2.76
GLOBAL,S1D6,ELCKENXX02,2021,1.84
GLOBAL,S2D1,ELCKENXX02,2021,2.3000000000000003
GLOBAL,S2D2,ELCKENXX02,2021,2.76
GLOBAL,S2D3,ELCKENXX02,2021,2.76
GLOBAL,S2D4,ELCKENXX02,2021,2.76
GLOBAL,S2D5,ELCKENXX02,2021,2.76
GLOBAL,S2D6,ELCKENXX02,2021,1.84
GLOBAL,S3D1,ELCKENXX02,2021,2.3000000000000003
GLOBAL,S3D2,ELCKENXX02,2021,2.76
GLOBAL,S3D3,ELCKENXX02,2021,2.76
GLOBAL,S3D4,ELCKENXX02,2021,3.22
GLOBAL,S3D5,ELCKENXX02,2021,2.76
GLOBAL,S3D6,ELCKENXX02,2021,1.84
GLOBAL,S1D1,ELCKENXX02,2022,2.4000000000000004
GLOBAL,S1D2,ELCKENXX02,2022,2.88
GLOBAL,S1D3,ELCKENXX02,2022,2.88
GLOBAL,S1D4,ELCKENXX02,2022,2.88
GLOBAL,S1D5,ELCKENXX02,2022,2.88
GLOBAL,S1D6,ELCKENXX02,2022,1.92
GLOBAL,S2D1,ELCKENXX02,2022,2.4000000000000004
GLOBAL,S2D2,ELCKENXX02,2022,2.88
GLOBAL,S2D3,ELCKENXX02,2022,2.88
GLOBAL,S2D4,ELCKENXX02,2022,2.88
GLOBAL,S2D5,ELCKENXX02,2022,2.88
GLOBAL,S2D6,ELCKENXX02,2022,1.92
GLOBAL,S3D1,ELCKENXX02,2022,2.4000000000000004
GLOBAL,S3D2,ELCKENXX02,2022,2.88
GLOBAL,S3D3,ELCKENXX02,2022,2.88
GLOBAL,S3D4,ELCKENXX02,2022,3.3600000000000003
GLOBAL,S3D5,ELCKENXX02,2022,2.88
GLOBAL,S3D6,ELCKENXX02,2022,1.92
GLOBAL,S1D1,ELCKENXX02,2023,2.35
GLOBAL,S1D2,ELCKENXX02,2023,2.82
GLOBAL,S1D3,ELCKENXX02,2023,2.82
GLOBAL,S1D4,ELCKENXX02,2023,2.82
GLOBAL,S1D5,ELCKENXX02,2023,2.82
GLOBAL,S1D6,ELCKENXX02,2023,1.8800000000000001
GLOBAL,S2D1,ELCKENXX02,2023,2.35
GLOBAL,S2D2,ELCKENXX02,2023,2.82
GLOBAL,S2D3,ELCKENXX02,2023,2.82
GLOBAL,S2D4,ELCKENXX02,2023,2.82
GLOBAL,S2D5,ELCKENXX02,2023,2.82
GLOBAL,S2D6,ELCKENXX02,2023,1.8800000000000001
GLOBAL,S3D1,ELCKENXX02,2023,2.35
GLOBAL,S3D2,ELCKENXX02,2023,2.82
GLOBAL,S3D3,ELCKENXX02,2023,2.82
GLOBAL,S3D4,ELCKENXX02,2023,3.2900000000000005
GLOBAL,S3D5,ELCKENXX02,2023,2.82
GLOBAL,S3D6,ELCKENXX02,2023,1.8800000000000001
GLOBAL,S1D1,ELCKENXX02,2024,2.45
GLOBAL,S1D2,ELCKENXX02,2024,2.94
GLOBAL,S1D3,ELCKENXX02,2024,2.94
GLOBAL,S1D4,ELCKENXX02,2024,2.94
GLOBAL,S1D5,ELCKENXX02,2024,2.94
GLOBAL,S1D6,ELCKENXX02,2024,1.96
GLOBAL,S2D1,ELCKENXX02,2024,2.45
GLOBAL,S2D2,ELCKENXX02,2024,2.94
GLOBAL,S2D3,ELCKENXX02,2024,2.94
GLOBAL,S2D4,ELCKENXX02,2024,2.94
GLOBAL,S2D5,ELCKENXX02,2024,2.94
GLOBAL,S2D6,ELCKENXX02,2024,1.96
GLOBAL,S3D1,ELCKENXX02,2024,2.45
GLOBAL,S3D2,ELCKENXX02,2024,2.94
GLOBAL,S3D3,ELCKENXX02,2024,2.94
GLOBAL,S3D4,ELCKENXX02,2024,3.43
GLOBAL,S3D5,ELCKENXX02,2024,2.94
GLOBAL,S3D6,ELCKENXX02,2024,1.96
GLOBAL,S1D1,ELCKENXX02,2025,2.5215
GLOBAL,S1D2,ELCKENXX02,2025,3.0258
GLOBAL,S1D3,ELCKENXX02,2025,3.0258
GLOBAL,S1D4,ELCKENXX02,2025,3.0258
GLOBAL,S1D5,ELCKENXX02,2025,3.0258
GLOBAL,S1D6,ELCKENXX02,2025,2.0172
GLOBAL,S2D1,ELCKENXX02,2025,2.5215
GLOBAL,S2D2,ELCKENXX02,2025,3.0258
GLOBAL,S2D3,ELCKENXX02,2025,3.0258
GLOBAL,S2D4,ELCKENXX02,2025,3.0258
GLOBAL,S2D5,ELCKENXX02,2025,3.0258
GLOBAL,S2D6,ELCKENXX02,2025,2.0172
GLOBAL,S3D1,ELCKENXX02,2025,2.5215
GLOBAL,S3D2,ELCKENXX02,2025,3.0258
GLOBAL,S3D3,ELCKENXX02,2025,3.0258
GLOBAL,S3D4,ELCKENXX02,2025,3.5301000000000005
GLOBAL,S3D5,ELCKENXX02,2025,3.0258
GLOBAL,S3D6,ELCKENXX02,2025,2.0172
GLOBAL,S1D1,ELCKENXX02,2026,2.7345
GLOBAL,S1D2,ELCKENXX02,2026,3.2813999999999997
GLOBAL,S1D3,ELCKENXX02,2026,3.2813999999999997
GLOBAL,S1D4,ELCKENXX02,2026,3.2813999999999997
GLOBAL,S1D5,ELCKENXX02,2026,3.2813999999999997
GLOBAL,S1D6,ELCKENXX02,2026,2.1875999999999998
GLOBAL,S2D1,ELCKENXX02,2026,2.7345
GLOBAL,S2D2,ELCKENXX02,2026,3.2813999999999997
GLOBAL,S2D3,ELCKENXX02,2026,3.2813999999999997
GLOBAL,S2D4,ELCKENXX02,2026,3.2813999999999997
GLOBAL,S2D5,ELCKENXX02,2026,3.2813999999999997
GLOBAL,S2D6,ELCKENXX02,2026,2.1875999999999998
GLOBAL,S3D1,ELCKENXX02,2026,2.7345
GLOBAL,S3D2,ELCKENXX02,2026,3.2813999999999997
GLOBAL,S3D3,ELCKENXX02,2026,3.2813999999999997
GLOBAL,S3D4,ELCKENXX02,2026,3.8283
GLOBAL,S3D5,ELCKENXX02,2026,3.2813999999999997
GLOBAL,S3D6,ELCKENXX02,2026,2.1875999999999998
GLOBAL,S1D1,ELCKENXX02,2027,2.9475000000000002
GLOBAL,S1D2,ELCKENXX02,2027,3.537
GLOBAL,S1D3,ELCKENXX02,2027,3.537
GLOBAL,S1D4,ELCKENXX02,2027,3.537
GLOBAL,S1D5,ELCKENXX02,2027,3.537
GLOBAL,S1D6,ELCKENXX02,2027,2.358
GLOBAL,S2D1,ELCKENXX02,2027,2.9475000000000002
GLOBAL,S2D2,ELCKENXX02,2027,3.537
GLOBAL,S2D3,ELCKENXX02,2027,3.537
GLOBAL,S2D4,ELCKENXX02,2027,3.537
GLOBAL,S2D5,ELCKENXX02,2027,3.537
GLOBAL,S2D6,ELCKENXX02,2027,2.358
GLOBAL,S3D1,ELCKENXX02,2027,2.9475000000000002
GLOBAL,S3D2,ELCKENXX02,2027,3.537
GLOBAL,S3D3,ELCKENXX02,2027,3.537
GLOBAL,S3D4,ELCKENXX02,2027,4.126500000000001
GLOBAL,S3D5,ELCKENXX02,2027,3.537
GLOBAL,S3D6,ELCKENXX02,2027,2.358
GLOBAL,S1D1,ELCKENXX02,2028,3.1605000000000003
GLOBAL,S1D2,ELCKENXX02,2028,3.7925999999999997
GLOBAL,S1D3,ELCKENXX02,2028,3.7925999999999997
GLOBAL,S1D4,ELCKENXX02,2028,3.7925999999999997
GLOBAL,S1D5,ELCKENXX02,2028,3.7925999999999997
GLOBAL,S1D6,ELCKENXX02,2028,2.5284
GLOBAL,S2D1,ELCKENXX02,2028,3.1605000000000003
GLOBAL,S2D2,ELCKENXX02,2028,3.7925999999999997
GLOBAL,S2D3,ELCKENXX02,2028,3.7925999999999997
GLOBAL,S2D4,ELCKENXX02,2028,3.7925999999999997
GLOBAL,S2D5,ELCKENXX02,2028,3.7925999999999997
GLOBAL,S2D6,ELCKENXX02,2028,2.5284
GLOBAL,S3D1,ELCKENXX02,2028,3.1605000000000003
GLOBAL,S3D2,ELCKENXX02,2028,3.7925999999999997
GLOBAL,S3D3,ELCKENXX02,2028,3.7925999999999997
GLOBAL,S3D4,ELCKENXX02,2028,4.4247000000000005
GLOBAL,S3D5,ELCKENXX02,2028,3.7925999999999997
GLOBAL,S3D6,ELCKENXX02,2028,2.5284
GLOBAL,S1D1,ELCKENXX02,2029,3.3740000000000006
GLOBAL,S1D2,ELCKENXX02,2029,4.0488
GLOBAL,S1D3,ELCKENXX02,2029,4.0488
GLOBAL,S1D4,ELCKENXX02,2029,4.0488
GLOBAL,S1D5,ELCKENXX02,2029,4.0488
GLOBAL,S1D6,ELCKENXX02,2029,2.6992000000000003
GLOBAL,S2D1,ELCKENXX02,2029,3.3740000000000006
GLOBAL,S2D2,ELCKENXX02,2029,4.0488
GLOBAL,S2D3,ELCKENXX02,2029,4.0488
GLOBAL,S2D4,ELCKENXX02,2029,4.0488
GLOBAL,S2D5,ELCKENXX02,2029,4.0488
GLOBAL,S2D6,ELCKENXX02,2029,2.6992000000000003
GLOBAL,S3D1,ELCKENXX02,2029,3.3740000000000006
GLOBAL,S3D2,ELCKENXX02,2029,4.0488
GLOBAL,S3D3,ELCKENXX02,2029,4.0488
GLOBAL,S3D4,ELCKENXX02,2029,4.723600000000001
GLOBAL,S3D5,ELCKENXX02,2029,4.0488
GLOBAL,S3D6,ELCKENXX02,2029,2.6992000000000003
GLOBAL,S1D1,ELCKENXX02,2030,3.5869999999999997
GLOBAL,S1D2,ELCKENXX02,2030,4.304399999999999
GLOBAL,S1D3,ELCKENXX02,2030,4.304399999999999
GLOBAL,S1D4,ELCKENXX02,2030,4.304399999999999
GLOBAL,S1D5,ELCKENXX02,2030,4.304399999999999
GLOBAL,S1D6,ELCKENXX02,2030,2.8695999999999997
GLOBAL,S2D1,ELCKENXX02,2030,3.5869999999999997
GLOBAL,S2D2,ELCKENXX02,2030,4.304399999999999
GLOBAL,S2D3,ELCKENXX02,2030,4.304399999999999
GLOBAL,S2D4,ELCKENXX02,2030,4.304399999999999
GLOBAL,S2D5,ELCKENXX02,2030,4.304399999999999
GLOBAL,S2D6,ELCKENXX02,2030,2.8695999999999997
GLOBAL,S3D1,ELCKENXX02,2030,3.5869999999999997
GLOBAL,S3D2,ELCKENXX02,2030,4.304399999999999
GLOBAL,S3D3,ELCKENXX02,2030,4.304399999999999
GLOBAL,S3D4,ELCKENXX02,2030,5.0218
GLOBAL,S3D5,ELCKENXX02,2030,4.304399999999999
GLOBAL,S3D6,ELCKENXX02,2030,2.8695999999999997
GLOBAL,S1D1,ELCKENXX02,2031,3.8320000000000003
GLOBAL,S1D2,ELCKENXX02,2031,4.5984
GLOBAL,S1D3,ELCKENXX02,2031,4.5984
GLOBAL,S1D4,ELCKENXX02,2031,4.5984
GLOBAL,S1D5,ELCKENXX02,2031,4.5984
GLOBAL,S1D6,ELCKENXX02,2031,3.0656
