REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINGASINT,2021,21.688129710109433
GLOBAL,MINGASINT,2022,19.79792495243674
GLOBAL,MINGASINT,2023,25.54057451922059
GLOBAL,MINGASINT,2024,24.80886514215423
GLOBAL,MINGASINT,2025,22.12600023228432
GLOBAL,MINGASINT,2026,21.84218156129821
GLOBAL,MINGASINT,2027,21.423190024233755
GLOBAL,MINGASINT,2028,20.903425555572266
GLOBAL,MINGASINT,2029,20.299410403767812
GLOBAL,MINGASINT,2030,19.634008020627128
GLOBAL,MINGASINT,2031,19.17956824954962
GLOBAL,MINGASINT,2032,20.38116680612427
GLOBAL,MINGASINT,2033,19.610435969424035
GLOBAL,MINGASINT,2034,18.809410958215715
GLOBAL,MINGASINT,2035,17.99472492495698
GLOBAL,MINGASINT,2036,17.34792305950659
GLOBAL,MINGASINT,2037,16.675142668028098
GLOBAL,MINGASINT,2038,15.981965637229367
GLOBAL,MINGASINT,2039,15.27766595246698
GLOBAL,MINGASINT,2040,14.568741799706467
GLOBAL,MINGASINT,2041,13.956266830273481
GLOBAL,MINGASINT,2042,13.33524117553191
GLOBAL,MINGASINT,2043,12.722040961962582
GLOBAL,MINGASINT,2044,12.101169850626391
GLOBAL,MINGASINT,2045,11.386330427885325
GLOBAL,MINGASINT,2046,10.896945398257104
GLOBAL,MINGASINT,2047,10.405782248318902
GLOBAL,MINGASINT,2048,9.871037283517921
GLOBAL,MINGASINT,2049,9.383208573041284
GLOBAL,MINGASINT,2050,8.902934587172638
GLOBAL,MINOILINT,2021,9.369745511160254
GLOBAL,MINOILINT,2022,9.392543346818425
GLOBAL,MINOILINT,2023,5.575437748140709
GLOBAL,PWRBIOKENXX01,2021,6.435872477407748
GLOBAL,PWRBIOKENXX01,2022,5.8507931612797694
GLOBAL,PWRBIOKENXX01,2023,5.3189028738907
GLOBAL,PWRBIOKENXX01,2024,13.889968742032424
GLOBAL,PWRBIOKENXX01,2025,14.430509906043598
GLOBAL,PWRBIOKENXX01,2026,14.77760912143651
GLOBAL,PWRBIOKENXX01,2027,14.94233897612957
GLOBAL,PWRBIOKENXX01,2028,14.954988947147514
GLOBAL,PWRBIOKENXX01,2029,14.844774349709398
GLOBAL,PWRBIOKENXX01,2030,14.628343973614601
GLOBAL,PWRBIOKENXX01,2031,14.386779620947246
GLOBAL,PWRBIOKENXX01,2032,13.979964900303857
GLOBAL,PWRBIOKENXX01,2033,13.604613514916895
GLOBAL,PWRBIOKENXX01,2034,13.169808378204676
GLOBAL,PWRBIOKENXX01,2035,12.689013765340157
GLOBAL,PWRBIOKENXX01,2036,12.281366737650735
GLOBAL,PWRBIOKENXX01,2037,11.825139785837834
GLOBAL,PWRBIOKENXX01,2038,11.342158215106629
GLOBAL,PWRBIOKENXX01,2039,10.83965971353912
GLOBAL,PWRBIOKENXX01,2040,10.327992177717395
GLOBAL,PWRBIOKENXX01,2041,10.002510835438587
GLOBAL,PWRBIOKENXX01,2042,9.650061603344785
GLOBAL,PWRBIOKENXX01,2043,9.279747769580963
GLOBAL,PWRBIOKENXX01,2044,8.897011148539969
GLOBAL,PWRBIOKENXX01,2045,8.497457631603273
