REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINGASINT,2021,22.74670234022472
GLOBAL,MINGASINT,2022,22.840662752076717
GLOBAL,MINGASINT,2023,32.412488457160286
GLOBAL,MINGASINT,2024,34.63229693189554
GLOBAL,MINGASINT,2025,33.97582380837733
GLOBAL,MINGASINT,2026,36.89400320794916
GLOBAL,MINGASINT,2027,39.804905164187645
GLOBAL,MINGASINT,2028,42.72308456375969
GLOBAL,MINGASINT,2029,45.63743714951997
GLOBAL,MINGASINT,2030,48.55561654909186
GLOBAL,MINGASINT,2031,52.174947498049086
GLOBAL,MINGASINT,2032,60.98807458253573
GLOBAL,MINGASINT,2033,64.54993559318108
GLOBAL,MINGASINT,2034,68.1045997432547
GLOBAL,MINGASINT,2035,71.67028756771131
GLOBAL,MINGASINT,2036,76.00359013647852
GLOBAL,MINGASINT,2037,80.3616533752701
GLOBAL,MINGASINT,2038,84.72316724358316
GLOBAL,MINGASINT,2039,89.08850792570809
GLOBAL,MINGASINT,2040,93.45002179402142
GLOBAL,MINGASINT,2041,98.4734854334754
GLOBAL,MINGASINT,2042,103.50077588674046
GLOBAL,MINGASINT,2043,108.61560000326352
GLOBAL,MINGASINT,2044,113.64634108605064
GLOBAL,MINGASINT,2045,117.6263359864208
GLOBAL,MINGASINT,2046,123.82782544692364
GLOBAL,MINGASINT,2047,130.07112313314732
GLOBAL,MINGASINT,2048,135.7255574687958
GLOBAL,MINGASINT,2049,141.9197694859634
GLOBAL,MINGASINT,2050,148.12125894646803
GLOBAL,MINOILINT,2021,9.827071997207437
GLOBAL,MINOILINT,2022,10.836080825861336
GLOBAL,MINOILINT,2023,7.07555781563293
GLOBAL,PWRBIOKENXX01,2021,6.751419403824001
GLOBAL,PWRBIOKENXX01,2022,6.751419403824001
GLOBAL,PWRBIOKENXX01,2023,6.751419403824001
GLOBAL,PWRBIOKENXX01,2024,19.393981687121325
GLOBAL,PWRBIOKENXX01,2025,22.163588346128268
GLOBAL,PWRBIOKENXX01,2026,24.966361700591968
GLOBAL,PWRBIOKENXX01,2027,27.769135055055745
GLOBAL,PWRBIOKENXX01,2028,30.571908409519448
GLOBAL,PWRBIOKENXX01,2029,33.381261044158045
GLOBAL,PWRBIOKENXX01,2030,36.18403439862169
GLOBAL,PWRBIOKENXX01,2031,39.14521770656328
GLOBAL,PWRBIOKENXX01,2032,41.84219979906403
GLOBAL,PWRBIOKENXX01,2033,44.7907104686668
GLOBAL,PWRBIOKENXX01,2034,47.69518326390717
GLOBAL,PWRBIOKENXX01,2035,50.54943042761015
GLOBAL,PWRBIOKENXX01,2036,53.818109652082335
GLOBAL,PWRBIOKENXX01,2037,57.00085533183324
GLOBAL,PWRBIOKENXX01,2038,60.140100569561405
GLOBAL,PWRBIOKENXX01,2039,63.22334459461323
GLOBAL,PWRBIOKENXX01,2040,66.26300047234969
GLOBAL,PWRBIOKENXX01,2041,70.59223183840744
GLOBAL,PWRBIOKENXX01,2042,74.91532245075491
GLOBAL,PWRBIOKENXX01,2043,79.24455381681287
GLOBAL,PWRBIOKENXX01,2044,83.573785182871
GLOBAL,PWRBIOKENXX01,2045,87.80265142218809
GLOBAL,PWRBIOKENXX01,2046,93.23107770246509
GLOBAL,PWRBIOKENXX01,2047,98.75242975144445
GLOBAL,PWRBIOKENXX01,2048,105.63578512307804
GLOBAL,PWRBIOKENXX01,2049,111.0642114033551
GLOBAL,PWRBIOKENXX01,2050,116.49263768363234
GLOBAL,PWRBIOTZAXX01,2021,10.958094095077758
GLOBAL,PWRBIOTZAXX01,2022,12.800065914455406
GLOBAL,PWRBIOTZAXX01,2023,13.193495186475348
GLOBAL,PWRBIOTZAXX01,2024,13.193495186475348
GLOBAL,PWRBIOTZAXX01,2025,13.193495186475348
GLOBAL,PWRBIOTZAXX01,2026,13.193495186475346
GLOBAL,PWRBIOTZAXX01,2027,13.193495186475348
GLOBAL,PWRBIOTZAXX01,2028,13.193495186475348
GLOBAL,PWRBIOTZAXX01,2029,13.193495186475344
GLOBAL,PWRBIOTZAXX01,2030,13.193495186475348
GLOBAL,PWRBIOTZAXX01,2031,13.1055570437116
GLOBAL,PWRBIOTZAXX01,2032,7.83651492019586
GLOBAL,PWRBIOTZAXX01,2033,7.783576777432115
GLOBAL,PWRBIOTZAXX01,2034,7.730638634668368
GLOBAL,PWRBIOTZAXX01,2035,7.677700491904625
GLOBAL,PWRBIOTZAXX01,2036,7.624762349140882
GLOBAL,PWRBIOTZAXX01,2037,7.571824206377134
GLOBAL,PWRBIOTZAXX01,2038,7.518886063613392
GLOBAL,PWRBIOTZAXX01,2039,7.4659479208496435
GLOBAL,PWRBIOTZAXX01,2040,7.413009778085901
GLOBAL,PWRBIOTZAXX01,2041,7.413009778085901
