REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2039,0.4187754006910786
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2041,0.41617473754345197
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2042,0.6952069491127109
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2045,0.07065820929236022
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2049,0.6499862223279907
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2050,0.6699568985697901
GLOBAL,S1D1,PWRBIOKENXX01,T01KEN,2039,0.4187754006910786
GLOBAL,S1D1,PWRBIOKENXX01,T01KEN,2041,0.41617473754345197
GLOBAL,S1D1,PWRBIOKENXX01,T01KEN,2042,0.6952069491127109
GLOBAL,S1D1,PWRBIOKENXX01,T01KEN,2045,0.07065820929236022
GLOBAL,S1D1,PWRBIOKENXX01,T01KEN,2049,0.6499862223279907
GLOBAL,S1D1,PWRBIOKENXX01,T01KEN,2050,0.6699568985697901
GLOBAL,S1D1,PWRBIOTZAXX01,ELCTZAXX01,2021,0.2524466504007298
GLOBAL,S1D1,PWRBIOTZAXX01,ELCTZAXX01,2024,0.3039446128136407
GLOBAL,S1D1,PWRBIOTZAXX01,ELCTZAXX01,2027,0.3039446128136407
GLOBAL,S1D1,PWRBIOTZAXX01,ELCTZAXX01,2028,0.3039446128136407
GLOBAL,S1D1,PWRBIOTZAXX01,T02TZA,2021,0.2524466504007298
GLOBAL,S1D1,PWRBIOTZAXX01,T02TZA,2024,0.3039446128136407
GLOBAL,S1D1,PWRBIOTZAXX01,T02TZA,2027,0.3039446128136407
GLOBAL,S1D1,PWRBIOTZAXX01,T02TZA,2028,0.3039446128136407
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2021,1.5711406143383717
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2022,1.5891923433389405
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2023,1.5942335163698496
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2024,1.6720295912180485
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2025,1.7454267877163119
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2026,1.9565295912180487
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2027,2.169529591218048
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2028,2.6772113317848776
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2029,2.6826041358068484
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2030,2.8090295912180485
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2031,3.054029591218048
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2032,3.2995295912180485
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2033,3.545029591218048
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2034,3.7905295912180477
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2035,4.035529591218047
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2036,4.319529591218048
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2037,4.603029591218048
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2038,4.887029591218048
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2039,4.751754190526969
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2040,5.454529591218049
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2041,5.390854853674596
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2042,5.463822642105336
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2043,6.511529591218048
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2044,6.864029591218049
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2045,7.92384179070764
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2046,7.765949356120449
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2047,8.121874811531647
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2048,8.650449356120447
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2049,8.442463133792458
GLOBAL,S1D1,PWRGEOKENXX01,ELCKENXX01,2050,8.864492457550657
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2021,1.5711406143383717
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2022,1.5891923433389405
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2023,1.5942335163698496
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2024,1.6720295912180485
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2025,1.7454267877163119
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2026,1.9565295912180487
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2027,2.169529591218048
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2028,2.6772113317848776
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2029,2.6826041358068484
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2030,2.8090295912180485
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2031,3.054029591218048
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2032,3.2995295912180485
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2033,3.545029591218048
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2034,3.7905295912180477
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2035,4.035529591218047
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2036,4.319529591218048
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2037,4.603029591218048
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2038,4.887029591218048
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2039,4.751754190526969
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2040,5.454529591218049
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2041,5.390854853674596
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2042,5.463822642105336
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2043,6.511529591218048
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2044,6.864029591218049
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2045,7.92384179070764
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2046,7.765949356120449
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2047,8.121874811531647
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2048,8.650449356120447
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2049,8.442463133792458
GLOBAL,S1D1,PWRGEOKENXX01,T01KEN,2050,8.864492457550657
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2021,0.8231311347601603
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2022,1.22557778516089
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2023,1.4177196904659808
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2024,2.5411681563589683
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2025,3.0911127691726086
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2026,3.403612769172609
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2027,3.4116681563589677
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2028,3.7241681563589677
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2029,4.340612769172608
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2030,4.653112769172608
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2031,5.030612769172609
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2032,5.408612769172609
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2033,5.786612769172608
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2034,6.1641127691726085
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2035,6.5384021059576725
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2036,6.982509139163789
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2037,7.426904817451487
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2038,7.871795920129688
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2039,8.316687022807894
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2040,8.7615781254861
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2041,9.287223403817483
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2042,9.812868682148858
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2043,10.338513960480247
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2044,10.864654663202126
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2045,11.390299941533506
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2046,12.042773863835512
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2047,12.780198966072723
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2048,13.338624750268165
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2049,14.12406763707653
GLOBAL,S1D1,PWRGEOTZAXX01,ELCTZAXX01,2050,14.631302745845447
GLOBAL,S1D1,PWRGEOTZAXX01,T02TZA,2021,0.8231311347601603
GLOBAL,S1D1,PWRGEOTZAXX01,T02TZA,2022,1.22557778516089
GLOBAL,S1D1,PWRGEOTZAXX01,T02TZA,2023,1.4177196904659808
