REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,S2D4,MINGASINT,1,2021,12.784295910206708
GLOBAL,S3D4,MINGASINT,1,2021,10.76147955053572
GLOBAL,S3D5,MINGASINT,1,2021,9.481718521240634
GLOBAL,S2D4,MINGASINT,1,2022,12.77472479771828
GLOBAL,S3D4,MINGASINT,1,2022,10.834758863240722
GLOBAL,S3D5,MINGASINT,1,2022,9.554997833945635
GLOBAL,S2D4,MINGASINT,1,2023,17.317834804839865
GLOBAL,S3D4,MINGASINT,1,2023,15.515952912351333
GLOBAL,S3D5,MINGASINT,1,2023,14.236191883056245
GLOBAL,S2D4,MINGASINT,1,2024,16.987706331188544
GLOBAL,S3D4,MINGASINT,1,2024,26.398102872843268
GLOBAL,S3D5,MINGASINT,1,2024,6.921424945902868
GLOBAL,S2D4,MINGASINT,1,2025,15.386854830855317
GLOBAL,S3D4,MINGASINT,1,2025,26.60580764548009
GLOBAL,S3D5,MINGASINT,1,2025,7.372451716760883
GLOBAL,S2D4,MINGASINT,1,2026,15.923836119996077
GLOBAL,S3D4,MINGASINT,1,2026,29.560408658514287
GLOBAL,S3D5,MINGASINT,1,2026,8.127876137318637
GLOBAL,S2D4,MINGASINT,1,2027,16.45747398747163
GLOBAL,S3D4,MINGASINT,1,2027,32.51134681173927
GLOBAL,S3D5,MINGASINT,1,2027,8.879733518329509
GLOBAL,S2D4,MINGASINT,1,2028,16.99445527661249
GLOBAL,S3D4,MINGASINT,1,2028,35.465947824773565
GLOBAL,S3D5,MINGASINT,1,2028,9.635157938887364
GLOBAL,S2D4,MINGASINT,1,2029,17.527791830420927
GLOBAL,S3D4,MINGASINT,1,2029,38.42211060689768
GLOBAL,S3D5,MINGASINT,1,2029,10.387122323538472
GLOBAL,S2D4,MINGASINT,1,2030,18.064773119561696
GLOBAL,S3D4,MINGASINT,1,2030,41.37671161993189
GLOBAL,S3D5,MINGASINT,1,2030,11.142546744096268
GLOBAL,S2D4,MINGASINT,1,2031,18.803136163900113
GLOBAL,S3D4,MINGASINT,1,2031,44.90743762991367
GLOBAL,S3D5,MINGASINT,1,2031,12.14024400772072
GLOBAL,S2D4,MINGASINT,1,2032,22.05447890446131
GLOBAL,S3D4,MINGASINT,1,2032,50.95666927868447
GLOBAL,S3D5,MINGASINT,1,2032,15.651329284875452
GLOBAL,S2D4,MINGASINT,1,2033,22.763041537997225
GLOBAL,S3D4,MINGASINT,1,2033,54.46312082042984
GLOBAL,S3D5,MINGASINT,1,2033,16.61963445500478
GLOBAL,S2D4,MINGASINT,1,2034,23.468299769837714
GLOBAL,S3D4,MINGASINT,1,2034,57.965948522335744
GLOBAL,S3D5,MINGASINT,1,2034,17.58441160555689
GLOBAL,S2D4,MINGASINT,1,2035,24.180507138705597
GLOBAL,S3D4,MINGASINT,1,2035,61.470838294991246
GLOBAL,S3D5,MINGASINT,1,2035,18.55617681159276
GLOBAL,S2D4,MINGASINT,1,2036,25.099029585040565
GLOBAL,S3D4,MINGASINT,1,2036,65.63351070650285
GLOBAL,S3D5,MINGASINT,1,2036,19.780417389504485
GLOBAL,S2D4,MINGASINT,1,2037,26.031513885238272
GLOBAL,S3D4,MINGASINT,1,2037,69.80461902931079
GLOBAL,S3D5,MINGASINT,1,2037,21.0182115039716
GLOBAL,S2D4,MINGASINT,1,2038,26.963696871768686
GLOBAL,S3D4,MINGASINT,1,2038,73.98095198101768
GLOBAL,S3D5,MINGASINT,1,2038,22.256112622078856
GLOBAL,S2D4,MINGASINT,1,2039,27.899524593631575
GLOBAL,S3D4,MINGASINT,1,2039,78.15572316363476
GLOBAL,S3D5,MINGASINT,1,2039,23.49747377609288
GLOBAL,S2D4,MINGASINT,1,2040,28.831707580162043
GLOBAL,S3D4,MINGASINT,1,2040,82.33205611534187
GLOBAL,S3D5,MINGASINT,1,2040,24.73537489420024
GLOBAL,S2D4,MINGASINT,1,2041,29.809539557583427
GLOBAL,S3D4,MINGASINT,1,2041,87.31939758126052
GLOBAL,S3D5,MINGASINT,1,2041,26.08067853923578
GLOBAL,S2D4,MINGASINT,1,2042,30.79101627033648
GLOBAL,S3D4,MINGASINT,1,2042,92.30517727808945
GLOBAL,S3D5,MINGASINT,1,2042,27.42944222017775
GLOBAL,S2D4,MINGASINT,1,2043,31.76884824775776
GLOBAL,S3D4,MINGASINT,1,2043,97.42563220000808
GLOBAL,S3D5,MINGASINT,1,2043,28.774745865213298
GLOBAL,S2D4,MINGASINT,1,2044,32.75002364684386
GLOBAL,S3D4,MINGASINT,1,2044,102.41663652573628
GLOBAL,S3D5,MINGASINT,1,2044,30.12361654979557
GLOBAL,S2D4,MINGASINT,1,2045,33.67163649167273
GLOBAL,S3D4,MINGASINT,1,2045,107.42806788997072
GLOBAL,S3D5,MINGASINT,1,2045,29.981205963350593
GLOBAL,S2D4,MINGASINT,1,2046,34.852976790883325
GLOBAL,S3D4,MINGASINT,1,2046,113.6326581341312
GLOBAL,S3D5,MINGASINT,1,2046,31.620325305093097
GLOBAL,S2D4,MINGASINT,1,2047,36.06376924122116
GLOBAL,S3D4,MINGASINT,1,2047,119.87190703384132
GLOBAL,S3D5,MINGASINT,1,2047,33.255984610930206
GLOBAL,S2D4,MINGASINT,1,2048,35.95343341319894
GLOBAL,S3D4,MINGASINT,1,2048,126.58270159621354
GLOBAL,S3D5,MINGASINT,1,2048,34.89510395267094
GLOBAL,S2D4,MINGASINT,1,2049,37.131430290740354
GLOBAL,S3D4,MINGASINT,1,2049,132.7836289805662
GLOBAL,S3D5,MINGASINT,1,2049,36.53065625486642
GLOBAL,S2D4,MINGASINT,1,2050,38.312770589954575
GLOBAL,S3D4,MINGASINT,1,2050,138.9882192247255
GLOBAL,S3D5,MINGASINT,1,2050,38.169775596609114
GLOBAL,S3D4,MINOILINT,1,2021,10.05520241864108
GLOBAL,S3D4,MINOILINT,1,2022,11.087634868224646
GLOBAL,S3D4,MINOILINT,1,2023,7.239813250702211
GLOBAL,S1D2,PWRBIOKENXX01,1,2021,1.9172889637170345
GLOBAL,S1D3,PWRBIOKENXX01,1,2021,2.8382400000000003
GLOBAL,S1D4,PWRBIOKENXX01,1,2021,2.8382400000000003
GLOBAL,S1D5,PWRBIOKENXX01,1,2021,2.8382400000000003
GLOBAL,S2D6,PWRBIOKENXX01,1,2021,2.83824
GLOBAL,S2D2,PWRBIOKENXX01,1,2021,1.8125156906856423
GLOBAL,S2D3,PWRBIOKENXX01,1,2021,1.943934501277104
GLOBAL,S2D4,PWRBIOKENXX01,1,2021,2.83824
GLOBAL,S2D5,PWRBIOKENXX01,1,2021,2.83824
GLOBAL,S3D4,PWRBIOKENXX01,1,2021,2.83824
GLOBAL,S1D2,PWRBIOKENXX01,1,2022,1.0791215843348607
GLOBAL,S1D3,PWRBIOKENXX01,1,2022,2.8382400000000003
GLOBAL,S1D4,PWRBIOKENXX01,1,2022,0.6495996424866376
GLOBAL,S1D5,PWRBIOKENXX01,1,2022,2.8382400000000003
GLOBAL,S2D6,PWRBIOKENXX01,1,2022,2.83824
GLOBAL,S2D2,PWRBIOKENXX01,1,2022,1.0566282699320602
GLOBAL,S2D3,PWRBIOKENXX01,1,2022,2.83824
GLOBAL,S2D4,PWRBIOKENXX01,1,2022,2.83824
GLOBAL,S2D5,PWRBIOKENXX01,1,2022,2.83824
GLOBAL,S3D2,PWRBIOKENXX01,1,2022,2.8382399999999994
GLOBAL,S3D4,PWRBIOKENXX01,1,2022,2.83824
GLOBAL,S1D6,PWRBIOKENXX01,1,2023,2.8382400000000003
GLOBAL,S1D2,PWRBIOKENXX01,1,2023,2.8382400000000003
GLOBAL,S1D3,PWRBIOKENXX01,1,2023,2.8382400000000003
GLOBAL,S1D4,PWRBIOKENXX01,1,2023,0.4686017792550417
GLOBAL,S1D5,PWRBIOKENXX01,1,2023,2.8382400000000003
GLOBAL,S2D6,PWRBIOKENXX01,1,2023,2.83824
GLOBAL,S2D2,PWRBIOKENXX01,1,2023,1.2655330847650963
GLOBAL,S2D3,PWRBIOKENXX01,1,2023,1.9150737695650968
GLOBAL,S2D4,PWRBIOKENXX01,1,2023,2.7906759159507466
GLOBAL,S2D5,PWRBIOKENXX01,1,2023,2.1067098008369944
GLOBAL,S3D4,PWRBIOKENXX01,1,2023,2.83824
GLOBAL,S1D2,PWRBIOKENXX01,1,2024,1.4643900524762252
GLOBAL,S1D3,PWRBIOKENXX01,1,2024,8.153066976179547
GLOBAL,S1D4,PWRBIOKENXX01,1,2024,2.1633493140440665
GLOBAL,S1D5,PWRBIOKENXX01,1,2024,3.187102482044065
GLOBAL,S2D6,PWRBIOKENXX01,1,2024,8.153066976179545
GLOBAL,S2D1,PWRBIOKENXX01,1,2024,8.153066976179545
GLOBAL,S2D2,PWRBIOKENXX01,1,2024,3.02320938671089
GLOBAL,S2D3,PWRBIOKENXX01,1,2024,3.1603488488863407
GLOBAL,S2D4,PWRBIOKENXX01,1,2024,8.153066976179545
GLOBAL,S2D5,PWRBIOKENXX01,1,2024,3.9163901165943136
GLOBAL,S3D1,PWRBIOKENXX01,1,2024,6.43162702091375
GLOBAL,S3D3,PWRBIOKENXX01,1,2024,0.8687597020300025
GLOBAL,S3D4,PWRBIOKENXX01,1,2024,8.153066976179545
GLOBAL,S3D5,PWRBIOKENXX01,1,2024,8.153066976179545
GLOBAL,S1D2,PWRBIOKENXX01,1,2025,9.317386348696605
GLOBAL,S1D3,PWRBIOKENXX01,1,2025,9.317386348696605
GLOBAL,S1D4,PWRBIOKENXX01,1,2025,3.096234648636372
GLOBAL,S1D5,PWRBIOKENXX01,1,2025,4.119987816636371
GLOBAL,S2D6,PWRBIOKENXX01,1,2025,9.3173863486966
GLOBAL,S2D2,PWRBIOKENXX01,1,2025,9.3173863486966
GLOBAL,S2D3,PWRBIOKENXX01,1,2025,4.034231144280786
GLOBAL,S2D4,PWRBIOKENXX01,1,2025,9.3173863486966
