REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S1D2,6.058633125345829
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S1D3,8.968838400000001
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S1D4,8.968838400000001
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S1D5,8.968838400000001
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S2D6,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S2D2,5.72754958256663
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S2D3,6.1428330240356495
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S2D4,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S2D5,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S3D4,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S1D2,3.41002420649816
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S1D3,8.968838400000001
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S1D4,2.052734870257775
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S1D5,8.968838400000001
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S2D6,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S2D2,3.3389453329853103
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S2D3,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S2D4,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S2D5,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S3D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S3D4,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2023,S1D6,8.968838400000001
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2023,S1D2,8.968838400000001
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2023,S1D3,8.968838400000001
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2023,S1D4,1.4807816224459318
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2023,S1D5,8.968838400000001
