REGION,STORAGE,SEASON,DAYTYPE,YEAR,VALUE
GLOBAL,SDSKENXX01,1,1,2034,5.392e-07
GLOBAL,SDSKENXX01,2,1,2022,5.392e-07
GLOBAL,SDSKENXX01,2,1,2024,5.392e-07
GLOBAL,SDSKENXX01,2,1,2025,5.392e-07
GLOBAL,SDSKENXX01,2,1,2027,5.392e-07
GLOBAL,SDSKENXX01,2,1,2028,5.392e-07
GLOBAL,SDSKENXX01,2,1,2029,5.392e-07
GLOBAL,SDSKENXX01,2,1,2030,5.392e-07
GLOBAL,SDSKENXX01,2,1,2032,5.392e-07
GLOBAL,SDSKENXX01,2,1,2033,5.392e-07
GLOBAL,SDSKENXX01,2,1,2034,5.392e-07
GLOBAL,SDSKENXX01,3,1,2021,5.392e-07
GLOBAL,SDSKENXX01,3,1,2022,5.392e-07
GLOBAL,SDSKENXX01,3,1,2023,5.392e-07
