REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINGASINT,2021,12.784295910206708
GLOBAL,MINGASINT,2022,12.77472479771828
GLOBAL,MINGASINT,2023,17.317834804839865
GLOBAL,MINGASINT,2024,26.398102872843268
GLOBAL,MINGASINT,2025,26.60580764548009
GLOBAL,MINGASINT,2026,29.560408658514287
GLOBAL,MINGASINT,2027,32.51134681173927
GLOBAL,MINGASINT,2028,35.465947824773565
GLOBAL,MINGASINT,2029,38.42211060689768
GLOBAL,MINGASINT,2030,41.37671161993189
GLOBAL,MINGASINT,2031,44.90743762991367
GLOBAL,MINGASINT,2032,50.95666927868447
GLOBAL,MINGASINT,2033,54.46312082042984
GLOBAL,MINGASINT,2034,57.965948522335744
GLOBAL,MINGASINT,2035,61.470838294991246
GLOBAL,MINGASINT,2036,65.63351070650285
GLOBAL,MINGASINT,2037,69.80461902931079
GLOBAL,MINGASINT,2038,73.98095198101768
GLOBAL,MINGASINT,2039,78.15572316363476
GLOBAL,MINGASINT,2040,82.33205611534187
GLOBAL,MINGASINT,2041,87.31939758126052
GLOBAL,MINGASINT,2042,92.30517727808945
GLOBAL,MINGASINT,2043,97.42563220000808
GLOBAL,MINGASINT,2044,102.41663652573628
GLOBAL,MINGASINT,2045,107.42806788997072
GLOBAL,MINGASINT,2046,113.6326581341312
GLOBAL,MINGASINT,2047,119.87190703384132
GLOBAL,MINGASINT,2048,126.58270159621354
GLOBAL,MINGASINT,2049,132.7836289805662
GLOBAL,MINGASINT,2050,138.9882192247255
GLOBAL,MINOILINT,2021,10.05520241864108
GLOBAL,MINOILINT,2022,11.087634868224646
GLOBAL,MINOILINT,2023,7.239813250702211
GLOBAL,PWRBIOKENXX01,2021,0.09
GLOBAL,PWRBIOKENXX01,2022,0.09
GLOBAL,PWRBIOKENXX01,2023,0.09
GLOBAL,PWRBIOKENXX01,2024,0.25853205784435385
GLOBAL,PWRBIOKENXX01,2025,0.295452382949537
GLOBAL,PWRBIOKENXX01,2026,0.33281483768888553
GLOBAL,PWRBIOKENXX01,2027,0.3701772924282351
GLOBAL,PWRBIOKENXX01,2028,0.4075397471675836
GLOBAL,PWRBIOKENXX01,2029,0.44498990719974874
GLOBAL,PWRBIOKENXX01,2030,0.4823523619390963
GLOBAL,PWRBIOKENXX01,2031,0.5253279554186308
GLOBAL,PWRBIOKENXX01,2032,0.5653146504713393
GLOBAL,PWRBIOKENXX01,2033,0.609266688845356
GLOBAL,PWRBIOKENXX01,2034,0.6532175516378915
GLOBAL,PWRBIOKENXX01,2035,0.697081884719096
GLOBAL,PWRBIOKENXX01,2036,0.7473100515343438
GLOBAL,PWRBIOKENXX01,2037,0.7970389525606604
GLOBAL,PWRBIOKENXX01,2038,0.8468555588797928
GLOBAL,PWRBIOKENXX01,2039,0.896584459906109
GLOBAL,PWRBIOKENXX01,2040,0.9464010662252436
GLOBAL,PWRBIOKENXX01,2041,1.0082332976600776
GLOBAL,PWRBIOKENXX01,2042,1.0699778238021025
GLOBAL,PWRBIOKENXX01,2043,1.1318100552369383
GLOBAL,PWRBIOKENXX01,2044,1.1936422866717775
GLOBAL,PWRBIOKENXX01,2045,1.2540410535444555
GLOBAL,PWRBIOKENXX01,2046,1.3315725323932457
GLOBAL,PWRBIOKENXX01,2047,1.41043122319973
GLOBAL,PWRBIOKENXX01,2048,1.508742721569618
GLOBAL,PWRBIOKENXX01,2049,1.5862742004184085
GLOBAL,PWRBIOKENXX01,2050,1.6638056792672005
GLOBAL,PWRBIOTZAXX01,2021,0.14607720385411094
GLOBAL,PWRBIOTZAXX01,2022,0.1706316647501548
GLOBAL,PWRBIOTZAXX01,2023,0.1758762855274893
GLOBAL,PWRBIOTZAXX01,2024,0.1758762855274893
GLOBAL,PWRBIOTZAXX01,2025,0.1758762855274893
GLOBAL,PWRBIOTZAXX01,2026,0.1758762855274893
GLOBAL,PWRBIOTZAXX01,2027,0.1758762855274893
GLOBAL,PWRBIOTZAXX01,2028,0.1758762855274893
GLOBAL,PWRBIOTZAXX01,2029,0.1758762855274893
GLOBAL,PWRBIOTZAXX01,2030,0.1758762855274893
GLOBAL,PWRBIOTZAXX01,2031,0.1758762855274893
GLOBAL,PWRBIOTZAXX01,2032,0.10587628552748928
GLOBAL,PWRBIOTZAXX01,2033,0.10587628552748928
GLOBAL,PWRBIOTZAXX01,2034,0.10587628552748928
GLOBAL,PWRBIOTZAXX01,2035,0.10587628552748928
GLOBAL,PWRBIOTZAXX01,2036,0.10587628552748928
