REGION,YEAR,VALUE
GLOBAL,2021,3323.9751687021394
GLOBAL,2022,732.2889536281642
GLOBAL,2023,588.8155732474464
GLOBAL,2024,3236.510382567554
GLOBAL,2025,861.6779859262052
GLOBAL,2026,955.8358336156106
GLOBAL,2027,961.1715258399809
GLOBAL,2028,806.7007183061055
GLOBAL,2029,740.7290918908534
GLOBAL,2030,697.2500162063234
GLOBAL,2031,694.293095593346
GLOBAL,2032,738.8182905867294
GLOBAL,2033,577.7905436943009
GLOBAL,2034,525.0000568368114
GLOBAL,2035,476.52863206405925
GLOBAL,2036,478.51265210704315
GLOBAL,2037,432.44768675945215
GLOBAL,2038,390.66670129026943
GLOBAL,2039,351.6439715471857
GLOBAL,2040,319.9792841701104
GLOBAL,2041,316.00800385870014
GLOBAL,2042,285.3481888587347
GLOBAL,2043,256.6447547824223
GLOBAL,2044,224.23992729656777
GLOBAL,2045,200.83522287685562
GLOBAL,2046,191.37135132191085
GLOBAL,2047,165.84104899143009
GLOBAL,2048,144.85401924224965
GLOBAL,2049,119.54947798828353
GLOBAL,2050,99.35880158955379
