REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINGASINT,2021,1.8460235627515598
GLOBAL,MINGASINT,2022,1.8536489816650474
GLOBAL,MINGASINT,2023,2.6304567811362025
GLOBAL,MINGASINT,2024,2.810606795316956
GLOBAL,MINGASINT,2025,2.7573302879708907
GLOBAL,MINGASINT,2026,2.9941570530716732
GLOBAL,MINGASINT,2027,3.230393212480737
GLOBAL,MINGASINT,2028,3.4672199775815358
GLOBAL,MINGASINT,2029,3.7037361750949502
GLOBAL,MINGASINT,2030,3.9405629401957354
GLOBAL,MINGASINT,2031,4.234292119627422
GLOBAL,MINGASINT,2032,4.949527234421013
GLOBAL,MINGASINT,2033,5.238592403277153
GLOBAL,MINGASINT,2034,5.527073506188499
GLOBAL,MINGASINT,2035,5.816449242631983
GLOBAL,MINGASINT,2036,6.168121257626888
GLOBAL,MINGASINT,2037,6.52180274105422
GLOBAL,MINGASINT,2038,6.875764262585877
GLOBAL,MINGASINT,2039,7.230036351704925
GLOBAL,MINGASINT,2040,7.583997873236602
GLOBAL,MINGASINT,2041,7.991680363047832
GLOBAL,MINGASINT,2042,8.399673420446394
GLOBAL,MINGASINT,2043,8.814770329756817
GLOBAL,MINGASINT,2044,9.22304342525975
GLOBAL,MINGASINT,2045,9.546042524462004
GLOBAL,MINGASINT,2046,10.049328473212435
GLOBAL,MINGASINT,2047,10.556007395970404
GLOBAL,MINGASINT,2048,11.014896726894644
GLOBAL,MINGASINT,2049,11.517592069953205
GLOBAL,MINGASINT,2050,12.020878018703785
GLOBAL,MINOILINT,2021,0.5600747747183081
GLOBAL,MINOILINT,2022,0.6175812621601128
GLOBAL,MINOILINT,2023,0.40325759806411315
GLOBAL,PWRBIOKENXX01,2021,1.4194038239999998
GLOBAL,PWRBIOKENXX01,2022,1.4194038239999998
GLOBAL,PWRBIOKENXX01,2023,1.4194038240000042
GLOBAL,PWRBIOKENXX01,2024,4.077348794787371
GLOBAL,PWRBIOKENXX01,2025,4.65962491298317
GLOBAL,PWRBIOKENXX01,2026,5.248873925550484
GLOBAL,PWRBIOKENXX01,2027,5.83812293811781
GLOBAL,PWRBIOKENXX01,2028,6.427371950685124
GLOBAL,PWRBIOKENXX01,2029,7.018004176896982
GLOBAL,PWRBIOKENXX01,2030,7.607253189464274
GLOBAL,PWRBIOKENXX01,2031,8.285027875281166
GLOBAL,PWRBIOKENXX01,2032,8.915664184913819
GLOBAL,PWRBIOKENXX01,2033,9.60883853314352
GLOBAL,PWRBIOKENXX01,2034,10.301994341097117
GLOBAL,PWRBIOKENXX01,2035,10.993785475682357
GLOBAL,PWRBIOKENXX01,2036,11.785941609572063
GLOBAL,PWRBIOKENXX01,2037,12.570223746017303
GLOBAL,PWRBIOKENXX01,2038,13.355889096107052
GLOBAL,PWRBIOKENXX01,2039,14.140171232552317
GLOBAL,PWRBIOKENXX01,2040,14.92583658264209
GLOBAL,PWRBIOKENXX01,2041,15.901002202031663
GLOBAL,PWRBIOKENXX01,2042,16.874784607776718
GLOBAL,PWRBIOKENXX01,2043,17.84995022716632
GLOBAL,PWRBIOKENXX01,2044,18.82511584655584
GLOBAL,PWRBIOKENXX01,2045,19.777674076155424
GLOBAL,PWRBIOKENXX01,2046,21.00043493791482
GLOBAL,PWRBIOKENXX01,2047,22.24412746331879
GLOBAL,PWRBIOKENXX01,2048,23.794613204756494
GLOBAL,PWRBIOKENXX01,2049,25.017374066515913
GLOBAL,PWRBIOKENXX01,2050,26.24013492827539
GLOBAL,PWRBIOTZAXX01,2021,2.3038060194416947
GLOBAL,PWRBIOTZAXX01,2022,2.6910581937983955
GLOBAL,PWRBIOTZAXX01,2023,2.773771913651493
GLOBAL,PWRBIOTZAXX01,2024,2.773771913651495
GLOBAL,PWRBIOTZAXX01,2025,2.7737719136514922
GLOBAL,PWRBIOTZAXX01,2026,2.7737719136514953
GLOBAL,PWRBIOTZAXX01,2027,2.7737719136514944
GLOBAL,PWRBIOTZAXX01,2028,2.773771913651495
GLOBAL,PWRBIOTZAXX01,2029,2.7737719136514927
GLOBAL,PWRBIOTZAXX01,2030,2.7737719136514905
GLOBAL,PWRBIOTZAXX01,2031,2.7737719136514896
GLOBAL,PWRBIOTZAXX01,2032,1.6697911616515047
GLOBAL,PWRBIOTZAXX01,2033,1.6697911616515082
GLOBAL,PWRBIOTZAXX01,2034,1.6697911616515
GLOBAL,PWRBIOTZAXX01,2035,1.6697911616514993
GLOBAL,PWRBIOTZAXX01,2036,1.6697911616514949
GLOBAL,PWRBIOTZAXX01,2037,1.6697911616515035
GLOBAL,PWRBIOTZAXX01,2038,1.6697911616514858
GLOBAL,PWRBIOTZAXX01,2039,1.6697911616514838
GLOBAL,PWRBIOTZAXX01,2040,1.6697911616514876
GLOBAL,PWRBIOTZAXX01,2041,1.6697911616514962
GLOBAL,PWRBIOTZAXX01,2042,1.669791161651482
GLOBAL,PWRBIOTZAXX01,2043,1.669791161651509
GLOBAL,PWRBIOTZAXX01,2044,1.669791161651491
GLOBAL,PWRBIOTZAXX01,2045,1.6697911616515
GLOBAL,PWRBIOTZAXX01,2046,1.6697911616514949
GLOBAL,PWRBIOTZAXX01,2047,1.6697911616514973
GLOBAL,PWRBIOTZAXX01,2048,1.669791161651512
GLOBAL,PWRBIOTZAXX01,2049,1.669791161651512
GLOBAL,PWRBIOTZAXX01,2050,1.6697911616514949
GLOBAL,PWRCCGTZAXX00,2021,0.7473779606281619
GLOBAL,PWRCCGTZAXX00,2022,0.7504651747631772
GLOBAL,PWRCCGTZAXX00,2023,0.9892437385348345
GLOBAL,PWRCCGTZAXX00,2024,0.5944019487469858
GLOBAL,PWRCCGTZAXX01,2023,0.09351237347758068
GLOBAL,PWRCCGTZAXX01,2024,0.5800154104666603
GLOBAL,PWRCCGTZAXX01,2025,1.0662173080981454
GLOBAL,PWRCCGTZAXX01,2026,1.1172999813381044
GLOBAL,PWRCCGTZAXX01,2027,1.1680962480845158
GLOBAL,PWRCCGTZAXX01,2028,1.2191789213244821
GLOBAL,PWRCCGTZAXX01,2029,1.2699613096226003
GLOBAL,PWRCCGTZAXX01,2030,1.3210439828625593
GLOBAL,PWRCCGTZAXX01,2031,1.3901412639852335
GLOBAL,PWRCCGTZAXX01,2032,1.6698376152883943
GLOBAL,PWRCCGTZAXX01,2033,1.7364489936228278
GLOBAL,PWRCCGTZAXX01,2034,1.8027772353371803
GLOBAL,PWRCCGTZAXX01,2035,1.8696888986134392
GLOBAL,PWRCCGTZAXX01,2036,1.955175329580715
GLOBAL,PWRCCGTZAXX01,2037,2.041820392264687
GLOBAL,PWRCCGTZAXX01,2038,2.128451576500356
GLOBAL,PWRCCGTZAXX01,2039,2.215383045677874
GLOBAL,PWRCCGTZAXX01,2040,2.3020142299135418
GLOBAL,PWRCCGTZAXX01,2041,2.394190635564504
GLOBAL,PWRCCGTZAXX01,2042,2.486667326157274
GLOBAL,PWRCCGTZAXX01,2043,2.5788437318082407
GLOBAL,PWRCCGTZAXX01,2044,2.6713065439527193
GLOBAL,PWRCCGTZAXX01,2045,2.7189046477884053
GLOBAL,PWRCCGTZAXX01,2046,2.8306501111967655
GLOBAL,PWRCCGTZAXX01,2047,2.9377737708828975
GLOBAL,PWRCCGTZAXX01,2048,2.9834232445503712
GLOBAL,PWRCCGTZAXX01,2049,3.0948823014649527
GLOBAL,PWRCCGTZAXX01,2050,3.206627764873522
GLOBAL,PWRGEOKENXX01,2021,30.431477356613886
GLOBAL,PWRGEOKENXX01,2022,32.132068329631245
GLOBAL,PWRGEOKENXX01,2023,32.132068329631274
GLOBAL,PWRGEOKENXX01,2024,32.13206832963124
GLOBAL,PWRGEOKENXX01,2025,32.701709521546704
GLOBAL,PWRGEOKENXX01,2026,36.46033734919484
GLOBAL,PWRGEOKENXX01,2027,40.21896517684294
GLOBAL,PWRGEOKENXX01,2028,43.97759300449107
GLOBAL,PWRGEOKENXX01,2029,47.74504390215713
GLOBAL,PWRGEOKENXX01,2030,51.50367172980528
GLOBAL,PWRGEOKENXX01,2031,55.82697603860239
GLOBAL,PWRGEOKENXX01,2032,60.24644227910925
GLOBAL,PWRGEOKENXX01,2033,64.55334005014136
GLOBAL,PWRGEOKENXX01,2034,68.86027119367048
GLOBAL,PWRGEOKENXX01,2035,73.15834589468457
GLOBAL,PWRGEOKENXX01,2036,78.1581662540422
GLOBAL,PWRGEOKENXX01,2037,83.16084695422174
GLOBAL,PWRGEOKENXX01,2038,88.17235072441923
GLOBAL,PWRGEOKENXX01,2039,93.17503142459874
GLOBAL,PWRGEOKENXX01,2040,98.18653519479622
GLOBAL,PWRGEOKENXX01,2041,104.40679955745333
GLOBAL,PWRGEOKENXX01,2042,110.61824085009248
GLOBAL,PWRGEOKENXX01,2043,116.83850521274954
GLOBAL,PWRGEOKENXX01,2044,123.05876957540671
GLOBAL,PWRGEOKENXX01,2045,130.1621150211533
GLOBAL,PWRGEOKENXX01,2046,137.96170891702405
GLOBAL,PWRGEOKENXX01,2047,145.7502417329127
GLOBAL,PWRGEOKENXX01,2048,155.07552385695817
GLOBAL,PWRGEOKENXX01,2049,162.8751177528289
GLOBAL,PWRGEOKENXX01,2050,170.6747116486996
GLOBAL,PWRGEOTZAXX01,2021,21.812990609561925
GLOBAL,PWRGEOTZAXX01,2022,24.483086764812597
GLOBAL,PWRGEOTZAXX01,2023,28.18901915802082
GLOBAL,PWRGEOTZAXX01,2024,55.51610998467907
GLOBAL,PWRGEOTZAXX01,2025,60.65633395655267
GLOBAL,PWRGEOTZAXX01,2026,66.72343754933435
GLOBAL,PWRGEOTZAXX01,2027,72.78083377636759
GLOBAL,PWRGEOTZAXX01,2028,78.84793736914925
GLOBAL,PWRGEOTZAXX01,2029,84.91504096193093
GLOBAL,PWRGEOTZAXX01,2030,90.9821445547126
GLOBAL,PWRGEOTZAXX01,2031,98.31120569479286
GLOBAL,PWRGEOTZAXX01,2032,106.50593690448012
GLOBAL,PWRGEOTZAXX01,2033,113.85798265893848
GLOBAL,PWRGEOTZAXX01,2034,121.20030348515026
GLOBAL,PWRGEOTZAXX01,2035,128.55234923960865
GLOBAL,PWRGEOTZAXX01,2036,137.27571215425394
GLOBAL,PWRGEOTZAXX01,2037,145.9832192306142
GLOBAL,PWRGEOTZAXX01,2038,154.70043367272294
GLOBAL,PWRGEOTZAXX01,2039,163.41764811483165
GLOBAL,PWRGEOTZAXX01,2040,172.13486255694036
GLOBAL,PWRGEOTZAXX01,2041,182.43437761604653
GLOBAL,PWRGEOTZAXX01,2042,192.73389267515273
GLOBAL,PWRGEOTZAXX01,2043,203.03340773425887
GLOBAL,PWRGEOTZAXX01,2044,213.3426301591135
GLOBAL,PWRGEOTZAXX01,2045,223.64214521821964
GLOBAL,PWRGEOTZAXX01,2046,236.42674590892923
GLOBAL,PWRGEOTZAXX01,2047,249.21134659963874
GLOBAL,PWRGEOTZAXX01,2048,261.9959472903483
GLOBAL,PWRGEOTZAXX01,2049,274.77084061530957
GLOBAL,PWRGEOTZAXX01,2050,287.55544130601896
GLOBAL,PWRHYDKENXX01,2021,11.180802176574499
GLOBAL,PWRHYDKENXX01,2022,11.180802176574497
GLOBAL,PWRHYDKENXX01,2023,11.180802176574499
GLOBAL,PWRHYDKENXX01,2024,11.180802176574499
GLOBAL,PWRHYDKENXX01,2025,11.180802176574497
GLOBAL,PWRHYDKENXX01,2026,11.1808021765745
GLOBAL,PWRHYDKENXX01,2027,11.180802176574499
GLOBAL,PWRHYDKENXX01,2028,11.180802176574497
GLOBAL,PWRHYDKENXX01,2029,11.180802176574497
GLOBAL,PWRHYDKENXX01,2030,11.180802176574497
GLOBAL,PWRHYDKENXX01,2031,11.180802176574497
GLOBAL,PWRHYDKENXX01,2032,11.180802176574497
GLOBAL,PWRHYDKENXX01,2033,11.180802176574497
GLOBAL,PWRHYDKENXX01,2034,11.180802176574497
GLOBAL,PWRHYDKENXX01,2035,11.180802176574497
GLOBAL,PWRHYDKENXX01,2036,11.180802176574497
GLOBAL,PWRHYDKENXX01,2037,11.180802176574497
GLOBAL,PWRHYDKENXX01,2038,11.180802176574497
GLOBAL,PWRHYDKENXX01,2039,11.180802176574497
GLOBAL,PWRHYDKENXX01,2040,11.180802176574497
GLOBAL,PWRHYDKENXX01,2041,11.180802176574497
GLOBAL,PWRHYDKENXX01,2042,11.180802176574497
GLOBAL,PWRHYDKENXX01,2043,11.180802176574499
GLOBAL,PWRHYDKENXX01,2044,11.180802176574497
GLOBAL,PWRHYDKENXX01,2045,11.180802176574497
GLOBAL,PWRHYDKENXX01,2046,11.180802176574497
GLOBAL,PWRHYDKENXX01,2047,11.180802176574497
GLOBAL,PWRHYDKENXX01,2048,11.180802176574497
GLOBAL,PWRHYDKENXX01,2049,11.180802176574497
GLOBAL,PWRHYDKENXX01,2050,11.180802176574497
GLOBAL,PWRHYDTZAXX01,2021,7.46508670612531
GLOBAL,PWRHYDTZAXX01,2022,7.46508670612531
GLOBAL,PWRHYDTZAXX01,2023,7.46508670612531
GLOBAL,PWRHYDTZAXX01,2024,7.46508670612531
GLOBAL,PWRHYDTZAXX01,2025,7.46508670612531
GLOBAL,PWRHYDTZAXX01,2026,7.46508670612531
GLOBAL,PWRHYDTZAXX01,2027,7.46508670612531
GLOBAL,PWRHYDTZAXX01,2028,7.46508670612531
GLOBAL,PWRHYDTZAXX01,2029,7.46508670612531
GLOBAL,PWRHYDTZAXX01,2030,7.46508670612531
GLOBAL,PWRHYDTZAXX01,2031,7.46508670612531
GLOBAL,PWRHYDTZAXX01,2032,7.46508670612531
GLOBAL,PWRHYDTZAXX01,2033,7.46508670612531
GLOBAL,PWRHYDTZAXX01,2034,7.46508670612531
GLOBAL,PWRHYDTZAXX01,2035,7.46508670612531
GLOBAL,PWRHYDTZAXX01,2036,7.465086706125309
GLOBAL,PWRHYDTZAXX01,2037,7.46508670612531
GLOBAL,PWRHYDTZAXX01,2038,7.465086706125309
GLOBAL,PWRHYDTZAXX01,2039,7.465086706125311
GLOBAL,PWRHYDTZAXX01,2040,7.4650867061253114
GLOBAL,PWRHYDTZAXX01,2041,7.465086706125311
GLOBAL,PWRHYDTZAXX01,2042,7.465086706125311
GLOBAL,PWRHYDTZAXX01,2043,7.4650867061253114
GLOBAL,PWRHYDTZAXX01,2044,7.465086706125313
GLOBAL,PWRHYDTZAXX01,2045,7.465086706125313
GLOBAL,PWRHYDTZAXX01,2046,7.46508670612531
GLOBAL,PWRHYDTZAXX01,2047,7.465086706125309
GLOBAL,PWRHYDTZAXX01,2048,7.46508670612531
GLOBAL,PWRHYDTZAXX01,2049,7.465086706125307
GLOBAL,PWRHYDTZAXX01,2050,7.46508670612531
GLOBAL,PWRLDSTZAXX01,2049,2.5141000392636665e-13
GLOBAL,PWROCGTZAXX00,2024,0.06537747705325456
GLOBAL,PWROCGTZAXX00,2025,0.1106629776
GLOBAL,PWROCGTZAXX00,2026,0.1106629776
GLOBAL,PWROCGTZAXX00,2027,0.1106629776
GLOBAL,PWROCGTZAXX00,2028,0.1106629776
GLOBAL,PWROCGTZAXX00,2029,0.1106629776
GLOBAL,PWROCGTZAXX00,2030,0.1106629776
GLOBAL,PWROCGTZAXX00,2031,0.1106629776
GLOBAL,PWROCGTZAXX00,2032,0.1106629776
GLOBAL,PWROCGTZAXX00,2033,0.1106629776
GLOBAL,PWROCGTZAXX00,2034,0.1106629776
GLOBAL,PWROCGTZAXX00,2035,0.1106629776
GLOBAL,PWROCGTZAXX00,2036,0.1106629776
GLOBAL,PWROCGTZAXX00,2037,0.1106629776
GLOBAL,PWROCGTZAXX00,2038,0.1106629776
GLOBAL,PWROCGTZAXX00,2039,0.1106629776
GLOBAL,PWROCGTZAXX00,2040,0.1106629776
GLOBAL,PWROCGTZAXX00,2041,0.1106629776
GLOBAL,PWROCGTZAXX00,2042,0.1106629776
GLOBAL,PWROCGTZAXX01,2025,0.1106566203257263
GLOBAL,PWROCGTZAXX01,2026,0.15779047353568926
GLOBAL,PWROCGTZAXX01,2027,0.20491809898764615
GLOBAL,PWROCGTZAXX01,2028,0.2520519521976099
GLOBAL,PWROCGTZAXX01,2029,0.2992873112865764
GLOBAL,PWROCGTZAXX01,2030,0.3464211644965408
GLOBAL,PWROCGTZAXX01,2031,0.4008610025036593
GLOBAL,PWROCGTZAXX01,2032,0.45540857414778596
GLOBAL,PWROCGTZAXX01,2033,0.5099561457919135
GLOBAL,PWROCGTZAXX01,2034,0.5644974896780326
GLOBAL,PWROCGTZAXX01,2035,0.6189435554431592
GLOBAL,PWROCGTZAXX01,2036,0.6821914214075808
GLOBAL,PWROCGTZAXX01,2037,0.7453315537349827
GLOBAL,PWROCGTZAXX01,2038,0.8085794196993928
GLOBAL,PWROCGTZAXX01,2039,0.8717257797848013
GLOBAL,PWROCGTZAXX01,2040,0.9349736457492187
GLOBAL,PWROCGTZAXX01,2041,1.0131429416922726
GLOBAL,PWROCGTZAXX01,2042,1.0912107317563335
GLOBAL,PWROCGTZAXX01,2043,1.2800430052993823
GLOBAL,PWROCGTZAXX01,2044,1.3582185290004587
GLOBAL,PWROCGTZAXX01,2045,1.437953527786207
GLOBAL,PWROCGTZAXX01,2046,1.535886682120723
GLOBAL,PWROCGTZAXX01,2047,1.6382428611146682
GLOBAL,PWROCGTZAXX01,2048,1.7669059285242918
GLOBAL,PWROCGTZAXX01,2049,1.86483285510091
GLOBAL,PWROCGTZAXX01,2050,1.962766009435331
GLOBAL,PWROILKENXX01,2021,0.2014657463015497
GLOBAL,PWROILKENXX01,2022,0.22215153315111966
GLOBAL,PWROILKENXX01,2023,0.1450566899511199
GLOBAL,PWRSDSKENXX01,2021,0.004098596565758694
GLOBAL,PWRSDSKENXX01,2022,0.00423465408
GLOBAL,PWRSDSKENXX01,2023,0.002228
GLOBAL,PWRSDSKENXX01,2024,0.004476
GLOBAL,PWRSDSKENXX01,2025,0.004476
GLOBAL,PWRSDSKENXX01,2026,0.0044760000000000025
GLOBAL,PWRSDSKENXX01,2027,0.004476
GLOBAL,PWRSDSKENXX01,2028,0.004476
GLOBAL,PWRSDSKENXX01,2029,0.0044760000000000025
GLOBAL,PWRSDSKENXX01,2030,0.004476
GLOBAL,PWRSDSKENXX01,2031,0.004476
GLOBAL,PWRSDSKENXX01,2032,0.004476
GLOBAL,PWRSDSKENXX01,2033,0.004476
GLOBAL,PWRSDSKENXX01,2034,0.004476
GLOBAL,PWRSDSKENXX01,2035,0.004476
