REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2039,1.3233302661838084
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2041,1.3151121706373083
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2042,2.1968539591961664
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2045,0.22327994136385831
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2049,2.053956462556451
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2050,2.117063799480537
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2021,0.8406473458344302
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2024,1.0121355606694238
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2027,1.0121355606694238
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2028,1.0121355606694238
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2021,1.5711406143383717
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2022,1.5891923433389405
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2023,1.5942335163698496
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2024,1.6720295912180485
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2025,1.7454267877163119
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2026,1.9565295912180487
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2027,2.169529591218048
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2028,2.6772113317848776
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2029,2.6826041358068484
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2030,2.8090295912180485
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2031,3.054029591218048
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2032,3.2995295912180485
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2033,3.545029591218048
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2034,3.7905295912180477
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2035,4.035529591218047
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2036,4.319529591218048
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2037,4.603029591218048
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2038,4.887029591218048
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2039,4.751754190526969
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2040,5.454529591218049
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2041,5.390854853674596
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2042,5.463822642105336
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2043,6.511529591218048
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2044,6.864029591218049
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2045,7.92384179070764
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2046,7.765949356120449
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2047,8.121874811531647
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2048,8.650449356120447
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2049,8.442463133792458
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2050,8.864492457550657
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2021,0.8231311347601603
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2022,1.22557778516089
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2023,1.4177196904659808
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2024,2.5411681563589683
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2025,3.0911127691726086
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2026,3.403612769172609
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2027,3.4116681563589677
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2028,3.7241681563589677
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2029,4.340612769172608
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2030,4.653112769172608
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2031,5.030612769172609
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2032,5.408612769172609
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2033,5.786612769172608
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2034,6.1641127691726085
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2035,6.5384021059576725
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2036,6.982509139163789
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2037,7.426904817451487
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2038,7.871795920129688
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2039,8.316687022807894
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2040,8.7615781254861
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2041,9.287223403817483
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2042,9.812868682148858
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2043,10.338513960480247
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2044,10.864654663202126
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2045,11.390299941533506
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2046,12.042773863835512
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2047,12.780198966072723
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2048,13.338624750268165
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2049,14.12406763707653
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2050,14.631302745845447
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2021,0.5942362162081203
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2022,0.670550643879552
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2023,0.670550643879552
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2024,0.670550643879552
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2025,0.6686534473812881
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2026,0.670550643879552
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2027,0.670550643879552
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2028,0.3758689033127225
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2029,0.670550643879552
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2030,0.670550643879552
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2031,0.670550643879552
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2032,0.670550643879552
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2033,0.670550643879552
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2034,0.670550643879552
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2035,0.670550643879552
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2036,0.670550643879552
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2037,0.670550643879552
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2038,0.670550643879552
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2039,0.670550643879552
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2040,0.670550643879552
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2041,0.670550643879552
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2042,0.670550643879552
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2043,0.670550643879552
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2044,0.670550643879552
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2046,0.670550643879552
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2047,0.670550643879552
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2048,0.670550643879552
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2049,0.670550643879552
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2050,0.670550643879552
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2021,0.5538872308273916
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2022,0.5538872308273916
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2023,0.5538872308273916
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2024,0.5538872308273916
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2025,0.5538872308273916
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2026,0.5538872308273916
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2027,0.5538872308273916
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2028,0.5538872308273916
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2029,0.5538872308273916
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2030,0.5538872308273916
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2031,0.5538872308273916
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2032,0.5538872308273916
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2033,0.5538872308273916
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2034,0.5538872308273916
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2035,0.5575978940423276
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2036,0.5624908608362098
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2037,0.5665951825485135
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2038,0.5707040798703129
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2039,0.5748129771921066
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2040,0.5789218745139001
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2041,0.5837765961825171
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2042,0.5886313178511423
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2043,0.5934860395197544
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2044,0.5983453367978722
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2045,0.6032000584664938
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2046,0.6092261361644873
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2047,0.5303010339272785
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2048,0.630375249731836
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2049,0.5029323629234703
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2050,0.6541972541545569
GLOBAL,S1D1,PWRSPVKENXX01,SPVKENXX,2021,0.0123944553216
GLOBAL,S1D1,PWRSPVKENXX01,SPVKENXX,2022,0.0180282986496
GLOBAL,S1D1,PWRSPVKENXX01,SPVKENXX,2023,0.0208452203136
GLOBAL,S1D1,PWRSPVKENXX01,SPVKENXX,2024,0.0208452203136
GLOBAL,S1D1,PWRSPVKENXX01,SPVKENXX,2025,0.0208452203136
GLOBAL,S1D1,PWRSPVKENXX01,SPVKENXX,2026,0.0208452203136
GLOBAL,S1D1,PWRSPVKENXX01,SPVKENXX,2027,0.0208452203136
GLOBAL,S1D1,PWRSPVKENXX01,SPVKENXX,2028,0.0208452203136
GLOBAL,S1D1,PWRSPVKENXX01,SPVKENXX,2029,0.0208452203136
GLOBAL,S1D1,PWRSPVKENXX01,SPVKENXX,2030,0.0208452203136
GLOBAL,S1D1,PWRSPVKENXX01,SPVKENXX,2031,0.0208452203136
GLOBAL,S1D1,PWRSPVKENXX01,SPVKENXX,2032,0.0208452203136
GLOBAL,S1D1,PWRSPVKENXX01,SPVKENXX,2033,0.0208452203136
GLOBAL,S1D1,PWRSPVKENXX01,SPVKENXX,2034,0.0208452203136
GLOBAL,S1D1,PWRSPVKENXX01,SPVKENXX,2035,0.0208452203136
GLOBAL,S1D1,PWRSPVKENXX01,SPVKENXX,2036,0.0208452203136
GLOBAL,S1D1,PWRSPVKENXX01,SPVKENXX,2037,0.0208452203136
GLOBAL,S1D1,PWRSPVKENXX01,SPVKENXX,2038,0.0208452203136
GLOBAL,S1D1,PWRSPVKENXX01,SPVKENXX,2039,0.0208452203136
GLOBAL,S1D1,PWRSPVKENXX01,SPVKENXX,2040,0.0208452203136
GLOBAL,S1D1,PWRSPVKENXX01,SPVKENXX,2041,0.0208452203136
GLOBAL,S1D1,PWRSPVKENXX01,SPVKENXX,2042,0.0208452203136
GLOBAL,S1D1,PWRSPVKENXX01,SPVKENXX,2043,0.0208452203136
GLOBAL,S1D1,PWRSPVKENXX01,SPVKENXX,2044,0.0208452203136
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2021,2.3
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2022,2.4
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2023,2.3794650159882815
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2024,2.4499999999999997
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2025,2.5215
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2026,2.7344999999999997
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2027,2.9475000000000002
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2028,3.1605
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2029,3.374
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2030,3.5870000000000006
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2031,3.8320000000000003
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2032,4.0775
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2033,4.323
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2034,4.568499999999999
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2035,4.8135
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2036,5.097499999999999
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2037,5.381000000000001
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2038,5.665
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2039,5.9485
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2040,6.2325
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2041,6.584999999999999
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2042,6.937000000000001
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2043,7.2895
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2044,7.642
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2045,7.994500000000001
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2046,8.4365
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2047,8.879
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2048,9.321
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2049,9.763
GLOBAL,S1D1,PWRTRNKENXX,ELCKENXX01,2050,10.205
GLOBAL,S1D1,PWRTRNTZAXX,ELCTZAXX01,2021,1.6294650159882815
GLOBAL,S1D1,PWRTRNTZAXX,ELCTZAXX01,2022,1.7794650159882814
GLOBAL,S1D1,PWRTRNTZAXX,ELCTZAXX01,2023,2.0
GLOBAL,S1D1,PWRTRNTZAXX,ELCTZAXX01,2024,3.399
GLOBAL,S1D1,PWRTRNTZAXX,ELCTZAXX01,2025,3.645
GLOBAL,S1D1,PWRTRNTZAXX,ELCTZAXX01,2026,3.9574999999999996
GLOBAL,S1D1,PWRTRNTZAXX,ELCTZAXX01,2027,4.269499999999999
