REGION,FUEL,YEAR,VALUE
GLOBAL,T01KEN,2035,86.643
GLOBAL,T01KEN,2036,91.755
GLOBAL,T01KEN,2037,96.858
GLOBAL,T01KEN,2038,101.97
GLOBAL,T01KEN,2039,107.073
GLOBAL,T01KEN,2040,112.185
GLOBAL,T01KEN,2041,118.53
GLOBAL,T01KEN,2042,124.866
GLOBAL,T01KEN,2043,131.21099999999998
GLOBAL,T01KEN,2044,137.556
GLOBAL,T01KEN,2045,143.90099999999998
GLOBAL,T01KEN,2046,151.857
GLOBAL,T01KEN,2047,159.822
GLOBAL,T01KEN,2048,167.778
GLOBAL,T01KEN,2049,175.734
GLOBAL,T01KEN,2050,183.69
GLOBAL,T02TZA,2030,52.07
GLOBAL,T02TZA,2031,55.845
GLOBAL,T02TZA,2032,59.625
GLOBAL,T02TZA,2033,63.405
GLOBAL,T02TZA,2034,67.18
GLOBAL,T02TZA,2035,70.96
GLOBAL,T02TZA,2036,75.45
GLOBAL,T02TZA,2037,79.935
GLOBAL,T02TZA,2038,84.425
GLOBAL,T02TZA,2039,88.915
GLOBAL,T02TZA,2040,93.405
GLOBAL,T02TZA,2041,98.71
GLOBAL,T02TZA,2042,104.015
GLOBAL,T02TZA,2043,109.32
GLOBAL,T02TZA,2044,114.63
GLOBAL,T02TZA,2045,119.935
GLOBAL,T02TZA,2046,126.52
GLOBAL,T02TZA,2047,133.105
GLOBAL,T02TZA,2048,139.69
GLOBAL,T02TZA,2049,146.27
GLOBAL,T02TZA,2050,152.855
GLOBAL,T03TZAXX,2026,7.915000000000001
GLOBAL,T03TZAXX,2027,8.539
GLOBAL,T03TZAXX,2028,9.164
GLOBAL,T03TZAXX,2029,9.789
GLOBAL,T03TZAXX,2030,10.414
GLOBAL,T03TZAXX,2031,11.169
GLOBAL,T03TZAXX,2032,11.925
GLOBAL,T03TZAXX,2033,12.681
GLOBAL,T03TZAXX,2034,13.436000000000002
GLOBAL,T03TZAXX,2035,14.192
GLOBAL,T03TZAXX,2036,15.090000000000002
GLOBAL,T03TZAXX,2037,15.987000000000002
GLOBAL,T03TZAXX,2038,16.885
GLOBAL,T03TZAXX,2039,17.783
GLOBAL,T03TZAXX,2040,18.681
