REGION,EMISSION,YEAR,VALUE
GLOBAL,CO2KEN,2021,1.19
GLOBAL,CO2KEN,2022,1.42
GLOBAL,CO2KEN,2023,1.24
GLOBAL,CO2KEN,2024,1.09
GLOBAL,CO2KEN,2025,0.9083333333333334
GLOBAL,CO2KEN,2026,0.7266666666666668
GLOBAL,CO2KEN,2027,0.545
GLOBAL,CO2KEN,2028,0.3633333333333334
GLOBAL,CO2KEN,2029,0.1816666666666667
GLOBAL,CO2KEN,2030,0.0
GLOBAL,CO2KEN,2031,0.0
GLOBAL,CO2KEN,2032,0.0
GLOBAL,CO2KEN,2033,0.0
GLOBAL,CO2KEN,2034,0.0
GLOBAL,CO2KEN,2035,0.0
GLOBAL,CO2KEN,2036,0.0
GLOBAL,CO2KEN,2037,0.0
GLOBAL,CO2KEN,2038,0.0
GLOBAL,CO2KEN,2039,0.0
GLOBAL,CO2KEN,2040,0.0
GLOBAL,CO2KEN,2041,0.0
GLOBAL,CO2KEN,2042,0.0
GLOBAL,CO2KEN,2043,0.0
GLOBAL,CO2KEN,2044,0.0
GLOBAL,CO2KEN,2045,0.0
GLOBAL,CO2KEN,2046,0.0
GLOBAL,CO2KEN,2047,0.0
GLOBAL,CO2KEN,2048,0.0
GLOBAL,CO2KEN,2049,0.0
GLOBAL,CO2KEN,2050,0.0
