REGION,STORAGE,YEAR,VALUE
GLOBAL,SDSKENXX01,2021,67291.66666666667
GLOBAL,SDSKENXX01,2022,67291.66666666667
GLOBAL,SDSKENXX01,2023,67291.66666666667
GLOBAL,SDSKENXX01,2024,67291.66666666667
GLOBAL,SDSKENXX01,2025,67291.66666666667
GLOBAL,SDSKENXX01,2026,67291.66666666667
GLOBAL,SDSKENXX01,2027,67291.66666666667
GLOBAL,SDSKENXX01,2028,67291.66666666667
GLOBAL,SDSKENXX01,2029,67291.66666666667
GLOBAL,SDSKENXX01,2030,67291.66666666667
GLOBAL,SDSKENXX01,2031,67291.66666666667
GLOBAL,SDSKENXX01,2032,67291.66666666667
GLOBAL,SDSKENXX01,2033,67291.66666666667
GLOBAL,SDSKENXX01,2034,67291.66666666667
GLOBAL,SDSKENXX01,2035,67291.66666666667
GLOBAL,SDSKENXX01,2036,67291.66666666667
GLOBAL,SDSKENXX01,2037,67291.66666666667
GLOBAL,SDSKENXX01,2038,67291.66666666667
GLOBAL,SDSKENXX01,2039,67291.66666666667
GLOBAL,SDSKENXX01,2040,67291.66666666667
GLOBAL,SDSKENXX01,2041,67291.66666666667
GLOBAL,SDSKENXX01,2042,67291.66666666667
GLOBAL,SDSKENXX01,2043,67291.66666666667
GLOBAL,SDSKENXX01,2044,67291.66666666667
GLOBAL,SDSKENXX01,2045,67291.66666666667
GLOBAL,SDSKENXX01,2046,67291.66666666667
GLOBAL,SDSKENXX01,2047,67291.66666666667
GLOBAL,SDSKENXX01,2048,67291.66666666667
GLOBAL,SDSKENXX01,2049,67291.66666666667
GLOBAL,SDSKENXX01,2050,67291.66666666667
GLOBAL,SDSTZAXX01,2021,67291.66666666667
GLOBAL,SDSTZAXX01,2022,67291.66666666667
GLOBAL,SDSTZAXX01,2023,67291.66666666667
GLOBAL,SDSTZAXX01,2024,67291.66666666667
GLOBAL,SDSTZAXX01,2025,67291.66666666667
GLOBAL,SDSTZAXX01,2026,67291.66666666667
