REGION,YEAR,EMISSION,VALUE
GLOBAL,2021,CO2KEN,3.13
GLOBAL,2022,CO2KEN,3.31
GLOBAL,2023,CO2KEN,2.17
GLOBAL,2024,CO2KEN,0.0
GLOBAL,2025,CO2KEN,0.0
GLOBAL,2026,CO2KEN,0.01
GLOBAL,2027,CO2KEN,0.0
GLOBAL,2028,CO2KEN,0.0
GLOBAL,2029,CO2KEN,0.0
GLOBAL,2030,CO2KEN,0.0
GLOBAL,2031,CO2KEN,0.0
GLOBAL,2032,CO2KEN,0.0
GLOBAL,2033,CO2KEN,0.0
GLOBAL,2034,CO2KEN,0.0
GLOBAL,2035,CO2KEN,0.0
GLOBAL,2036,CO2KEN,0.0
GLOBAL,2037,CO2KEN,0.0
GLOBAL,2038,CO2KEN,0.0
GLOBAL,2039,CO2KEN,0.0
GLOBAL,2040,CO2KEN,0.0
GLOBAL,2041,CO2KEN,0.0
GLOBAL,2042,CO2KEN,0.0
GLOBAL,2043,CO2KEN,0.0
GLOBAL,2044,CO2KEN,0.0
GLOBAL,2045,CO2KEN,0.0
GLOBAL,2046,CO2KEN,0.0
GLOBAL,2047,CO2KEN,0.0
GLOBAL,2048,CO2KEN,0.0
GLOBAL,2049,CO2KEN,0.0
GLOBAL,2050,CO2KEN,0.0
GLOBAL,2021,CO2TZA,10.34
GLOBAL,2022,CO2TZA,9.48
GLOBAL,2023,CO2TZA,12.05
GLOBAL,2024,CO2TZA,7.6
GLOBAL,2025,CO2TZA,5.33
GLOBAL,2026,CO2TZA,7.15
GLOBAL,2027,CO2TZA,7.23
GLOBAL,2028,CO2TZA,7.31
GLOBAL,2029,CO2TZA,7.37
GLOBAL,2030,CO2TZA,4.45
GLOBAL,2031,CO2TZA,11.22
GLOBAL,2032,CO2TZA,7.82
GLOBAL,2033,CO2TZA,7.85
GLOBAL,2034,CO2TZA,7.87
GLOBAL,2035,CO2TZA,7.34
GLOBAL,2036,CO2TZA,13.61
GLOBAL,2037,CO2TZA,13.84
GLOBAL,2038,CO2TZA,12.54
GLOBAL,2039,CO2TZA,12.26
GLOBAL,2040,CO2TZA,12.0
GLOBAL,2041,CO2TZA,11.73
GLOBAL,2042,CO2TZA,11.79
GLOBAL,2043,CO2TZA,11.84
GLOBAL,2044,CO2TZA,11.87
GLOBAL,2045,CO2TZA,11.9
GLOBAL,2046,CO2TZA,11.94
GLOBAL,2047,CO2TZA,11.97
GLOBAL,2048,CO2TZA,12.06
GLOBAL,2049,CO2TZA,12.09
GLOBAL,2050,CO2TZA,12.11
