YEAR,NODE_1,NODE_2,VALUE
2021,KENXX,TZAXX,0.32
2022,KENXX,TZAXX,0.32
2023,KENXX,TZAXX,4.24
2024,KENXX,TZAXX,6.12
2025,KENXX,TZAXX,3.56
2026,KENXX,TZAXX,3.28
2027,KENXX,TZAXX,3.64
2028,KENXX,TZAXX,3.96
2029,KENXX,TZAXX,4.32
2030,KENXX,TZAXX,2.56
2031,KENXX,TZAXX,1.28
2032,KENXX,TZAXX,0.2
2033,KENXX,TZAXX,0.2
2034,KENXX,TZAXX,0.2
2035,KENXX,TZAXX,0.2
2039,KENXX,TZAXX,0.2
2040,KENXX,TZAXX,0.2
2041,KENXX,TZAXX,0.4
2042,KENXX,TZAXX,0.4
2043,KENXX,TZAXX,0.4
2044,KENXX,TZAXX,0.4
2045,KENXX,TZAXX,0.4
2046,KENXX,TZAXX,0.4
2047,KENXX,TZAXX,0.4
2048,KENXX,TZAXX,0.2
2049,KENXX,TZAXX,0.2
2050,KENXX,TZAXX,0.2
