YEAR,NODE_1,NODE_2,VALUE
2021,KENXX,TZAXX,-3.2800000000000002
2022,KENXX,TZAXX,-3.6
2023,KENXX,TZAXX,4.24
2024,KENXX,TZAXX,6.12
2025,KENXX,TZAXX,3.56
2026,KENXX,TZAXX,3.28
2027,KENXX,TZAXX,3.64
2028,KENXX,TZAXX,3.96
2029,KENXX,TZAXX,4.32
2030,KENXX,TZAXX,2.56
2031,KENXX,TZAXX,0.48
2032,KENXX,TZAXX,-0.6
2033,KENXX,TZAXX,-0.6
2034,KENXX,TZAXX,-0.6
2035,KENXX,TZAXX,-0.2
2036,KENXX,TZAXX,-2.6
2037,KENXX,TZAXX,-2.2
2038,KENXX,TZAXX,-1.0
2039,KENXX,TZAXX,-0.4
2040,KENXX,TZAXX,-0.4
2041,KENXX,TZAXX,0.2
2042,KENXX,TZAXX,0.2
2043,KENXX,TZAXX,0.2
2044,KENXX,TZAXX,0.2
2045,KENXX,TZAXX,0.2
2046,KENXX,TZAXX,0.0
2047,KENXX,TZAXX,0.0
2048,KENXX,TZAXX,-0.2
2049,KENXX,TZAXX,-0.2
2050,KENXX,TZAXX,-0.39999999999999997
