REGION,YEAR,CLEAN,RENEWABLE,FOSSIL
GLOBAL,2021,98.8,98.8,1.2
GLOBAL,2022,98.8,98.8,1.2
GLOBAL,2023,98.6,98.6,1.4
GLOBAL,2024,98.9,98.9,1.1
GLOBAL,2025,99.3,99.3,0.7
GLOBAL,2026,99.0,99.0,1.0
GLOBAL,2027,99.0,99.0,1.0
GLOBAL,2028,99.0,99.0,1.0
GLOBAL,2029,99.0,99.0,1.0
GLOBAL,2030,99.4,99.4,0.6
GLOBAL,2031,98.5,98.5,1.5
GLOBAL,2032,98.9,98.9,1.1
GLOBAL,2033,98.9,98.9,1.1
GLOBAL,2034,98.9,98.9,1.1
GLOBAL,2035,99.0,99.0,1.0
GLOBAL,2036,98.0,98.0,2.0
GLOBAL,2037,98.0,98.0,2.0
GLOBAL,2038,98.2,98.2,1.8
GLOBAL,2039,98.2,98.2,1.8
GLOBAL,2040,98.2,98.2,1.8
GLOBAL,2041,98.3,98.3,1.7
GLOBAL,2042,98.3,98.3,1.7
GLOBAL,2043,98.3,98.3,1.7
GLOBAL,2044,98.3,98.3,1.7
GLOBAL,2045,98.3,98.3,1.7
GLOBAL,2046,98.3,98.3,1.7
GLOBAL,2047,98.3,98.3,1.7
GLOBAL,2048,98.2,98.2,1.8
GLOBAL,2049,98.2,98.2,1.8
GLOBAL,2050,98.2,98.2,1.8
