TECH,COUNTRY,YEAR,VALUE
BIO,KEN,2021,0.09
BIO,KEN,2022,0.09
BIO,KEN,2023,0.09
BIO,KEN,2024,0.258561124308078
BIO,KEN,2025,0.2955104096346613
BIO,KEN,2026,0.2955104096346613
BIO,KEN,2027,0.3837700645512502
BIO,KEN,2028,0.4224140945288535
BIO,KEN,2029,0.4600069742854603
BIO,KEN,2030,0.5190042892039728
BIO,KEN,2031,0.557100176126051
BIO,KEN,2032,0.6699588709961668
BIO,KEN,2033,0.7188328105363972
BIO,KEN,2034,0.7677067500766275
BIO,KEN,2035,0.8757868032621153
BIO,KEN,2036,0.8757868032621153
BIO,KEN,2037,1.0872646751154482
BIO,KEN,2038,1.3851598486469685
BIO,KEN,2039,1.5123617404158305
BIO,KEN,2040,1.63969288298114
BIO,KEN,2041,1.7945180444591622
BIO,KEN,2042,1.885510605158436
BIO,KEN,2043,1.976632416654156
BIO,KEN,2044,2.0677542281498766
BIO,KEN,2045,2.158876039645595
BIO,KEN,2046,2.2731337437054786
BIO,KEN,2047,2.3887732353451683
BIO,KEN,2048,2.5147443809917323
BIO,KEN,2049,2.6290020850516127
BIO,KEN,2050,2.7432597891114945
BIO,TZA,2021,0.146077203854111
BIO,TZA,2022,0.1706316647501545
BIO,TZA,2023,0.1758762855274896
BIO,TZA,2024,0.1758762855274896
BIO,TZA,2025,0.3089539716335364
BIO,TZA,2026,0.3089539716335364
BIO,TZA,2027,0.4745064952014316
BIO,TZA,2028,0.4952412525358528
BIO,TZA,2029,0.5170391167368273
BIO,TZA,2030,0.748269454321349
BIO,TZA,2031,0.748269454321349
BIO,TZA,2032,1.0077487994300678
BIO,TZA,2033,1.066945282907918
BIO,TZA,2034,1.126063464158952
BIO,TZA,2035,1.1852599476368026
BIO,TZA,2036,1.1852599476368026
BIO,TZA,2037,1.324121652720041
BIO,TZA,2038,1.3381586675091413
BIO,TZA,2039,1.4053910751371173
BIO,TZA,2040,1.4726234827650924
BIO,TZA,2041,1.5520595456752075
BIO,TZA,2042,1.6314956085853192
BIO,TZA,2043,1.710931671495437
BIO,TZA,2044,1.7904426034563603
BIO,TZA,2045,1.8698786663664748
BIO,TZA,2046,1.9684812062841244
BIO,TZA,2047,2.0670837462017646
BIO,TZA,2048,2.165686286119412
BIO,TZA,2049,2.2642139569862425
BIO,TZA,2050,2.3628164969038843
CCG,TZA,2021,0.208
CCG,TZA,2022,0.208
CCG,TZA,2023,0.2256924696353348
CCG,TZA,2024,0.3176976950901811
CCG,TZA,2025,0.1251320768016632
CCG,TZA,2026,0.1251320768016632
CCG,TZA,2027,0.1251320768016632
CCG,TZA,2028,0.1251320768016632
CCG,TZA,2029,0.1251320768016632
CCG,TZA,2030,0.1251320768016632
CCG,TZA,2031,0.2476006570182133
CCG,TZA,2032,0.2476006570182133
CCG,TZA,2033,0.2476006570182133
CCG,TZA,2034,0.2476006570182133
CCG,TZA,2035,0.2476006570182133
CCG,TZA,2036,0.724694785215296
CCG,TZA,2037,0.724694785215296
CCG,TZA,2038,0.724694785215296
CCG,TZA,2039,0.724694785215296
CCG,TZA,2040,0.724694785215296
CCG,TZA,2041,0.724694785215296
CCG,TZA,2042,0.7628060646255006
CCG,TZA,2043,0.8143691541480698
CCG,TZA,2044,0.865974878437913
CCG,TZA,2045,0.9175379679604874
CCG,TZA,2046,0.9816221403997628
CCG,TZA,2047,1.0457152881602467
CCG,TZA,2048,1.1270427722784055
CCG,TZA,2049,1.1910843099504145
CCG,TZA,2050,1.2551684823896967
GEO,KEN,2021,1.0719809557387063
GEO,KEN,2022,1.1318860702756302
GEO,KEN,2023,1.1318860702756302
GEO,KEN,2024,1.1318860702756302
GEO,KEN,2025,1.1519233231460813
GEO,KEN,2026,1.1519233231460813
GEO,KEN,2027,1.2184502500529537
GEO,KEN,2028,1.3340756483877148
GEO,KEN,2029,1.451114331751718
GEO,KEN,2030,1.546867378681846
GEO,KEN,2031,1.546867378681846
GEO,KEN,2032,1.6028874377249192
GEO,KEN,2033,1.722892252097877
GEO,KEN,2034,1.842897066470836
GEO,KEN,2035,1.935700356745496
GEO,KEN,2036,1.935700356745496
GEO,KEN,2037,1.935700356745496
GEO,KEN,2038,1.952539197061
GEO,KEN,2039,2.0466978544531407
GEO,KEN,2040,2.1410657997532883
GEO,KEN,2041,2.25965770672316
