YEAR,VALUE
2021,151.9745008094423
2022,30.490097535101118
2023,23.071308794075204
2024,98.83383252544161
2025,25.351665440771768
2026,75.96474358277504
2027,25.766802959107043
2028,22.049883964237445
2029,18.93399378936406
2030,17.766916113796363
2031,29.599344558480603
2032,17.03492518081203
2033,12.310582039426624
2034,10.506003019606752
2035,9.103670751957457
2036,15.365120530850028
2037,7.250261289360244
2038,6.734237658086264
2039,5.62703003341294
2040,4.842947077040881
2041,4.545168684669804
2042,3.8706475961381113
2043,3.3138917470575677
2044,2.7765295413204143
2045,2.435098575395792
2046,2.157102222408578
2047,1.7810487339125107
2048,1.4798244983855557
2049,1.1774722783127594
2050,0.9407681953351583
