REGION,COUNTRY,YEAR,VALUE
GLOBAL,KEN,2021,748.9844949597607
GLOBAL,KEN,2022,288.1021828098561
GLOBAL,KEN,2023,119.84004577478424
GLOBAL,KEN,2024,632.1444625064771
GLOBAL,KEN,2025,208.7798386282733
GLOBAL,KEN,2026,1111.963889327265
GLOBAL,KEN,2027,404.9404618856892
GLOBAL,KEN,2028,390.01347456033716
GLOBAL,KEN,2029,358.1713426779834
GLOBAL,KEN,2030,320.099017509398
GLOBAL,KEN,2031,652.9447314445014
GLOBAL,KEN,2032,361.263950390428
GLOBAL,KEN,2033,287.7439149186875
GLOBAL,KEN,2034,259.6628647067505
GLOBAL,KEN,2035,244.50074490432445
GLOBAL,KEN,2036,428.13934094804205
GLOBAL,KEN,2037,215.75161082925146
GLOBAL,KEN,2038,229.1599095670106
GLOBAL,KEN,2039,187.38368909764498
GLOBAL,KEN,2040,167.38620802284365
GLOBAL,KEN,2041,170.35250505420686
GLOBAL,KEN,2042,148.07922113792074
GLOBAL,KEN,2043,132.10483403114944
GLOBAL,KEN,2044,117.43381648356223
GLOBAL,KEN,2045,113.57588646977048
GLOBAL,KEN,2046,100.87756187791254
GLOBAL,KEN,2047,87.60911055972339
GLOBAL,KEN,2048,78.16742148600161
GLOBAL,KEN,2049,63.18118677051558
GLOBAL,KEN,2050,52.662206249527785
GLOBAL,TZA,2021,2543.7963559114887
GLOBAL,TZA,2022,414.8639548049752
GLOBAL,TZA,2023,437.7165834153665
GLOBAL,TZA,2024,2579.4060177230117
GLOBAL,TZA,2025,659.7259665968329
GLOBAL,TZA,2026,1712.2364665390164
GLOBAL,TZA,2027,628.1651878691748
GLOBAL,TZA,2028,558.4377842902651
GLOBAL,TZA,2029,511.5826998073318
GLOBAL,TZA,2030,547.9135397390753
GLOBAL,TZA,2031,895.5120909717906
GLOBAL,TZA,2032,588.9063208059764
GLOBAL,TZA,2033,441.5554827336781
GLOBAL,TZA,2034,399.09270796431395
GLOBAL,TZA,2035,357.83351520921633
GLOBAL,TZA,2036,651.0469718923553
GLOBAL,TZA,2037,322.9629425849073
GLOBAL,TZA,2038,298.63596688550035
GLOBAL,TZA,2039,276.5336758792886
GLOBAL,TZA,2040,251.60942992580996
GLOBAL,TZA,2041,245.17691647316138
GLOBAL,TZA,2042,224.76090856008284
GLOBAL,TZA,2043,203.36226857445865
GLOBAL,TZA,2044,177.26394399936285
GLOBAL,TZA,2045,156.82828200251333
GLOBAL,TZA,2046,151.84493932910573
GLOBAL,TZA,2047,131.94967211334134
GLOBAL,TZA,2048,113.30542611066275
GLOBAL,TZA,2049,96.3663069408633
GLOBAL,TZA,2050,80.56363643486586
