YEAR,VALUE
2021,3292.7808508712496
2022,702.9661376148313
2023,557.5566291901507
2024,3211.550480229489
2025,868.5058052251062
2026,2824.2003558662814
2027,1033.105649754864
2028,948.4512588506022
2029,869.7540424853152
2030,868.0125572484733
2031,1548.456822416292
2032,950.1702711964044
2033,729.2993976523655
2034,658.7555726710644
2035,602.3342601135407
2036,1079.1863128403972
2037,538.7145534141588
2038,527.7958764525109
2039,463.9173649769335
2040,418.9956379486536
2041,415.52942152736824
2042,372.8401296980036
2043,335.4671026056081
2044,294.6977604829251
2045,270.4041684722838
2046,252.72250120701827
2047,219.55878267306474
2048,191.47284759666437
2049,159.54749371137888
2050,133.22584268439363
