YEAR,MONTH,HOUR,NODE_1,NODE_2,VALUE
2021,1,1.0,KENXX,TZAXX,-0.02
2022,1,1.0,KENXX,TZAXX,-0.02
2023,1,1.0,KENXX,TZAXX,0.02
2021,1,2.0,KENXX,TZAXX,-0.02
2022,1,2.0,KENXX,TZAXX,-0.02
2023,1,2.0,KENXX,TZAXX,0.02
2021,1,3.0,KENXX,TZAXX,-0.02
2022,1,3.0,KENXX,TZAXX,-0.02
2023,1,3.0,KENXX,TZAXX,0.02
2021,1,4.0,KENXX,TZAXX,-0.02
2022,1,4.0,KENXX,TZAXX,-0.02
2023,1,4.0,KENXX,TZAXX,0.02
2021,1,5.0,KENXX,TZAXX,-0.02
2022,1,5.0,KENXX,TZAXX,-0.02
2023,1,5.0,KENXX,TZAXX,0.02
2021,1,6.0,KENXX,TZAXX,-0.02
2022,1,6.0,KENXX,TZAXX,-0.02
2023,1,6.0,KENXX,TZAXX,0.02
2021,1,7.0,KENXX,TZAXX,-0.02
2022,1,7.0,KENXX,TZAXX,-0.02
2023,1,7.0,KENXX,TZAXX,0.02
2021,1,8.0,KENXX,TZAXX,-0.02
2022,1,8.0,KENXX,TZAXX,-0.02
2023,1,8.0,KENXX,TZAXX,0.02
2021,1,9.0,KENXX,TZAXX,-0.02
2022,1,9.0,KENXX,TZAXX,-0.02
2023,1,9.0,KENXX,TZAXX,0.02
2021,1,10.0,KENXX,TZAXX,-0.02
2022,1,10.0,KENXX,TZAXX,-0.02
2023,1,10.0,KENXX,TZAXX,0.02
2021,1,11.0,KENXX,TZAXX,-0.02
2022,1,11.0,KENXX,TZAXX,-0.02
2023,1,11.0,KENXX,TZAXX,0.02
2021,1,12.0,KENXX,TZAXX,-0.02
2022,1,12.0,KENXX,TZAXX,-0.02
2023,1,12.0,KENXX,TZAXX,0.02
2021,1,13.0,KENXX,TZAXX,-0.02
2022,1,13.0,KENXX,TZAXX,-0.02
2023,1,13.0,KENXX,TZAXX,0.02
2021,1,14.0,KENXX,TZAXX,-0.02
2022,1,14.0,KENXX,TZAXX,-0.02
2023,1,14.0,KENXX,TZAXX,0.02
2021,1,15.0,KENXX,TZAXX,-0.02
2022,1,15.0,KENXX,TZAXX,-0.02
2023,1,15.0,KENXX,TZAXX,0.02
2021,1,16.0,KENXX,TZAXX,-0.02
2022,1,16.0,KENXX,TZAXX,-0.02
2023,1,16.0,KENXX,TZAXX,0.02
2021,1,17.0,KENXX,TZAXX,-0.02
2022,1,17.0,KENXX,TZAXX,-0.02
2023,1,17.0,KENXX,TZAXX,0.02
2021,1,18.0,KENXX,TZAXX,-0.02
2022,1,18.0,KENXX,TZAXX,-0.02
2023,1,18.0,KENXX,TZAXX,0.02
2021,1,19.0,KENXX,TZAXX,-0.02
2022,1,19.0,KENXX,TZAXX,-0.02
2023,1,19.0,KENXX,TZAXX,0.02
2021,1,20.0,KENXX,TZAXX,-0.0
2022,1,20.0,KENXX,TZAXX,-0.0
2023,1,20.0,KENXX,TZAXX,0.0
2029,1,20.0,KENXX,TZAXX,0.0
2031,1,20.0,KENXX,TZAXX,-0.02
2032,1,20.0,KENXX,TZAXX,-0.02
2033,1,20.0,KENXX,TZAXX,-0.02
2034,1,20.0,KENXX,TZAXX,-0.02
2035,1,20.0,KENXX,TZAXX,-0.01
2036,1,20.0,KENXX,TZAXX,-0.05
2037,1,20.0,KENXX,TZAXX,-0.05
2038,1,20.0,KENXX,TZAXX,-0.03
2039,1,20.0,KENXX,TZAXX,-0.02
2040,1,20.0,KENXX,TZAXX,-0.02
2041,1,20.0,KENXX,TZAXX,-0.01
2042,1,20.0,KENXX,TZAXX,-0.01
2043,1,20.0,KENXX,TZAXX,-0.01
2044,1,20.0,KENXX,TZAXX,-0.01
2045,1,20.0,KENXX,TZAXX,-0.01
2046,1,20.0,KENXX,TZAXX,-0.02
2047,1,20.0,KENXX,TZAXX,-0.02
2048,1,20.0,KENXX,TZAXX,-0.02
2049,1,20.0,KENXX,TZAXX,-0.02
2050,1,20.0,KENXX,TZAXX,-0.03
2021,1,21.0,KENXX,TZAXX,-0.0
2022,1,21.0,KENXX,TZAXX,-0.0
2023,1,21.0,KENXX,TZAXX,0.0
2029,1,21.0,KENXX,TZAXX,0.0
2031,1,21.0,KENXX,TZAXX,-0.02
2032,1,21.0,KENXX,TZAXX,-0.02
2033,1,21.0,KENXX,TZAXX,-0.02
2034,1,21.0,KENXX,TZAXX,-0.02
2035,1,21.0,KENXX,TZAXX,-0.01
2036,1,21.0,KENXX,TZAXX,-0.05
2037,1,21.0,KENXX,TZAXX,-0.05
2038,1,21.0,KENXX,TZAXX,-0.03
2039,1,21.0,KENXX,TZAXX,-0.02
2040,1,21.0,KENXX,TZAXX,-0.02
2041,1,21.0,KENXX,TZAXX,-0.01
2042,1,21.0,KENXX,TZAXX,-0.01
2043,1,21.0,KENXX,TZAXX,-0.01
2044,1,21.0,KENXX,TZAXX,-0.01
2045,1,21.0,KENXX,TZAXX,-0.01
2046,1,21.0,KENXX,TZAXX,-0.02
2047,1,21.0,KENXX,TZAXX,-0.02
2048,1,21.0,KENXX,TZAXX,-0.02
2049,1,21.0,KENXX,TZAXX,-0.02
2050,1,21.0,KENXX,TZAXX,-0.03
2021,1,22.0,KENXX,TZAXX,-0.0
2022,1,22.0,KENXX,TZAXX,-0.0
2023,1,22.0,KENXX,TZAXX,0.0
2029,1,22.0,KENXX,TZAXX,0.0
2031,1,22.0,KENXX,TZAXX,-0.02
2032,1,22.0,KENXX,TZAXX,-0.02
2033,1,22.0,KENXX,TZAXX,-0.02
2034,1,22.0,KENXX,TZAXX,-0.02
2035,1,22.0,KENXX,TZAXX,-0.01
2036,1,22.0,KENXX,TZAXX,-0.05
2037,1,22.0,KENXX,TZAXX,-0.05
2038,1,22.0,KENXX,TZAXX,-0.03
2039,1,22.0,KENXX,TZAXX,-0.02
2040,1,22.0,KENXX,TZAXX,-0.02
2041,1,22.0,KENXX,TZAXX,-0.01
2042,1,22.0,KENXX,TZAXX,-0.01
2043,1,22.0,KENXX,TZAXX,-0.01
2044,1,22.0,KENXX,TZAXX,-0.01
2045,1,22.0,KENXX,TZAXX,-0.01
2046,1,22.0,KENXX,TZAXX,-0.02
2047,1,22.0,KENXX,TZAXX,-0.02
2048,1,22.0,KENXX,TZAXX,-0.02
2049,1,22.0,KENXX,TZAXX,-0.02
2050,1,22.0,KENXX,TZAXX,-0.03
2021,1,23.0,KENXX,TZAXX,-0.0
2022,1,23.0,KENXX,TZAXX,-0.0
2023,1,23.0,KENXX,TZAXX,0.0
2029,1,23.0,KENXX,TZAXX,0.0
2031,1,23.0,KENXX,TZAXX,-0.02
2032,1,23.0,KENXX,TZAXX,-0.02
2033,1,23.0,KENXX,TZAXX,-0.02
2034,1,23.0,KENXX,TZAXX,-0.02
2035,1,23.0,KENXX,TZAXX,-0.01
2036,1,23.0,KENXX,TZAXX,-0.05
2037,1,23.0,KENXX,TZAXX,-0.05
2038,1,23.0,KENXX,TZAXX,-0.03
2039,1,23.0,KENXX,TZAXX,-0.02
2040,1,23.0,KENXX,TZAXX,-0.02
2041,1,23.0,KENXX,TZAXX,-0.01
2042,1,23.0,KENXX,TZAXX,-0.01
2043,1,23.0,KENXX,TZAXX,-0.01
2044,1,23.0,KENXX,TZAXX,-0.01
2045,1,23.0,KENXX,TZAXX,-0.01
2046,1,23.0,KENXX,TZAXX,-0.02
2047,1,23.0,KENXX,TZAXX,-0.02
2048,1,23.0,KENXX,TZAXX,-0.02
2049,1,23.0,KENXX,TZAXX,-0.02
2050,1,23.0,KENXX,TZAXX,-0.03
2021,1,24.0,KENXX,TZAXX,-0.0
2022,1,24.0,KENXX,TZAXX,-0.0
2023,1,24.0,KENXX,TZAXX,0.0
2029,1,24.0,KENXX,TZAXX,0.0
