REGION,EMISSION,YEAR,VALUE
GLOBAL,CO2KEN,2021,0.03970889859603545
GLOBAL,CO2KEN,2022,0.043786067184085745
GLOBAL,CO2KEN,2023,0.028600736894106592
GLOBAL,CO2KEN,2024,0.0
GLOBAL,CO2KEN,2025,0.0
GLOBAL,CO2KEN,2026,0.00017904735262437243
GLOBAL,CO2KEN,2027,0.0
GLOBAL,CO2KEN,2028,0.0
GLOBAL,CO2KEN,2029,0.0
GLOBAL,CO2KEN,2030,0.0
GLOBAL,CO2KEN,2031,0.0
GLOBAL,CO2KEN,2032,0.0
GLOBAL,CO2KEN,2033,0.0
GLOBAL,CO2KEN,2034,0.0
GLOBAL,CO2KEN,2035,0.0
GLOBAL,CO2KEN,2036,0.0
GLOBAL,CO2KEN,2037,0.0
GLOBAL,CO2KEN,2038,0.0
GLOBAL,CO2KEN,2039,0.0
GLOBAL,CO2KEN,2040,0.0
GLOBAL,CO2KEN,2041,0.0
GLOBAL,CO2KEN,2042,0.0
GLOBAL,CO2KEN,2043,0.0
GLOBAL,CO2KEN,2044,0.0
GLOBAL,CO2KEN,2045,0.0
GLOBAL,CO2KEN,2046,0.0
GLOBAL,CO2KEN,2047,0.0
GLOBAL,CO2KEN,2048,0.0
GLOBAL,CO2KEN,2049,0.0
GLOBAL,CO2KEN,2050,0.0
GLOBAL,CO2TZA,2021,0.09282434271001772
GLOBAL,CO2TZA,2022,0.0932077747055867
GLOBAL,CO2TZA,2023,0.1322714170978711
GLOBAL,CO2TZA,2024,0.14135118652972745
GLOBAL,CO2TZA,2025,0.10677627466606675
GLOBAL,CO2TZA,2026,0.156151904702804
GLOBAL,CO2TZA,2027,0.17044802626028227
GLOBAL,CO2TZA,2028,0.18471807976670018
GLOBAL,CO2TZA,2029,0.19899461182447759
GLOBAL,CO2TZA,2030,0.1282174309396739
GLOBAL,CO2TZA,2031,0.3485757416812264
GLOBAL,CO2TZA,2032,0.2596537125763049
GLOBAL,CO2TZA,2033,0.2769086452828423
GLOBAL,CO2TZA,2034,0.2941398523296206
GLOBAL,CO2TZA,2035,0.28934428998465467
GLOBAL,CO2TZA,2036,0.57465273283561
GLOBAL,CO2TZA,2037,0.6186610916710288
GLOBAL,CO2TZA,2038,0.5894479831031337
GLOBAL,CO2TZA,2039,0.6062455191261609
GLOBAL,CO2TZA,2040,0.6230453547217406
GLOBAL,CO2TZA,2041,0.6429725586800936
GLOBAL,CO2TZA,2042,0.6811620871443327
GLOBAL,CO2TZA,2043,0.7187117659991649
GLOBAL,CO2TZA,2044,0.7559191504598015
GLOBAL,CO2TZA,2045,0.7930925751907961
GLOBAL,CO2TZA,2046,0.8392496838065351
GLOBAL,CO2TZA,2047,0.8854084124954387
GLOBAL,CO2TZA,2048,0.936387100550458
GLOBAL,CO2TZA,2049,0.9825102494365554
GLOBAL,CO2TZA,2050,1.028667358052297
