REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOKENXX01,2021,6.75
GLOBAL,PWRBIOKENXX01,2022,6.75
GLOBAL,PWRBIOKENXX01,2023,6.75
GLOBAL,PWRBIOKENXX01,2024,19.39208432310585
GLOBAL,PWRBIOKENXX01,2025,22.1632807225996
GLOBAL,PWRBIOKENXX01,2026,22.1632807225996
GLOBAL,PWRBIOKENXX01,2027,28.782754841343763
GLOBAL,PWRBIOKENXX01,2028,31.681057089664016
GLOBAL,PWRBIOKENXX01,2029,34.500523071409525
GLOBAL,PWRBIOKENXX01,2030,38.925321690297956
GLOBAL,PWRBIOKENXX01,2031,41.5039631213908
GLOBAL,PWRBIOKENXX01,2032,49.57695645371634
GLOBAL,PWRBIOKENXX01,2033,52.8342115744252
GLOBAL,PWRBIOKENXX01,2034,56.04259275559381
GLOBAL,PWRBIOKENXX01,2035,63.49454323650336
GLOBAL,PWRBIOKENXX01,2036,63.0566498348723
GLOBAL,PWRBIOKENXX01,2037,77.73942427075455
GLOBAL,PWRBIOKENXX01,2038,98.34634925393476
GLOBAL,PWRBIOKENXX01,2039,106.62150269931605
GLOBAL,PWRBIOKENXX01,2040,114.77850180867979
GLOBAL,PWRBIOKENXX01,2041,125.61626311214135
GLOBAL,PWRBIOKENXX01,2042,131.98574236109053
GLOBAL,PWRBIOKENXX01,2043,138.36426916579092
GLOBAL,PWRBIOKENXX01,2044,144.74279597049136
GLOBAL,PWRBIOKENXX01,2045,151.12132277519166
GLOBAL,PWRBIOKENXX01,2046,159.1193620593835
GLOBAL,PWRBIOKENXX01,2047,167.2141264741618
GLOBAL,PWRBIOKENXX01,2048,176.03210666942127
GLOBAL,PWRBIOKENXX01,2049,184.0301459536129
GLOBAL,PWRBIOKENXX01,2050,192.02818523780462
GLOBAL,PWRBIOTZAXX01,2021,10.955790289058324
GLOBAL,PWRBIOTZAXX01,2022,12.797374856261593
GLOBAL,PWRBIOTZAXX01,2023,13.190721414561722
GLOBAL,PWRBIOTZAXX01,2024,13.190721414561722
GLOBAL,PWRBIOTZAXX01,2025,23.171547872515234
GLOBAL,PWRBIOTZAXX01,2026,23.171547872515234
GLOBAL,PWRBIOTZAXX01,2027,35.58798714010737
GLOBAL,PWRBIOTZAXX01,2028,37.14309394018896
GLOBAL,PWRBIOTZAXX01,2029,38.77793375526205
GLOBAL,PWRBIOTZAXX01,2030,56.12020907410117
GLOBAL,PWRBIOTZAXX01,2031,55.746074346940496
GLOBAL,PWRBIOTZAXX01,2032,74.57341115782502
GLOBAL,PWRBIOTZAXX01,2033,78.42047829373197
GLOBAL,PWRBIOTZAXX01,2034,82.2026328836035
GLOBAL,PWRBIOTZAXX01,2035,85.9313462036682
GLOBAL,PWRBIOTZAXX01,2036,85.3387162298498
GLOBAL,PWRBIOTZAXX01,2037,94.67469816948294
GLOBAL,PWRBIOTZAXX01,2038,95.00926539314904
GLOBAL,PWRBIOTZAXX01,2039,99.08007079716677
GLOBAL,PWRBIOTZAXX01,2040,103.08364379355646
GLOBAL,PWRBIOTZAXX01,2041,108.64416819726453
GLOBAL,PWRBIOTZAXX01,2042,114.20469260097234
GLOBAL,PWRBIOTZAXX01,2043,119.7652170046806
GLOBAL,PWRBIOTZAXX01,2044,125.33098224194522
GLOBAL,PWRBIOTZAXX01,2045,130.89150664565324
GLOBAL,PWRBIOTZAXX01,2046,137.7936844398887
GLOBAL,PWRBIOTZAXX01,2047,144.69586223412352
GLOBAL,PWRBIOTZAXX01,2048,151.5980400283588
GLOBAL,PWRBIOTZAXX01,2049,158.49497698903699
GLOBAL,PWRBIOTZAXX01,2050,165.3971547832719
GLOBAL,PWRCCGTZAXX00,2021,5.2
GLOBAL,PWRCCGTZAXX00,2022,5.2
GLOBAL,PWRCCGTZAXX00,2023,5.2
GLOBAL,PWRCCGTZAXX00,2024,5.2
GLOBAL,PWRCCGTZAXX01,2023,0.4423117408833715
GLOBAL,PWRCCGTZAXX01,2024,2.7424423772545286
GLOBAL,PWRCCGTZAXX01,2025,3.128301920041581
GLOBAL,PWRCCGTZAXX01,2026,3.128301920041581
GLOBAL,PWRCCGTZAXX01,2027,3.128301920041581
GLOBAL,PWRCCGTZAXX01,2028,3.128301920041581
GLOBAL,PWRCCGTZAXX01,2029,3.128301920041581
GLOBAL,PWRCCGTZAXX01,2030,3.128301920041581
