REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINGASINT,2021,22.746702340224722
GLOBAL,MINGASINT,2022,22.840662752076735
GLOBAL,MINGASINT,2023,32.4124884571603
GLOBAL,MINGASINT,2024,34.633389960210486
GLOBAL,MINGASINT,2025,26.159080927620952
GLOBAL,MINGASINT,2026,38.25509882276317
GLOBAL,MINGASINT,2027,41.75757145242522
GLOBAL,MINGASINT,2028,45.253481732296294
GLOBAL,MINGASINT,2029,48.75097914246694
GLOBAL,MINGASINT,2030,31.411287384851313
GLOBAL,MINGASINT,2031,85.39466793060109
GLOBAL,MINGASINT,2032,63.610252143410875
GLOBAL,MINGASINT,2033,67.83743862716683
GLOBAL,MINGASINT,2034,72.05881264789133
GLOBAL,MINGASINT,2035,70.8836510056634
GLOBAL,MINGASINT,2036,140.77637333971052
GLOBAL,MINGASINT,2037,151.55800505519142
GLOBAL,MINGASINT,2038,144.4006036381321
GLOBAL,MINGASINT,2039,148.51567530236537
GLOBAL,MINGASINT,2040,152.63131030224497
GLOBAL,MINGASINT,2041,157.5130895880239
GLOBAL,MINGASINT,2042,166.86857962709757
GLOBAL,MINGASINT,2043,176.06647394146935
GLOBAL,MINGASINT,2044,185.1813270566092
GLOBAL,MINGASINT,2045,194.2878608939124
GLOBAL,MINGASINT,2046,205.59516621118033
GLOBAL,MINGASINT,2047,216.9028683795869
GLOBAL,MINGASINT,2048,229.39130206847813
GLOBAL,MINGASINT,2049,240.6902881079095
GLOBAL,MINGASINT,2050,251.997593425178
GLOBAL,MINOILINT,2021,9.827071997207435
GLOBAL,MINOILINT,2022,10.83608082586135
GLOBAL,MINOILINT,2023,7.078048260437867
GLOBAL,MINOILINT,2026,0.04431025002856075
GLOBAL,TRNKENXXTZAXX,2021,0.49711262419811214
GLOBAL,TRNKENXXTZAXX,2022,0.5642625568502787
GLOBAL,TRNKENXXTZAXX,2023,0.5642625568502787
GLOBAL,TRNKENXXTZAXX,2024,1.1365443700017799
GLOBAL,TRNKENXXTZAXX,2025,0.8271607096818032
GLOBAL,TRNKENXXTZAXX,2026,0.5817372238176105
GLOBAL,TRNKENXXTZAXX,2027,0.6490412064251614
GLOBAL,TRNKENXXTZAXX,2028,0.7133112120047168
GLOBAL,TRNKENXXTZAXX,2029,0.793739491451223
GLOBAL,TRNKENXXTZAXX,2030,0.5880304864517648
GLOBAL,TRNKENXXTZAXX,2031,0.5545580196703901
GLOBAL,TRNKENXXTZAXX,2032,0.39192260929842465
GLOBAL,TRNKENXXTZAXX,2033,0.3919353608924838
GLOBAL,TRNKENXXTZAXX,2034,0.3919481124865393
GLOBAL,TRNKENXXTZAXX,2035,0.32452930706247674
GLOBAL,TRNKENXXTZAXX,2036,1.2590223446341533
GLOBAL,TRNKENXXTZAXX,2037,1.1539220301948465
GLOBAL,TRNKENXXTZAXX,2038,0.44867098196087274
GLOBAL,TRNKENXXTZAXX,2039,0.39377561042742254
GLOBAL,TRNKENXXTZAXX,2040,0.33889154192281756
GLOBAL,TRNKENXXTZAXX,2041,0.27442839060942087
GLOBAL,TRNKENXXTZAXX,2042,0.28238572291310465
GLOBAL,TRNKENXXTZAXX,2043,0.29035435824563116
GLOBAL,TRNKENXXTZAXX,2044,0.2983229935781586
GLOBAL,TRNKENXXTZAXX,2045,0.30629162891068185
GLOBAL,TRNKENXXTZAXX,2046,0.31628350640564973
GLOBAL,TRNKENXXTZAXX,2047,0.32628668692945756
GLOBAL,TRNKENXXTZAXX,2048,0.34427997282883127
GLOBAL,TRNKENXXTZAXX,2049,0.3542718503237992
GLOBAL,TRNKENXXTZAXX,2050,0.3642637278187664
