REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINGASINT,2021,0.01278429591020671
GLOBAL,MINGASINT,2022,0.01277472479771829
GLOBAL,MINGASINT,2023,0.01731783480483984
GLOBAL,MINGASINT,2024,0.02640045972458171
GLOBAL,MINGASINT,2025,0.02326913296644509
GLOBAL,MINGASINT,2026,0.035537416600175675
GLOBAL,MINGASINT,2027,0.039021328228641614
GLOBAL,MINGASINT,2028,0.04251064292514481
GLOBAL,MINGASINT,2029,0.04600022146477747
GLOBAL,MINGASINT,2030,0.038129308840743406
GLOBAL,MINGASINT,2031,0.0731489835328559
GLOBAL,MINGASINT,2032,0.0666619206991295
GLOBAL,MINGASINT,2033,0.07136058930822135
GLOBAL,MINGASINT,2034,0.07605290905648723
GLOBAL,MINGASINT,2035,0.07794326486418644
GLOBAL,MINGASINT,2036,0.11502175926396412
GLOBAL,MINGASINT,2037,0.123729616451458
GLOBAL,MINGASINT,2038,0.12269823338797504
GLOBAL,MINGASINT,2039,0.12789621987211983
GLOBAL,MINGASINT,2040,0.13309447019939383
GLOBAL,MINGASINT,2041,0.13924522243746296
GLOBAL,MINGASINT,2042,0.14738248092985803
GLOBAL,MINGASINT,2043,0.1552895633662484
GLOBAL,MINGASINT,2044,0.1630708452321791
GLOBAL,MINGASINT,2045,0.17084481421256967
GLOBAL,MINGASINT,2046,0.18049468974739388
GLOBAL,MINGASINT,2047,0.1901445865551575
GLOBAL,MINGASINT,2048,0.2004453849628239
GLOBAL,MINGASINT,2049,0.210087947612108
GLOBAL,MINGASINT,2050,0.21973782314693235
GLOBAL,MINOILINT,2021,0.01005520241864108
GLOBAL,MINOILINT,2022,0.011087634868224658
GLOBAL,MINOILINT,2023,0.007242361509902229
GLOBAL,MINOILINT,2026,4.5338889690071146e-05
GLOBAL,PWRBIOKENXX01,2024,353.97836104696364
GLOBAL,PWRBIOKENXX01,2025,77.59349918582527
GLOBAL,PWRBIOKENXX01,2027,185.34527532483648
GLOBAL,PWRBIOKENXX01,2028,81.15246295296684
GLOBAL,PWRBIOKENXX01,2029,78.9450474888745
GLOBAL,PWRBIOKENXX01,2030,123.89436132887624
GLOBAL,PWRBIOKENXX01,2031,79.81088310175397
GLOBAL,PWRBIOKENXX01,2032,423.974672278542
GLOBAL,PWRBIOKENXX01,2033,101.90216394138042
GLOBAL,PWRBIOKENXX01,2034,101.6577942436788
GLOBAL,PWRBIOKENXX01,2035,224.26611035988756
GLOBAL,PWRBIOKENXX01,2037,436.7018053771321
GLOBAL,PWRBIOKENXX01,2038,613.664057474932
GLOBAL,PWRBIOKENXX01,2039,261.3998875850112
GLOBAL,PWRBIOKENXX01,2040,261.0288422588847
GLOBAL,PWRBIOKENXX01,2041,317.39158102994566
GLOBAL,PWRBIOKENXX01,2042,186.53474943351128
GLOBAL,PWRBIOKENXX01,2043,186.79971356622596
GLOBAL,PWRBIOKENXX01,2044,186.79971356622733
GLOBAL,PWRBIOKENXX01,2045,186.79971356622315
GLOBAL,PWRBIOKENXX01,2046,234.22829332276143
GLOBAL,PWRBIOKENXX01,2047,237.060957861364
GLOBAL,PWRBIOKENXX01,2048,258.24084857545654
GLOBAL,PWRBIOKENXX01,2049,234.22829332275583
GLOBAL,PWRBIOKENXX01,2050,234.22829332275683
GLOBAL,PWRBIOTZAXX01,2021,159.76212809363307
GLOBAL,PWRBIOTZAXX01,2022,51.564367881691474
GLOBAL,PWRBIOTZAXX01,2023,11.013703632403692
GLOBAL,PWRBIOTZAXX01,2025,279.4631408226982
GLOBAL,PWRBIOTZAXX01,2027,347.66029949257967
GLOBAL,PWRBIOTZAXX01,2028,43.54299040228453
GLOBAL,PWRBIOTZAXX01,2029,45.77551482204656
GLOBAL,PWRBIOTZAXX01,2030,485.5837089274958
GLOBAL,PWRBIOTZAXX01,2032,688.6118312772224
GLOBAL,PWRBIOTZAXX01,2033,123.42466805131755
GLOBAL,PWRBIOTZAXX01,2034,122.96581700215036
GLOBAL,PWRBIOTZAXX01,2035,122.83270321654057
GLOBAL,PWRBIOTZAXX01,2037,286.7494209968873
GLOBAL,PWRBIOTZAXX01,2038,28.91625046554604
GLOBAL,PWRBIOTZAXX01,2039,138.162597675491
GLOBAL,PWRBIOTZAXX01,2040,137.8264356373486
GLOBAL,PWRBIOTZAXX01,2041,162.84392896573542
GLOBAL,PWRBIOTZAXX01,2042,162.84392896572905
GLOBAL,PWRBIOTZAXX01,2043,162.84392896574153
